,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5639,2,TGIF1,5639,1.0,2.2806033960334586,-0.39671372930866605,0.00029506552982670666,-4.312278660259089,3.0269236662268835,1.0,0.08333333333333333,24,2
5640,2,TGIF1,5640,1.0,2.2806033960334586,-0.0563047711781889,0.6221098968308308,-2.4084005186693225,1.374040009387162,1.0,0.08333333333333333,24,2
3155,2,ELF4,3155,-1.0,2.372056175113241,0.652288218111003,7.395344988232662e-11,-3.2322218284553066,1.766440972094136,1.0,0.12,25,3
3152,2,ELF4,3152,-1.0,2.372056175113241,0.5593719571567674,8.38643978647542e-08,-4.637121505818897,2.9859449893718493,1.0,0.12,25,3
3153,2,ELF4,3153,-1.0,2.372056175113241,0.35136319376825703,0.001497875160620563,-6.127778724833451,4.19820059805525,1.0,0.12,25,3
9070,2,GSC,9070,1.0,1.8252990852962734,-0.36682104801903365,0.0008837828584050693,-3.9527916553407394,2.0638098393368716,1.0,0.125,8,1
845,2,SMAD1,845,-1.0,1.3016746839802082,0.4737828627069134,1.0326327480900186e-05,-4.615931198070627,2.7219452551985674,1.0,0.08,25,2
849,2,SMAD1,849,-1.0,1.3016746839802082,0.4909688412852971,4.350552631654314e-06,-7.905706790953944,6.418038387592996,1.0,0.08,25,2
6391,2,HOXB6,6391,1.0,1.4549038584099567,-0.264508276533593,0.018490338531711583,-4.408404053894643,2.4183108688737094,1.0,0.5555555555555556,9,5
6390,2,HOXB6,6390,1.0,1.4549038584099567,0.5542112950340798,1.1656732377680139e-07,3.8219536835225028,2.035359436232955,1.0,0.5555555555555556,9,5
6385,2,HOXB6,6385,1.0,1.4549038584099567,-0.44810126582278487,3.455958681388239e-05,-5.401212296829742,3.0264271432463863,1.0,0.5555555555555556,9,5
6389,2,HOXB6,6389,1.0,1.4549038584099567,-0.24203992210321323,0.03162865867926896,-2.7884779814893594,1.3627175917431122,1.0,0.5555555555555556,9,5
6384,2,HOXB6,6384,1.0,1.4549038584099567,-0.4092015579357352,0.00018079324152663404,-5.867473760620975,4.244370355195475,1.0,0.5555555555555556,9,5
1206,2,FOXD2,1206,-1.0,2.9159795497023246,0.2156767283349562,0.056268036084621026,-4.155362259882487,2.3711759337267333,1.0,0.24,25,6
1202,2,FOXD2,1202,-1.0,2.9159795497023246,0.3386562804284324,0.002267052137143323,-5.199686002919877,3.093041422001467,1.0,0.24,25,6
1203,2,FOXD2,1203,-1.0,2.9159795497023246,0.577020447906524,2.6044808973956266e-08,-2.4053165609232794,1.6658382370868574,1.0,0.24,25,6
1223,2,FOXD2,1223,-1.0,2.9159795497023246,0.3502921129503408,0.0015521517258901157,-3.1548901524783584,1.575295487365713,1.0,0.24,25,6
1218,2,FOXD2,1218,-1.0,2.9159795497023246,0.48376338851022394,6.286474862133335e-06,-2.5699577526547435,1.3079932352240033,1.0,0.24,25,6
1212,2,FOXD2,1212,-1.0,2.9159795497023246,0.48712268743914316,5.300627495216539e-06,-2.614120315498585,1.4035769055756073,1.0,0.24,25,6
6770,2,PRDM4,6770,-1.0,1.7299167400357403,0.43675754625121715,5.717755860708615e-05,-5.6502910102168595,3.3194427052776594,1.0,0.15384615384615385,13,2
6777,2,PRDM4,6777,-1.0,1.7299167400357403,0.30148490749756574,0.006932321893637759,-4.092174499866879,2.1644983889014435,1.0,0.15384615384615385,13,2
8469,2,STAT5A,8469,-1.0,2.1157157191845055,0.5709104186952288,3.934781361617397e-08,-4.224160129873185,2.178296527845126,1.0,0.2,25,5
8468,2,STAT5A,8468,-1.0,2.1157157191845055,0.45024342745861734,3.136175742527828e-05,-3.313658298708437,1.933103545098657,1.0,0.2,25,5
8479,2,STAT5A,8479,-1.0,2.1157157191845055,0.48018500486854915,7.524247462268163e-06,-2.488136519771463,1.4558729752747293,1.0,0.2,25,5
8476,2,STAT5A,8476,-1.0,2.1157157191845055,-0.41932814021421616,0.00011979626060229359,2.4565585502386407,1.5230269126120808,1.0,0.2,25,5
8465,2,STAT5A,8465,-1.0,2.1157157191845055,0.45645082765335937,2.3583208818237327e-05,-4.3667048985235,2.6013507085490954,1.0,0.2,25,5
8552,2,GLIS2,8552,-1.0,3.2133777159428987,0.4220545277507303,0.00010699039288196134,-2.7289500967031595,1.3354401285798088,1.0,0.4,25,10
8560,2,GLIS2,8560,-1.0,3.2133777159428987,0.49790652385589096,3.0280026959095086e-06,-3.7347756272681805,2.7296589716419515,1.0,0.4,25,10
8543,2,GLIS2,8543,-1.0,3.2133777159428987,0.46231742940603704,1.79214884968213e-05,-4.757902646970273,3.227806535780679,1.0,0.4,25,10
8544,2,GLIS2,8544,-1.0,3.2133777159428987,0.6019717624148004,4.409678097504503e-09,-4.730046047410895,2.6226044602022154,1.0,0.4,25,10
8545,2,GLIS2,8545,-1.0,3.2133777159428987,0.29914800389483936,0.007403428251210575,-3.014967664871137,1.6387163290729903,1.0,0.4,25,10
8563,2,GLIS2,8563,-1.0,3.2133777159428987,0.40408958130477124,0.0002214510357913981,-7.885253307771836,6.2207418647679935,1.0,0.4,25,10
8549,2,GLIS2,8549,-1.0,3.2133777159428987,0.582570593962999,1.7772054813598743e-08,-6.1242389542900515,5.50380561540494,1.0,0.4,25,10
8559,2,GLIS2,8559,-1.0,3.2133777159428987,0.4870740019474196,5.313815898758954e-06,-2.81889431230449,1.4315443617208246,1.0,0.4,25,10
8546,2,GLIS2,8546,-1.0,3.2133777159428987,-0.3215676728334957,0.0038551893090646807,2.8974981990621633,1.5192090858099165,1.0,0.4,25,10
8550,2,GLIS2,8550,-1.0,3.2133777159428987,0.46436222005842265,1.6266739077716606e-05,-3.443299852719774,1.825509081068902,1.0,0.4,25,10
1577,2,PITX1,1577,1.0,1.4435345740568875,-0.7045034079844207,4.332868385628406e-13,-5.015986449136451,3.4743531702513244,1.0,0.16,25,4
1574,2,PITX1,1574,1.0,1.4435345740568875,-0.2747565725413827,0.014264787253031678,-4.358675102912008,2.8281235326108156,1.0,0.16,25,4
1588,2,PITX1,1588,1.0,1.4435345740568875,0.4758033106134372,9.350944572396635e-06,2.544487836034491,1.3563483291884482,1.0,0.16,25,4
1578,2,PITX1,1578,1.0,1.4435345740568875,-0.5122444011684518,1.3955340391812699e-06,-5.434359759937769,3.1967025542173277,1.0,0.16,25,4
8498,2,STAT6,8498,-1.0,1.6403446449529964,0.549269717624148,1.589498105472638e-07,-5.2240825054214115,2.9015618501147853,1.0,0.34782608695652173,23,8
8507,2,STAT6,8507,-1.0,1.6403446449529964,0.33707400194741965,0.0023842838815828693,-2.855986334452033,1.4893288069706414,1.0,0.34782608695652173,23,8
8514,2,STAT6,8514,-1.0,1.6403446449529964,0.35732716650438173,0.0012257927672798075,-3.6952415265506575,2.0657593760199644,1.0,0.34782608695652173,23,8
8497,2,STAT6,8497,-1.0,1.6403446449529964,0.469620253164557,1.2643497783688791e-05,-4.678874811952456,3.3206701846582436,1.0,0.34782608695652173,23,8
8512,2,STAT6,8512,-1.0,1.6403446449529964,0.33081791626095425,0.002902910471159423,-2.8197215956149027,1.49330774895631,1.0,0.34782608695652173,23,8
8508,2,STAT6,8508,-1.0,1.6403446449529964,0.42052093476144115,0.0001140287111793773,-3.386332841297967,1.8419256202345229,1.0,0.34782608695652173,23,8
8515,2,STAT6,8515,-1.0,1.6403446449529964,0.3938899707887049,0.00032875691777691586,-3.5089079664477567,1.6949074219452887,1.0,0.34782608695652173,23,8
8496,2,STAT6,8496,-1.0,1.6403446449529964,0.4482473222979553,3.4332260124467115e-05,-3.299275838021309,1.9114424356085236,1.0,0.34782608695652173,23,8
4289,2,EN2,4289,1.0,1.6981352324372319,-0.33992130418309907,0.0021770782436188172,-6.860906695663765,8.074897768584487,1.0,0.125,8,1
7063,2,RARA,7063,-1.0,1.8463470777263244,-0.20873904576436222,0.06487270917784382,2.597399259758777,1.3280435825394532,1.0,0.32,25,8
