,Regulon_ID,Regulator,Gene
0,0,HOXA6,HACD3
1,0,HOXA6,ZNF670
2,0,HOXA6,RAPH1
3,0,HOXA6,CLINT1
4,0,HOXA6,PRKAA1
5,0,HOXA6,PDS5B
6,0,HOXA6,PTBP3
7,0,HOXA6,NBN
8,0,HOXA6,INO80
9,0,HOXA6,SMC4
10,0,HOXA6,USP37
11,0,HOXA6,KLF3
12,0,HOXA6,PHKB
13,0,HOXA6,RBBP5
14,0,HOXA6,SEC24B
15,0,HOXA6,ARHGEF12
16,0,HOXA6,DSP
17,0,HOXA6,DTWD2
18,0,HOXA6,ZNF12
19,0,HOXA6,DDX6
20,0,HOXA6,ERBIN
21,0,HOXA6,PUS7L
22,0,HOXA6,RASSF9
23,0,HOXA6,FGD4
24,0,HOXA6,VPS50
25,0,HOXA6,UFL1
26,0,HOXA6,KPNA4
27,0,HOXA6,RB1CC1
28,0,HOXA6,MED13L
29,0,HOXA6,PIK3R1
30,0,HOXA6,XRN1
31,0,HOXA6,ELF2
32,0,HOXA6,WAPL
33,0,HOXA6,IPMK
34,0,HOXA6,TMEM209
35,0,HOXA6,ARMC1
36,0,HOXA6,MTF1
37,0,HOXA6,BICD2
38,0,HOXA6,BMPR2
39,0,HOXA6,EPC2
40,0,HOXA6,ARID2
41,0,HOXA6,SOS2
42,0,HOXA6,SLF2
43,0,HOXA6,STRN
44,0,HOXA6,PLEKHM3
45,0,HOXA6,LACC1
46,0,HOXA6,WASF2
47,0,HOXA6,UBXN4
48,0,HOXA6,LHFPL5
49,0,HOXA6,TFAM
50,0,HOXA6,PPIP5K2
51,0,HOXA6,ZNF235
52,0,HOXA6,DSG3
53,0,HOXA6,PPIG
54,0,HOXA6,ARID1B
55,0,HOXA6,SP4
56,0,HOXA6,ZNF770
57,0,HOXA6,WNK1
58,0,HOXA6,GCC2
59,0,HOXA6,CEP120
60,0,HOXA6,CREBZF
61,0,HOXA6,MLLT10
62,0,HOXA6,ZKSCAN8
63,0,HOXA6,ZKSCAN1
64,0,HOXA6,SP1
65,0,HOXA6,TOPORS
66,0,HOXA6,TAOK3
67,0,HOXA6,BRD3
68,0,HOXA6,NCOR1
69,0,HOXA6,RICTOR
70,0,HOXA6,VPS13D
71,0,HOXA6,SRFBP1
72,0,HOXA6,PPP3R1
73,0,HOXA6,TNRC6B
74,0,HOXA6,ATP6V1A
75,0,HOXA6,ZNF106
76,0,HOXA6,PATJ
77,0,HOXA6,CHD7
78,0,HOXA6,CDC5L
79,0,HOXA6,CEP97
80,0,HOXA6,IMPACT
81,0,HOXA6,ZNF639
82,0,HOXA6,ZNF510
83,0,HOXA6,MEX3C
84,0,HOXA6,ANKHD1
85,0,HOXA6,DOCK7
86,0,HOXA6,PSD3
87,0,HOXA6,PHF3
88,0,HOXA6,CFAP97
89,0,HOXA6,CDC40
90,0,HOXA6,NCOA6
91,0,HOXA6,LMBRD2
92,0,HOXA6,MATR3
93,1,HOXA6,PCF11
94,1,HOXA6,PAXBP1
95,1,HOXA6,SEPSECS
96,1,HOXA6,HECA
97,1,HOXA6,TNRC6A
98,1,HOXA6,NAA16
99,1,HOXA6,ANKRD11
100,1,HOXA6,LUC7L3
101,1,HOXA6,ARID1B
102,1,HOXA6,ANGEL2
103,1,HOXA6,GPR75
104,1,HOXA6,ZNF791
105,1,HOXA6,TNRC6B
106,1,HOXA6,TSSK1B
107,1,HOXA6,ZNF701
108,1,HOXA6,PSD3
109,1,HOXA6,DMTF1
110,1,HOXA6,ARHGAP32
111,1,HOXA6,USP16
112,2,HOXA6,CD2AP
113,2,HOXA6,TRERF1
114,2,HOXA6,MAML3
115,2,HOXA6,RBL2
116,2,HOXA6,UFL1
117,2,HOXA6,NPAS2
118,2,HOXA6,EBLN2
119,2,HOXA6,NUDT4
120,2,HOXA6,SERINC5
121,2,HOXA6,ACER2
122,2,HOXA6,GCC2
123,2,HOXA6,MAP3K5
124,2,HOXA6,DDI2
125,2,HOXA6,SP1
126,2,HOXA6,ELK4
127,3,HOXA6,CAV1
128,3,HOXA6,GPR68
129,3,HOXA6,ACOT9
130,3,HOXA6,DUSP14
131,3,HOXA6,S100A10
132,3,HOXA6,ENO1
