,Coefficient
SMAD3,0.0
E2F8,-0.02598654475190503
HLTF,0.0
ZNF143,0.0
SOX2,0.003500306366928177
ZNF740,0.021233227897689787
CREB1,0.0
NEUROG2,0.22241630463831136
SIX4,0.0
PROX1,0.0032399589821656594
GTF2A1,0.0
CDC5L,0.0
E2F7,0.0008724309091440042
HOXB2,0.0
PITX2,0.009835026752219955
GMEB2,0.0
FOS,0.0
TTF1,0.0
ZNF8,0.0
GMEB1,0.0
HOXC6,0.043702477092839205
POU4F2,0.07946546420334842
BPTF,0.0
E2F3,-0.005896265050071484
ELF2,0.0
GZF1,0.0024617235663676063
SMAD4,0.0
ARNT,0.00043051411073402276
MTF1,0.0
PARP1,0.009163618994550775
FOXC1,0.0
NKX6-1,0.018722702181756735
SOX5,0.10185611645576499
ZBED6,0.0
E2F1,0.0
TEAD4,0.0676718615021466
PEG10,0.024041024674023182
GABPA,0.0
GTF2I,0.0
CTCF,0.0
NFYA,-0.0013578887791623104
HMBOX1,0.0
TBP,0.0
PRDM4,0.0
RARG,-0.042492421889052695
SOX4,0.0
TGIF2,0.006502059134407244
POU2F1,0.0
MYB,0.0
DLX6,0.026791069550107308
HSF2,0.024022307401010846
MYBL1,0.062008309209557105
TBR1,0.0038286068451360553
ZSCAN26,0.03746149843510333
DMRT2,0.04206788561152985
