,Coefficient
SMAD3,0.013532065457095692
E2F8,0.002290829368571281
ZNF143,0.0004495652695008069
NRF1,0.0020718553265540716
NEUROG2,0.007175391862622472
SIX4,0.10884090320000707
PROX1,0.02946572365266796
CDC5L,0.0
ZBTB18,0.0
HOXB2,-3.0159919158639413e-05
E2F7,0.025860288627604807
SCRT1,0.0
YY1,0.03988929662135758
PITX2,0.0008771447913522271
GMEB2,0.01880947805748399
FOS,-0.00033419066397716947
FOXD3,0.008397805385667942
TTF1,0.003647848888877933
RXRG,0.0
HOXC6,0.056847280814262345
CEBPZ,0.0006928065491992305
ZNF75A,0.03184986934873701
SMAD4,0.0012630339151615765
ARNT,0.00025833896109779596
PARP1,0.08199988687133848
TCF3,0.0
FOXC1,-0.00017312662421729922
NKX6-1,0.0
POU3F2,0.014737863902734332
POLR3A,0.0
SOX5,0.0
ZBED6,0.0008687834961170036
E2F1,0.0
GABPA,0.0
NFYA,0.0
HMBOX1,0.0010431720005447114
CTCF,0.01018251778514918
MECP2,0.028587534077555658
SOX4,0.013711621973832583
MYB,0.06554974373151466
DLX6,0.14310810780093727
MAZ,0.0
TGIF2,0.0
TBR1,0.0
