,out_degree_aligned
CREB1,12
PARP1,11
E2F7,10
ZNF143,9
ARNT,8
CTCF,8
POU2F1,7
GTF2I,7
HMBOX1,7
ZBED6,7
MYBL2,6
ZNF148,6
MYBL1,6
KLF11,6
E2F2,6
MECP2,6
NEUROG2,5
PEG10,5
DLX6,5
SOX5,5
MYB,5
TEAD4,5
SOX2,5
TTF1,5
E2F3,5
PROX1,5
NRF1,5
HOXC6,5
GTF2A1,4
E2F8,4
MAZ,4
SMAD4,4
TCF3,4
NFYA,4
BPTF,4
ZNF8,4
GMEB2,4
SOX4,4
ELF2,3
RXRG,3
TGIF2,3
NEUROD1,3
E2F1,3
ZNF740,3
ZBTB18,3
TBR1,3
NKX6-1,3
GMEB1,3
ZKSCAN3,3
GZF1,3
HOXC9,3
FOXD3,3
HSF2,3
GABPA,2
PITX2,2
POU4F2,2
PRDM4,2
CNOT3,2
TAL1,2
SP4,2
ZNF75A,2
RFX1,2
ATF2,2
HLTF,2
YY1,2
CDC5L,1
SCRT1,1
SIX4,1
BHLHA15,1
DMRT2,1
POU3F2,1
ZNF232,1
TFCP2,1
ZSCAN26,1
TCF7,1
TBP,1
CEBPZ,1
MIXL1,1
POLR3A,1
HOXB13,0
POU4F1,0
ZNF263,0
MTF1,0
PAX4,0
MLX,0
