,Alt_ID,in_degree,out_degree,out/in
HOXC6,HOXC6,1.0,6.0,6.0
CREB1,CREB1,2.0,12.0,6.0
MYBL2,MYBL2,1.0,6.0,6.0
E2F7,E2F7,2.0,11.0,5.5
PROX1,PROX1,1.0,5.0,5.0
ZBED6,ZBED6,2.0,8.0,4.0
GTF2A1,GTF2A1,1.0,4.0,4.0
HOXC9,HOXC9,1.0,4.0,4.0
CTCF,CTCF,2.0,8.0,4.0
FOS,FOS,1.0,4.0,4.0
GTF2I,GTF2I,2.0,8.0,4.0
HMBOX1,HMBOX1,2.0,7.0,3.5
E2F8,E2F8,2.0,7.0,3.5
NKX6-1,NKX6-1,1.0,3.0,3.0
E2F2,E2F2,2.0,6.0,3.0
TGIF2,TGIF2,1.0,3.0,3.0
GMEB1,GMEB1,1.0,3.0,3.0
GZF1,GZF1,1.0,3.0,3.0
NEUROD1,NEUROD1,1.0,3.0,3.0
ARNT,ARNT,3.0,8.0,2.6666666666666665
PEG10,PEG10,2.0,5.0,2.5
NEUROG2,NEUROG2,2.0,5.0,2.5
TEAD4,TEAD4,3.0,7.0,2.3333333333333335
PARP1,PARP1,5.0,11.0,2.2
E2F3,E2F3,3.0,6.0,2.0
POU4F2,POU4F2,1.0,2.0,2.0
MECP2,MECP2,3.0,6.0,2.0
SMAD4,SMAD4,2.0,4.0,2.0
KLF11,KLF11,3.0,6.0,2.0
ZNF148,ZNF148,3.0,6.0,2.0
ZNF75A,ZNF75A,1.0,2.0,2.0
HOXB2,HOXB2,2.0,4.0,2.0
FOXC1,FOXC1,4.0,7.0,1.75
NFYA,NFYA,3.0,5.0,1.6666666666666667
TTF1,TTF1,3.0,5.0,1.6666666666666667
DLX6,DLX6,3.0,5.0,1.6666666666666667
HSF2,HSF2,2.0,3.0,1.5
E2F1,E2F1,2.0,3.0,1.5
MYBL1,MYBL1,4.0,6.0,1.5
NR1H2,NR1H2,2.0,3.0,1.5
ZNF143,ZNF143,6.0,9.0,1.5
BPTF,BPTF,3.0,4.0,1.3333333333333333
CNOT3,CNOT3,3.0,4.0,1.3333333333333333
ZNF8,ZNF8,3.0,4.0,1.3333333333333333
MYB,MYB,4.0,5.0,1.25
SMAD3,SMAD3,7.0,8.0,1.1428571428571428
SCRT1,SCRT1,1.0,1.0,1.0
RFX1,RFX1,3.0,3.0,1.0
ZSCAN26,ZSCAN26,1.0,1.0,1.0
SOX5,SOX5,5.0,5.0,1.0
DMRT2,DMRT2,1.0,1.0,1.0
STAT6,STAT6,3.0,3.0,1.0
PITX2,PITX2,2.0,2.0,1.0
POU2F1,POU2F1,7.0,7.0,1.0
SOX4,SOX4,4.0,4.0,1.0
MLX,MLX,1.0,1.0,1.0
TCF3,TCF3,4.0,4.0,1.0
RXRG,RXRG,4.0,3.0,0.75
ZKSCAN3,ZKSCAN3,4.0,3.0,0.75
RARG,RARG,4.0,3.0,0.75
MAFK,MAFK,3.0,2.0,0.6666666666666666
YY1,YY1,3.0,2.0,0.6666666666666666
PRDM4,PRDM4,3.0,2.0,0.6666666666666666
ATF2,ATF2,3.0,2.0,0.6666666666666666
NRF1,NRF1,9.0,5.0,0.5555555555555556
TAL1,TAL1,4.0,2.0,0.5
MAZ,MAZ,8.0,4.0,0.5
TFCP2,TFCP2,2.0,1.0,0.5
HLTF,HLTF,4.0,2.0,0.5
SIX4,SIX4,2.0,1.0,0.5
CDC5L,CDC5L,4.0,2.0,0.5
BHLHA15,BHLHA15,2.0,1.0,0.5
TBR1,TBR1,7.0,3.0,0.42857142857142855
SOX15,SOX15,5.0,2.0,0.4
GABPA,GABPA,5.0,2.0,0.4
ELF2,ELF2,8.0,3.0,0.375
ZNF740,ZNF740,8.0,3.0,0.375
TCF7,TCF7,3.0,1.0,0.3333333333333333
SP4,SP4,6.0,2.0,0.3333333333333333
TBP,TBP,3.0,1.0,0.3333333333333333
ZNF232,ZNF232,3.0,1.0,0.3333333333333333
MIXL1,MIXL1,3.0,1.0,0.3333333333333333
ZBTB18,ZBTB18,13.0,4.0,0.3076923076923077
POLR3A,POLR3A,4.0,1.0,0.25
SPDEF,SPDEF,9.0,2.0,0.2222222222222222
SOX2,SOX2,30.0,6.0,0.2
MTF1,MTF1,6.0,1.0,0.16666666666666666
POU3F2,POU3F2,6.0,1.0,0.16666666666666666
CEBPZ,CEBPZ,8.0,1.0,0.125
FOXD3,FOXD3,26.0,3.0,0.11538461538461539
ZNF263,ZNF263,3.0,0.0,0.0
ZNF524,ZNF524,1.0,0.0,0.0
POU4F1,POU4F1,4.0,0.0,0.0
HOXB13,HOXB13,2.0,0.0,0.0
PAX4,PAX4,1.0,0.0,0.0
