,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4148,3,KLF15,R-4148,1.0,19.637170574337095,0.5946931636430977,5.929486551472477e-41,3.5159255311988233,3.236566458482233,0.9565217391304348,0.9166666666666666,24,23
4130,3,KLF15,R-4130,1.0,19.637170574337095,-0.5058970062796718,2.750394970402406e-28,-12.175016787814975,20.852040846264764,0.9565217391304348,0.9166666666666666,24,23
4131,3,KLF15,R-4131,1.0,19.637170574337095,0.5935403050247099,9.188845797974294e-41,5.202366286389714,6.023212166205086,0.9565217391304348,0.9166666666666666,24,23
4128,3,KLF15,R-4128,1.0,19.637170574337095,-0.5620682963457155,7.483685325075853e-36,-15.306547752920412,32.213048397492734,0.9565217391304348,0.9166666666666666,24,23
4149,3,KLF15,R-4149,1.0,19.637170574337095,0.3088155126031022,1.3440258389837796e-10,3.863194942257266,3.652750858819977,0.9565217391304348,0.9166666666666666,24,23
4139,3,KLF15,R-4139,1.0,19.637170574337095,-0.415670641297689,1.0006892531003806e-18,-11.593118945641578,19.895779634008427,0.9565217391304348,0.9166666666666666,24,23
4144,3,KLF15,R-4144,1.0,19.637170574337095,-0.3391600299503097,1.3286922844162309e-12,-11.397067021733555,20.642074468632316,0.9565217391304348,0.9166666666666666,24,23
4137,3,KLF15,R-4137,1.0,19.637170574337095,0.225994873271378,3.4067396423616872e-06,5.245563700747747,5.916396046192505,0.9565217391304348,0.9166666666666666,24,23
4129,3,KLF15,R-4129,1.0,19.637170574337095,0.4153197271663769,1.0769321370203766e-18,9.973543389231626,15.25665680699841,0.9565217391304348,0.9166666666666666,24,23
4132,3,KLF15,R-4132,1.0,19.637170574337095,0.5145360894044649,2.3220980914033267e-29,4.395006643583528,4.678138555709046,0.9565217391304348,0.9166666666666666,24,23
4135,3,KLF15,R-4135,1.0,19.637170574337095,-0.4683302533219519,5.860732360280053e-24,-8.315745390432154,12.824685439242426,0.9565217391304348,0.9166666666666666,24,23
4141,3,KLF15,R-4141,1.0,19.637170574337095,-0.4851803888889594,7.806291510105071e-26,-10.3643362707408,17.419252488114186,0.9565217391304348,0.9166666666666666,24,23
4140,3,KLF15,R-4140,1.0,19.637170574337095,0.5573555618410055,3.672929960150811e-35,11.787100037588283,23.476722771811612,0.9565217391304348,0.9166666666666666,24,23
4127,3,KLF15,R-4127,1.0,19.637170574337095,-0.3097884326018676,1.1683235602063127e-10,-11.78742541624734,22.562093861522115,0.9565217391304348,0.9166666666666666,24,23
4150,3,KLF15,R-4150,1.0,19.637170574337095,-0.2531647592581084,1.780964525140857e-07,-6.717200990758753,8.786931529385896,0.9565217391304348,0.9166666666666666,24,23
4138,3,KLF15,R-4138,1.0,19.637170574337095,-0.5659954905420187,1.949285092734456e-36,-13.554258660231175,27.23726356871003,0.9565217391304348,0.9166666666666666,24,23
4133,3,KLF15,R-4133,1.0,19.637170574337095,-0.2641922569739956,4.8558161774123156e-08,-8.738431855714202,12.764349594744086,0.9565217391304348,0.9166666666666666,24,23
4136,3,KLF15,R-4136,1.0,19.637170574337095,0.4274182317225529,8.144887551514116e-20,9.5153820482173,14.378298779224693,0.9565217391304348,0.9166666666666666,24,23
4134,3,KLF15,R-4134,1.0,19.637170574337095,-0.433439072639648,2.1667263982122327e-20,-15.377919042857236,29.79420759779918,0.9565217391304348,0.9166666666666666,24,23
4146,3,KLF15,R-4146,1.0,19.637170574337095,-0.2696810613334483,2.4864687656918696e-08,-10.059649141161383,15.41105946913667,0.9565217391304348,0.9166666666666666,24,23
4142,3,KLF15,R-4142,1.0,19.637170574337095,0.3529287166562872,1.3747591501876708e-13,5.7701747946863575,7.22198019486057,0.9565217391304348,0.9166666666666666,24,23
4143,3,KLF15,R-4143,1.0,19.637170574337095,-0.3305513875694377,5.1891144951919106e-12,-8.890499885885742,14.127346865680984,0.9565217391304348,0.9166666666666666,24,23
2171,3,E2F8,R-2171,-1.0,5.271743626414015,0.6147832090547686,2.1409157253009976e-44,-6.339238559542902,8.085147780416447,0.6,0.6,10,10
2169,3,E2F8,R-2169,-1.0,5.271743626414015,0.4275169950250523,7.971577081892141e-20,-12.891206257314424,21.324012324144437,0.6,0.6,10,10
2165,3,E2F8,R-2165,-1.0,5.271743626414015,0.4687753646441752,5.244856328363698e-24,-10.695714235676082,17.393896716439166,0.6,0.6,10,10
2170,3,E2F8,R-2170,-1.0,5.271743626414015,0.4646066738794319,1.474238315042042e-23,-6.468348231898534,8.225171442822383,0.6,0.6,10,10
2172,3,E2F8,R-2172,-1.0,5.271743626414015,0.6146905339010532,2.2235673947757466e-44,-7.780092995942496,10.934667568187562,0.6,0.6,10,10
2168,3,E2F8,R-2168,-1.0,5.271743626414015,0.4928528092790152,1.0078802688089218e-26,-8.869145330957762,13.030128636721988,0.6,0.6,10,10
6519,3,NFKB2,R-6519,-1.0,20.352903078278384,0.5593284602775774,1.8928834918952656e-35,-11.31217364791764,20.86341741660225,1.0,1.0,5,5
6520,3,NFKB2,R-6520,-1.0,20.352903078278384,0.3500683014191729,2.2227735618272478e-13,-10.321921746748924,17.001235084480548,1.0,1.0,5,5
6523,3,NFKB2,R-6523,-1.0,20.352903078278384,0.4976685349673249,2.7152606770610523e-27,-8.771511631605463,14.16133296734761,1.0,1.0,5,5
6522,3,NFKB2,R-6522,-1.0,20.352903078278384,0.3942415413839799,7.590431139112995e-17,-13.426065703734704,26.26148804273256,1.0,1.0,5,5
6521,3,NFKB2,R-6521,-1.0,20.352903078278384,0.5002242045347407,1.3422713465398209e-27,-10.656704748894803,18.585115318236625,1.0,1.0,5,5
3006,3,ZNF143,R-3006,-1.0,15.903598232297371,-0.2092854415873833,1.762051015288284e-05,10.15399751804124,15.297873757722652,0.9523809523809524,0.8,25,21
2997,3,ZNF143,R-2997,-1.0,15.903598232297371,0.6849790571909705,1.240972876344965e-58,-9.332491673792736,14.56137410814761,0.9523809523809524,0.8,25,21
3009,3,ZNF143,R-3009,-1.0,15.903598232297371,0.493835368846689,7.725479911061802e-27,-13.15547181331711,21.03954898409689,0.9523809523809524,0.8,25,21
3020,3,ZNF143,R-3020,-1.0,15.903598232297371,-0.2390116736025056,8.656560791679163e-07,5.990557836016217,7.274010020973159,0.9523809523809524,0.8,25,21
3012,3,ZNF143,R-3012,-1.0,15.903598232297371,-0.3759385367557185,2.4054328480358673e-15,8.574880124837396,12.530869491255048,0.9523809523809524,0.8,25,21
3018,3,ZNF143,R-3018,-1.0,15.903598232297371,0.0956651957868319,0.0517657624536241,-5.4108298016210785,6.341450023664336,0.9523809523809524,0.8,25,21
3019,3,ZNF143,R-3019,-1.0,15.903598232297371,0.4572767118584878,8.769739983301207e-23,-10.410866322161697,16.0744577971736,0.9523809523809524,0.8,25,21
2998,3,ZNF143,R-2998,-1.0,15.903598232297371,0.5309436503779092,1.7397921737881047e-31,-11.72423779090392,19.077051906118378,0.9523809523809524,0.8,25,21
3011,3,ZNF143,R-3011,-1.0,15.903598232297371,0.0056076078183668,0.9094329185745632,-3.5345879682336556,3.1732335180930717,0.9523809523809524,0.8,25,21
3017,3,ZNF143,R-3017,-1.0,15.903598232297371,0.4359276034551936,1.2437529795882737e-20,-7.416753873816169,10.221521966542536,0.9523809523809524,0.8,25,21
3014,3,ZNF143,R-3014,-1.0,15.903598232297371,0.2094992032558067,1.7267855705475454e-05,-5.98405739998002,7.233138008425092,0.9523809523809524,0.8,25,21
3010,3,ZNF143,R-3010,-1.0,15.903598232297371,0.2537605522627408,1.6627424300725365e-07,-10.770333436477124,18.694338924791253,0.9523809523809524,0.8,25,21
3005,3,ZNF143,R-3005,-1.0,15.903598232297371,0.2202897705148418,6.057283487836497e-06,-7.54765258225011,11.228815372187052,0.9523809523809524,0.8,25,21
3000,3,ZNF143,R-3000,-1.0,15.903598232297371,-0.3710871277509237,5.800351669472215e-15,3.3013359664366955,2.863183502005995,0.9523809523809524,0.8,25,21
3004,3,ZNF143,R-3004,-1.0,15.903598232297371,0.2236089954089439,4.341705626643585e-06,-5.893994693699585,7.135605351755039,0.9523809523809524,0.8,25,21
3001,3,ZNF143,R-3001,-1.0,15.903598232297371,0.3367085353732014,1.966964223412125e-12,-12.214013106761664,20.804562893278632,0.9523809523809524,0.8,25,21
3016,3,ZNF143,R-3016,-1.0,15.903598232297371,0.4202785243511154,3.7850356759197055e-19,-8.900632459030746,13.192588379978927,0.9523809523809524,0.8,25,21
3003,3,ZNF143,R-3003,-1.0,15.903598232297371,0.5771332513969977,3.8876986311118485e-38,-6.378183090753961,8.228752705407087,0.9523809523809524,0.8,25,21
3008,3,ZNF143,R-3008,-1.0,15.903598232297371,0.5313855485104964,1.5192785062293772e-31,-4.6749425090183685,5.0042358664233,0.9523809523809524,0.8,25,21
3002,3,ZNF143,R-3002,-1.0,15.903598232297371,0.4172675965468359,7.156538893338032e-19,-12.046568602416244,21.845334566165292,0.9523809523809524,0.8,25,21
