,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4148,7,KLF15,4148,-1.0,5.66983573691805,0.5946931636430977,5.929486551472478e-41,-10.076306573895799,10.127480020446315,1.0,0.6666666666666666,24,16
4130,7,KLF15,4130,-1.0,5.66983573691805,-0.5058970062796718,2.7503949704024064e-28,4.1372397463301285,3.3984365439407798,1.0,0.6666666666666666,24,16
4131,7,KLF15,4131,-1.0,5.66983573691805,0.5935403050247099,9.188845797974294e-41,-6.218211368944978,5.7375342619659,1.0,0.6666666666666666,24,16
4128,7,KLF15,4128,-1.0,5.66983573691805,-0.5620682963457155,7.483685325075853e-36,9.645208735363532,8.920658216282563,1.0,0.6666666666666666,24,16
4139,7,KLF15,4139,-1.0,5.66983573691805,-0.415670641297689,1.0006892531003806e-18,3.5047195347222577,2.797441564996726,1.0,0.6666666666666666,24,16
4132,7,KLF15,4132,-1.0,5.66983573691805,0.5145360894044649,2.322098091403327e-29,-6.427655169656455,5.995875745341694,1.0,0.6666666666666666,24,16
4135,7,KLF15,4135,-1.0,5.66983573691805,-0.46833025332195194,5.860732360280053e-24,10.130375233623534,9.635270715731515,1.0,0.6666666666666666,24,16
4141,7,KLF15,4141,-1.0,5.66983573691805,-0.4851803888889594,7.806291510105071e-26,2.7051969327403858,1.9144824969663174,1.0,0.6666666666666666,24,16
4140,7,KLF15,4140,-1.0,5.66983573691805,0.5573555618410055,3.6729299601508115e-35,-6.889575905126944,6.3995011300659765,1.0,0.6666666666666666,24,16
4127,7,KLF15,4127,-1.0,5.66983573691805,-0.30978843260186767,1.1683235602063127e-10,2.2125231407884085,1.433465355540017,1.0,0.6666666666666666,24,16
4150,7,KLF15,4150,-1.0,5.66983573691805,-0.2531647592581084,1.780964525140857e-07,3.884512280020638,3.081138095044635,1.0,0.6666666666666666,24,16
4138,7,KLF15,4138,-1.0,5.66983573691805,-0.5659954905420187,1.949285092734456e-36,9.034959629911851,8.76354266282956,1.0,0.6666666666666666,24,16
4136,7,KLF15,4136,-1.0,5.66983573691805,0.42741823172255294,8.144887551514116e-20,-2.5038358554196827,1.6901475136307371,1.0,0.6666666666666666,24,16
4134,7,KLF15,4134,-1.0,5.66983573691805,-0.43343907263964804,2.1667263982122327e-20,7.505483048066818,7.4870656477444,1.0,0.6666666666666666,24,16
4146,7,KLF15,4146,-1.0,5.66983573691805,-0.2696810613334483,2.4864687656918696e-08,2.171910544806069,1.384186335028788,1.0,0.6666666666666666,24,16
4143,7,KLF15,4143,-1.0,5.66983573691805,-0.3305513875694377,5.189114495191911e-12,3.3910424007411124,2.550884466334643,1.0,0.6666666666666666,24,16
2167,7,E2F8,2167,-1.0,2.2221569771479186,-0.27593781801593154,1.1381829205850811e-08,2.407817111877373,1.6157795697255997,0.5,0.2,10,4
2166,7,E2F8,2166,-1.0,2.2221569771479186,-0.3073645038095323,1.6547667205652104e-10,2.7063619463539967,1.8986648981738246,0.5,0.2,10,4
