,state
9bdfb73a-076e-418b-b84e-381341688002,8.0
3f9403bf-0b47-40e4-8709-9db0d218e607,10.0
d29f0d63-c538-4fac-be6e-176227d9a10b,5.0
f3230d6d-ceb1-4a20-bfb5-e0d31e0ab417,6.0
78ca76f2-6668-444a-826f-da9316dad81d,3.0
5d52cc4f-7bca-491e-ae85-0719b30d121e,11.0
80f493dc-d202-4fb0-803b-3a4fa2c85824,5.0
13034342-456c-4a89-a936-a6f2dcc76f2b,5.0
ebe6a1a2-8084-4b84-be78-43e3cd5eea32,10.0
1b239b10-362e-4fba-9b28-3d81f0cca53b,1.0
9efd245f-5ec0-442f-b811-4e3332b10748,4.0
11faac26-d8da-41b3-92a2-04e99c023e4c,1.0
cecb1e03-6390-4532-8573-bb6453a99d55,9.0
3d4f4de9-29fe-4132-955e-adacdd7e7060,3.0
7644ce79-63da-41fd-8c82-6125f24c0a6b,5.0
eedcfe8a-83e5-46aa-b68b-3fb583ad7773,10.0
2af66787-e6a9-4db0-91b8-d438a0778178,7.0
d24d3ff9-d2bf-49bd-ba20-9466d346497e,4.0
b743d4f2-da2c-4f41-8d7e-c9ee70c2f37f,4.0
acceab31-761e-44a5-af94-ad893bdb2987,5.0
3eeb805b-3dc3-47ad-9d83-672d39333b8f,11.0
dc33c2b1-27d4-4997-aafd-633162f52895,1.0
24ec55e6-bcfe-429c-b411-f40d50e723a5,10.0
8d0c0e3e-b223-4974-b7d0-22e6412137aa,6.0
d1d1649a-7437-4f25-b86e-786a25b0ecbe,10.0
515171d4-cc02-48c3-b660-e9f7f12fc5c2,11.0
248c0f63-a5ef-4f6f-9536-07febe171bc9,7.0
e1b87c08-100b-4347-b495-7698e9f8cdca,3.0
7f0c7e56-e174-4306-888b-c93fef78e1f5,4.0
cb2f52e7-c2b7-409a-b674-08c9f9376202,3.0
211aa554-5cf0-4b0b-a428-25b0ab791303,4.0
1d39b873-4e7c-491f-a42c-40053aa7ef06,10.0
76724bd8-b037-4bb7-90bc-bc40f02c1507,11.0
fef62ff9-f25e-49a7-b1e4-84099d13a309,4.0
01b0afa5-4ea9-4c2b-a375-7e1e4d9b3c09,3.0
a6177818-114b-437b-9928-a6747a788109,10.0
157390d2-ee7a-4eed-a445-2764163ef70a,7.0
65d6ea6c-7827-40aa-82ad-c83ec5d0fc0c,8.0
086d8f38-76b9-450d-a070-9da9d9779d0e,6.0
95f20abb-7b0f-42ac-82e2-3a64a4735e0e,10.0
23c3adb8-41a1-4cb1-96c3-d9185324b114,3.0
fcce37c4-a2be-4050-8ee2-dc341093c014,1.0
a1d5f8b2-0876-4f8c-8a22-d8fd14fdd91a,10.0
eeee43e2-5203-46d7-b554-f4cbc2e1881c,11.0
ceb1e524-ea75-4111-aa7c-1d8b9ffc021d,1.0
71d47c16-f09f-4932-8bab-983bda1c9b1f,3.0
0e17fc74-47ce-459d-b6b1-27c7becfea1f,3.0
9747fd2f-d078-45ca-9d16-58d52a287323,10.0
242f1dfd-c95f-4a3b-ae88-6f7f06cc4d29,3.0
e773014c-98de-4394-95f9-845e29f35a2b,4.0
2050948c-479b-44b8-bf3a-2606a8bc822d,3.0
c8041089-e148-4b33-bbb7-9298b81a8832,10.0
ed8a6ee1-399e-444c-bea5-1b32aaf46334,4.0
f42edea7-271c-4a65-8113-62fa64424535,1.0
a3e44fb4-8385-4e39-88eb-f8e0d74e8938,4.0
9b16bcc6-8301-41fd-b763-1672f132e03d,1.0
e55ab18d-4929-4551-8561-f04399c6e13d,3.0
a3150223-5399-4cc6-90a7-6046f39fac3e,4.0
