,Coefficient
GLIS2,0.003763163637447113
NR2F1,0.040837791677125874
ZEB1,0.0
ETV1,0.0
ZFX,0.0
STAT1,0.0
HSF4,0.00040256795234219967
SNAI2,0.0
HSF2,0.0
CREB3L2,0.0
MEIS2,0.0
SMAD1,0.0
NFKB1,0.0
PBX1,0.0
PAX9,0.0
SOX12,0.0
ZSCAN26,0.0
EGR3,0.0
REST,0.0
TBX5,0.0023405406266819003
NFIA,0.0
ID4,0.0006786919628564709
IRF2,0.00900856667203009
RORA,0.0
EWSR1,0.0
ZNF281,-0.009009004664627496
SP1,0.0
PROX1,0.000310164904731903
GLI3,0.0
SP3,0.0
EPAS1,0.04960017890097091
GTF2A1,0.0
TFAP4,0.0
NR2F2,0.0
BATF3,0.12076534459890796
ZNF628,0.0030039561920270235
ZBTB14,0.0
ELF1,0.0
FOXK1,0.0
HOXA2,0.0
FOS,0.00021081990246186438
FOXO3,0.0
FOXC1,0.0009337933245047608
NFATC1,0.005602939822913842
HOXA10,0.005997525705586393
OTX1,0.0
FOXP1,0.0
CDC5L,0.0
ARID5B,0.0
SIX4,-0.0003672935272347758
RUNX2,0.0
ELK3,0.004516589327414487
HOXB3,0.0
MEF2A,0.0
ETV5,0.0
EGR1,0.01561696033364603
FLI1,0.23123033991004158
FOXD1,0.0036573234165949574
SMAD3,0.0
EMX2,0.0
HIVEP2,0.0
MYB,0.0
KLF7,0.0
ATF5,0.0
TCF7L2,0.0
MECOM,0.005179861006443691
MGA,-0.0014498498160888016
HOXC4,0.0
HBP1,0.0
POU2F1,0.0
HOXA4,0.0
GTF2I,-0.00031510982161958703
TEAD1,-0.002011762954001229
HOXA1,0.0
RUNX1,0.0
RFX7,0.0
NR4A2,0.0015848836027059006
GLIS1,0.010022543159558339
EP300,0.0
STAT4,0.005413666183317053
TFCP2,-0.00016270085290567845
HOXC11,0.0
SMAD4,0.0
IKZF2,0.0
CTCF,0.0
HMGA1,0.0
KLF12,0.0
ZNF143,0.0
HOXA3,0.0006073739278283786
MEOX2,0.0
