,Coefficient
MAF,7.560818012377677e-05
TCF7L2,0.09664364481299417
IKZF1,0.0021990755418793617
HOXC4,-0.0583099334964316
HBP1,0.0
ZBTB3,-0.0007809324205992213
NKX2-5,0.017648378833289867
FOS,-0.019322666706877465
MGA,0.0049259496148383155
POU2F1,0.0
E2F1,0.03133440871606014
NFE2L2,0.0
PRRX1,0.0
SOX8,0.28138345834144757
BHLHE41,0.0
ZNF281,-0.000845850532211684
AHR,0.0
HOXB2,-0.04746202595488091
MYC,0.03138401816370858
TP63,0.0
ARID5B,0.0
EOMES,0.0
FOXJ3,0.0
ZNF652,-0.07180733735717126
ESRRG,-0.0013487188335366677
FLI1,0.0
HOXB5,0.0
ERG,-0.08730486820383965
