,Coefficient
NR3C1,0.0
TNFRSF10A,0.0
NR4A1,0.0046770106058626
ZEB1,-0.0005719076770781752
KLF4,0.002756117932762806
RFC5,0.00019176275336352765
BDP1,0.0
TRAF4,0.0
HSF2,0.0
CREB3L2,0.0
GLI1,0.00036930363189064346
CEBPE,0.0
MEIS2,0.01358634919678991
SF1,0.0
FOXJ3,0.0
MEF2D,0.0
XBP1,-0.0025362028036222785
ZSCAN26,0.0
REL,0.0
EHF,-0.00038625480358279643
PRDM1,0.0
IKZF1,0.0
NF1,-0.0017260193079558772
TEAD4,0.0003213908541675083
IRF2,0.0
TFEC,-0.002180599571365527
BHLHE41,0.0
EWSR1,0.0
PROX1,0.0
ZIC4,0.0
ELF2,0.0
BATF3,0.0
NKX1-2,0.0
IRX3,0.0
ELF1,0.0
FOXO3,-1.6094003878606348e-06
LEF1,-0.0013540764168531111
FOXC1,0.10392629818827932
RARB,4.372120738954431e-05
E2F8,0.0
HOXA10,0.0
OTX1,0.003159174679246357
FOXP1,0.0
CDC5L,0.0
ARID5B,0.0
SIX4,0.0
RUNX2,0.0
ELK3,0.0
ETV5,0.0
ZNF652,-0.0006663671285003172
FLI1,0.0
PPARG,0.0
SMAD3,0.0
EMX2,0.0
KLF7,0.0
HOXB4,0.0
DR1,0.0
TCF7L2,0.0
HBP1,0.0
NKX2-5,0.0
CNOT3,0.0018313819442595442
CREB5,0.0
AHR,0.0
HOXB2,0.0
EP300,0.0
IKZF2,0.0
SIRT6,0.0
ZFX,0.0
STAT1,0.0
PAX6,0.0028587632785112833
BHLHE22,0.0
NFKB2,5.269260095813291e-05
SNAI2,0.0005519069792661343
MYC,0.008107164562698608
SMAD1,0.0
TBX15,-0.000890952611438757
PBX1,-0.0013403022710704966
REST,-0.000598050018122865
TBX5,0.0
SHOX2,0.0
NFIA,-0.024029172090219545
BHLHE40,0.0
CENPB,0.0006487980934171504
ID4,0.032940821674987526
HOXA9,0.0
ZNF281,-0.06968189287228159
SP1,0.0
GLI3,0.0
HIF1A,0.0
SP3,0.0
IRF4,0.0
NFYA,-0.00020637599018053039
NR2F2,0.0
ERG,0.0
DMRT2,0.0
ZBTB14,0.0
MAF,0.0
IRF9,0.0
ZIC1,0.0
HOXA2,0.0
FOS,0.0
GSC,0.0
BRCA1,0.0
FOXF1,0.0
PRRX1,0.0
HOXD8,0.0
HOXB3,0.0
MEF2A,0.0
NFAT5,0.0
EGR1,0.00021287422860724183
CREB1,0.0
TFEB,0.011887493148316448
EBF1,-0.0002736903658587223
ATF5,0.0
MYB,0.0
HOXC8,0.0
MGA,0.0
HOXC4,0.0
HOXA4,0.0019522492347846386
NFE2L2,0.0
SOX4,0.0
STAT5B,0.0
GTF2I,0.0
TEAD1,0.0
HOXA1,0.011472215857746621
RUNX1,0.0
FOXO1,0.0
GLIS1,0.00341029840874067
STAT4,0.0
TFCP2,-9.07443271586049e-05
EN1,0.0
HOXC11,0.0
GABPB1,0.0
CTCF,0.0
ETS1,0.0
HMGA1,0.0024322934325871916
HOXA7,0.0023569040245259433
KLF12,0.0
ZNF410,0.0
ZNF143,0.0
HOXA3,0.0
MEOX2,0.0
