,Coefficient
GLIS2,0.0
DDIT3,0.0
ZIC1,0.010602669702509272
PAX6,0.05357191535392322
FOS,0.0
FOXF1,0.0
PRRX1,-0.06862534302462604
RARB,0.07908808544559914
NFATC1,0.01654697688707807
GLI2,0.0
OTX1,0.02882921632711845
ARID5B,0.0
ETV3,0.15340557246110145
GABPA,0.0005461108972302205
MEIS2,0.0
SMAD1,0.0
SF1,0.0
TFEB,0.00033503458376430025
TBX5,-0.010336153619734369
EHF,0.0
STAT3,0.0
GFI1,0.0
VAX1,0.0
NR2F6,0.004446127771559148
ZBTB6,0.0
IKZF1,0.0
DLX6,0.13251149915083937
NFE2L2,0.0
RUNX1,0.0
STAT4,0.0
ZIC4,0.022276815230135246
TFAP4,0.052924582961865446
