,Alt_ID,in_degree,out_degree,out/in
FLI1,FLI1,2.0,12.0,6.0
CREB1,CREB1,5.0,22.0,4.4
EBF1,EBF1,3.0,11.0,3.6666666666666665
HOXA7,HOXA7,2.0,7.0,3.5
IKZF1,IKZF1,3.0,10.0,3.3333333333333335
PROX1,PROX1,3.0,9.0,3.0
ZNF217,ZNF217,2.0,5.0,2.5
ZNF148,ZNF148,4.0,8.0,2.0
PURA,PURA,4.0,8.0,2.0
TEAD1,TEAD1,5.0,9.0,1.8
PRDM1,PRDM1,4.0,7.0,1.75
MAF,MAF,3.0,5.0,1.6666666666666667
CDC5L,CDC5L,4.0,6.0,1.5
ATF2,ATF2,4.0,6.0,1.5
POU2F1,POU2F1,8.0,11.0,1.375
HOXC4,HOXC4,5.0,4.0,0.8
TAL1,TAL1,5.0,4.0,0.8
NR2F2,NR2F2,8.0,6.0,0.75
MECOM,MECOM,3.0,2.0,0.6666666666666666
RARB,RARB,6.0,4.0,0.6666666666666666
ZNF410,ZNF410,6.0,3.0,0.5
TFAP2B,TFAP2B,7.0,3.0,0.42857142857142855
POU2F3,POU2F3,5.0,2.0,0.4
HSF2,HSF2,6.0,2.0,0.3333333333333333
BHLHE22,BHLHE22,2.0,0.0,0.0
