,Source,Edge,Target
0,MAFK,0.0883449541599101,BORCS8-MEF2B
1,CEBPA,0.0741868027127922,BORCS8-MEF2B
2,NR1H2,0.3635445904928107,BORCS8-MEF2B
3,E2F1,0.0846729984709993,BORCS8-MEF2B
4,ERF,0.1238508389255311,BORCS8-MEF2B
5,GTF2A1,-0.0974319622465303,BORCS8-MEF2B
6,FOXP1,-0.067232186916448,GMEB2
7,AHR,-0.0978392271389695,GMEB2
8,IKZF1,0.2917535819377584,NFATC2
9,FLI1,0.341838080287718,NFATC2
10,ZNF217,0.1615353976279354,NFATC2
11,PURA,0.1780181429334828,ELF2
12,REST,0.3052992144512931,ELF2
13,BHLHE40,0.0998732963546773,ELF2
14,SMAD4,0.2274080017674932,ELF2
15,TBX5,0.1945506013406691,RUNX2
16,PRRX1,0.4917102934346573,RUNX2
17,MEIS2,0.05806673520089,VAX1
18,NFKB1,-0.0282737719916018,VAX1
19,XBP1,-0.2297520751041656,VAX1
20,CDC5L,0.0326291727786683,VAX1
21,HBP1,-0.1114683257546104,VAX1
22,ZNF524,-0.0552361496296369,VAX1
23,BCL6B,0.1643920688885772,GLIS1
24,NR3C1,0.1710161327082967,RORA
25,ZEB1,0.2876089915120405,RORA
26,TFEC,0.0668148202011987,RORA
27,NFAT5,0.2719604456793938,RORA
28,IRF4,0.7935889230991029,POU2AF1
29,HOXA2,0.0371486043255602,ZSCAN26
30,SOX11,-0.0417094609430477,ZSCAN26
31,ZBED6,0.0554547484077013,ZSCAN26
32,ATF2,0.1197413315827718,ZSCAN26
33,POU2F1,0.1404069088557734,ZSCAN26
34,HBP1,0.0960825715200127,ZSCAN26
35,OSR1,0.0523331257858899,ZSCAN26
36,GLI3,0.1247843443844936,ZSCAN26
37,BRCA1,0.1764423243488227,HLTF
38,CREB1,0.2078067549147345,HLTF
39,MEOX1,-0.1048786119846827,HLTF
40,CLOCK,0.1475624385267865,HLTF
41,SP3,0.0624347923934991,HLTF
42,GMEB2,0.0247783903936314,HLTF
43,NFIA,0.1003951550871217,ZNF350
44,SP1,0.1089384266395962,ZNF350
45,FOSL1,-0.0888647508991662,ZNF350
46,ZNF75A,0.2036226708452521,ZNF350
47,REL,0.0612938530153571,ZNF75A
48,RREB1,0.1763731258306831,ZNF75A
49,CTCF,0.0636248602819831,ZNF75A
50,DBP,0.0560412093159082,ZNF75A
51,IRF2,0.1150927754380112,ELF4
52,E2F8,0.2183890165263967,ELF4
53,KLF11,0.1720423367519415,ELF4
54,ZSCAN16,-0.096793717009099,ELF4
55,STAT1,0.0887603963903779,ELF4
56,NFATC2,0.117745120267121,ELF4
57,ZNF524,-0.0883254764948366,SNAI2
58,BHLHE41,0.27879539713473,SNAI2
59,ZBTB14,0.0003721132928867,TNFRSF10A
60,MYB,-0.0135760329899251,TNFRSF10A
61,TBX19,0.0139364569733608,TNFRSF10A
62,ELF3,0.0382873944795405,TNFRSF10A
63,NFAT5,0.0817029386493613,TNFRSF10A
64,ZNF784,-0.0063437413929747,TNFRSF10A
65,GSC,-0.0018095062238596,TNFRSF10A
69,ESRRA,0.0002257546318952,TNFRSF10A
70,NFKB1,0.1310911604771042,SMAD1
71,ETV1,0.1054237261293234,SMAD1
72,SP1,0.1747247632084882,SMAD1
73,GTF2I,0.3268368245751474,SMAD1
74,TEAD1,0.1060235007497874,SMAD1
75,ETV1,0.195557566636694,GTF2A1
76,CDX1,-0.0596234533388216,GTF2A1
77,SRF,-0.0882492962024765,GTF2A1
78,FOXP1,0.1238770105800995,GTF2A1
79,CREB3L2,0.072227440016821,GTF2A1
80,ETV3,0.3167137630931664,GTF2A1
81,GLI3,0.0708313815732776,GTF2A1
82,KLF4,0.1290268730579453,ELF3
83,TRAF4,0.0651333864170535,ELF3
84,MAFK,0.0987774938109535,ELF3
85,ETV3,0.1064193167661684,ELF3
86,MEF2D,0.0535793736885257,ELF3
87,NR2F6,0.1710614347664576,ELF3
88,ETV5,-0.0542219352211702,ELF3
89,SNAI2,-0.0804800659520479,ELF3
90,TFAP2C,0.1236679422645953,ELF3
91,GRHL1,0.0938569195418877,ELF3
92,NR3C2,0.0768703868199628,SP4
93,HLTF,0.0905474889083004,SP4
94,FOXK1,0.1067658786821245,SP4
95,NFAT5,0.088275601178342,SP4
96,CREB1,0.3138889580165996,SP4
