,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5487,13,EOMES,R-5487,-1.0,3.8302423529479888,0.4289531426932124,1.1685307684676384e-51,-3.748630836015019,1.5157172102729684,0.8,0.3636363636363636,22,10
5505,13,EOMES,R-5505,-1.0,3.8302423529479888,0.130984836368266,1.0270086905291413e-05,-3.203893074695731,1.329539818666652,0.8,0.3636363636363636,22,10
5497,13,EOMES,R-5497,-1.0,3.8302423529479888,0.3781922902183356,1.2291498297105188e-39,-3.6121584675772898,1.4988771303538626,0.8,0.3636363636363636,22,10
5488,13,EOMES,R-5488,-1.0,3.8302423529479888,0.5396327326857385,3.644355693288833e-86,-5.380004238170288,1.9403053119506224,0.8,0.3636363636363636,22,10
5493,13,EOMES,R-5493,-1.0,3.8302423529479888,0.2645716760459436,1.6629737669933453e-19,-4.021510450854132,1.6236023601237013,0.8,0.3636363636363636,22,10
5498,13,EOMES,R-5498,-1.0,3.8302423529479888,0.3724731735762561,2.074447955394584e-38,-7.63067246303032,2.685780029130094,0.8,0.3636363636363636,22,10
5491,13,EOMES,R-5491,-1.0,3.8302423529479888,0.3161338662014977,1.4142324986094016e-27,-3.705085545619031,1.493348185091396,0.8,0.3636363636363636,22,10
5485,13,EOMES,R-5485,-1.0,3.8302423529479888,0.8554310821951141,1e-323,-11.75822829573594,3.337979507600901,0.8,0.3636363636363636,22,10
3675,13,CEBPE,R-3675,-1.0,1.423339058596539,0.1923339613485996,7.489061380268155e-11,-3.971943796337034,1.5883273840751744,0.6,0.24,25,10
3688,13,CEBPE,R-3688,-1.0,1.423339058596539,0.2022562994956461,7.2153529636709275e-12,-8.923480141719393,2.689783770286002,0.6,0.24,25,10
3684,13,CEBPE,R-3684,-1.0,1.423339058596539,0.1689416375013209,1.1547260129628542e-08,-4.082221340298308,1.6304057439378197,0.6,0.24,25,10
3678,13,CEBPE,R-3678,-1.0,1.423339058596539,0.184710101088471,4.162122468326734e-10,-6.720125640885014,2.3973945366269964,0.6,0.24,25,10
3686,13,CEBPE,R-3686,-1.0,1.423339058596539,0.3852551535024398,3.4650761434416507e-41,-3.831454581884268,1.5825588991905069,0.6,0.24,25,10
3673,13,CEBPE,R-3673,-1.0,1.423339058596539,0.3985607160862889,3.2725305090918813e-44,-11.28550302323306,3.255323599063436,0.6,0.24,25,10
5077,13,TAL1,R-5077,-1.0,1.6489360820251429,0.5212072143725778,1.6680739503635494e-79,-8.067481769678032,2.6850351731306583,0.9,0.36,25,10
5079,13,TAL1,R-5079,-1.0,1.6489360820251429,0.5020531442502512,5.312469170736045e-73,-4.873355068612149,2.1039905088007687,0.9,0.36,25,10
5087,13,TAL1,R-5087,-1.0,1.6489360820251429,0.6621677006820258,3.7915047520795494e-143,-8.5611899866985,2.869889857905357,0.9,0.36,25,10
5083,13,TAL1,R-5083,-1.0,1.6489360820251429,0.2514132283756659,1.0458509194173439e-17,-8.816584030087046,2.785694253142464,0.9,0.36,25,10
5089,13,TAL1,R-5089,-1.0,1.6489360820251429,0.2194983178584695,9.220310219088889e-14,-4.347656265361312,1.725286758841241,0.9,0.36,25,10
5092,13,TAL1,R-5092,-1.0,1.6489360820251429,0.3057396523801215,8.183088015342474e-26,-4.541971662450414,1.718626509601806,0.9,0.36,25,10
5068,13,TAL1,R-5068,-1.0,1.6489360820251429,0.3136230294894788,3.825740163117934e-27,-12.736891760979644,3.581027172953102,0.9,0.36,25,10
5086,13,TAL1,R-5086,-1.0,1.6489360820251429,0.4129998663927455,1.1813912608666512e-47,-4.741635891098202,2.029810247932328,0.9,0.36,25,10
5071,13,TAL1,R-5071,-1.0,1.6489360820251429,0.8309592634101078,9.087048098558285e-289,-4.288944513448066,1.6938913725886042,0.9,0.36,25,10
6865,13,SOX10,R-6865,-1.0,2.165192019068978,0.7802257201137106,1.729873221642176e-231,-8.485656598016435,2.931886326540111,0.7142857142857143,0.2,25,7
6877,13,SOX10,R-6877,-1.0,2.165192019068978,0.3388161999905115,1.135428728822255e-31,-9.092133449336394,4.573182173253654,0.7142857142857143,0.2,25,7
6863,13,SOX10,R-6863,-1.0,2.165192019068978,0.7007423170380892,3.4670731640614575e-167,-5.088280071389642,1.95099217569468,0.7142857142857143,0.2,25,7
6862,13,SOX10,R-6862,-1.0,2.165192019068978,0.3546972642844295,9.484443175655627e-35,-4.887637068175451,1.876958196965944,0.7142857142857143,0.2,25,7
6869,13,SOX10,R-6869,-1.0,2.165192019068978,0.3740572606548453,9.537299401106164e-39,-3.008867981555642,1.3654779065218756,0.7142857142857143,0.2,25,7
4368,13,ESR1,R-4368,-1.0,1.3380532301681107,0.5520293076681657,6.95881584451654e-91,-3.6993082834300672,1.576197114909285,0.375,0.12,25,8
4362,13,ESR1,R-4362,-1.0,1.3380532301681107,0.5255350666647803,4.948388206224793e-81,-3.3677612539548076,1.4037583356603889,0.375,0.12,25,8
4374,13,ESR1,R-4374,-1.0,1.3380532301681107,0.5873115820723166,1.847914799351021e-105,-4.15307290154826,1.6274490524131509,0.375,0.12,25,8
1527,13,IKZF1,R-1527,-1.0,3.847664580763254,0.6488789785489624,1.1265029649574124e-135,-17.500369854845335,4.850698385672037,0.6666666666666666,0.16,25,6
1521,13,IKZF1,R-1521,-1.0,3.847664580763254,0.9127195426545088,0.0,-12.182549402276674,3.470206777975876,0.6666666666666666,0.16,25,6
1524,13,IKZF1,R-1524,-1.0,3.847664580763254,0.4423849701793848,3.351242204802603e-55,-3.3657422625255946,1.3911251929332964,0.6666666666666666,0.16,25,6
1543,13,IKZF1,R-1543,-1.0,3.847664580763254,0.3935234873693989,4.7465225532813944e-43,-9.4831398828592,3.489838196424596,0.6666666666666666,0.16,25,6
2000,13,BATF3,R-2000,-1.0,3.446989410970925,0.6326530261519172,4.817880464638641e-127,-11.887231345449662,3.4139997948167125,0.5,0.0909090909090909,11,2
7079,13,ZNF713,R-7079,-1.0,1.8233512110403425,0.6056428746203327,9.096572965693488e-114,-4.424869178622774,1.7394380750004954,1.0,0.2,25,5
7065,13,ZNF713,R-7065,-1.0,1.8233512110403425,0.5323746682741453,1.7159900122069734e-83,-5.113148648735285,2.011567152054247,1.0,0.2,25,5
7070,13,ZNF713,R-7070,-1.0,1.8233512110403425,0.2776598715588927,2.133379498105002e-21,-6.295688431985455,2.3076544574667057,1.0,0.2,25,5
7081,13,ZNF713,R-7081,-1.0,1.8233512110403425,0.3962451520214777,1.1254010750866945e-43,-6.760316357379187,2.6181170075214744,1.0,0.2,25,5
7072,13,ZNF713,R-7072,-1.0,1.8233512110403425,0.4082427607135989,1.6800240459957691e-46,-9.318148707690158,2.7868553319948126,1.0,0.2,25,5
4346,13,LEF1,R-4346,-1.0,1.7079516999812925,0.4245578684455817,1.5580471099808498e-50,-5.16420219919237,1.9867124092907251,0.8888888888888888,0.32,25,9
4348,13,LEF1,R-4348,-1.0,1.7079516999812925,0.3387595273761264,1.1636664137163843e-31,-5.197899182285619,1.9670239956150033,0.8888888888888888,0.32,25,9
4335,13,LEF1,R-4335,-1.0,1.7079516999812925,0.1983831740787255,1.8248993463322517e-11,-3.917648563172553,1.5991906278574732,0.8888888888888888,0.32,25,9
4342,13,LEF1,R-4342,-1.0,1.7079516999812925,0.3730281303524768,1.580837088039705e-38,-2.721135214224727,1.7607194481538142,0.8888888888888888,0.32,25,9
4340,13,LEF1,R-4340,-1.0,1.7079516999812925,0.4139910037782035,6.758195247539232e-48,-4.251398428795943,1.68582313277817,0.8888888888888888,0.32,25,9
4345,13,LEF1,R-4345,-1.0,1.7079516999812925,0.4067298361765481,3.873397884280503e-46,-4.497977691976565,1.7718709415853302,0.8888888888888888,0.32,25,9
4350,13,LEF1,R-4350,-1.0,1.7079516999812925,0.2571531804551973,1.7680471214902766e-18,-5.135048631928035,1.890886124240987,0.8888888888888888,0.32,25,9
4336,13,LEF1,R-4336,-1.0,1.7079516999812925,0.2765987093015274,3.0642839093367616e-21,-13.92214740081449,3.937369418754278,0.8888888888888888,0.32,25,9
4835,13,FOXC1,R-4835,-1.0,2.487443486109925,0.7543693732352708,7.085830386304501e-208,-16.45773795834118,8.912855079591486,0.5454545454545454,0.24,25,11
4823,13,FOXC1,R-4823,-1.0,2.487443486109925,0.841245005839423,9.674109926397568e-303,-11.203282107984144,4.328041472580638,0.5454545454545454,0.24,25,11
4827,13,FOXC1,R-4827,-1.0,2.487443486109925,0.572638332497633,3.4981485682977007e-99,-3.30708174345708,1.477483431371466,0.5454545454545454,0.24,25,11
4830,13,FOXC1,R-4830,-1.0,2.487443486109925,0.7103710435879258,8.391346185223042e-174,-2.986567119073026,1.3476873019464084,0.5454545454545454,0.24,25,11
4822,13,FOXC1,R-4822,-1.0,2.487443486109925,0.3379018589222662,1.6866061066498334e-31,-13.009458775312138,3.68958370254377,0.5454545454545454,0.24,25,11
4834,13,FOXC1,R-4834,-1.0,2.487443486109925,0.4577615870236443,1.8615572548905209e-59,-15.922804623132851,4.491869934507886,0.5454545454545454,0.24,25,11
618,13,ETV5,R-618,-1.0,3.295782378247203,-0.2030701039883599,5.9231119985416375e-12,9.132813789641196,2.83826281131811,0.5,0.1111111111111111,9,2
6978,13,SMAD3,R-6978,-1.0,1.4761626230609266,0.4401314234307304,1.3511979402846008e-54,-3.5222114892152,1.4734407435440051,0.7272727272727273,0.32,25,11
6999,13,SMAD3,R-6999,-1.0,1.4761626230609266,0.1927572251397505,6.794580370860754e-11,-3.188341968827232,1.3443473610374854,0.7272727272727273,0.32,25,11
6990,13,SMAD3,R-6990,-1.0,1.4761626230609266,-0.4030494603576797,2.9028029864032183e-45,4.945984021240199,2.0043659715192206,0.7272727272727273,0.32,25,11
6998,13,SMAD3,R-6998,-1.0,1.4761626230609266,0.3401507194619662,6.357612677080704e-32,-3.524538179669364,1.4434209055091989,0.7272727272727273,0.32,25,11
6989,13,SMAD3,R-6989,-1.0,1.4761626230609266,0.2517857274967397,9.331664356992328e-18,-5.33807056094512,2.073791723731212,0.7272727272727273,0.32,25,11
6982,13,SMAD3,R-6982,-1.0,1.4761626230609266,0.2014135752305772,8.843652145519163e-12,-3.2328041079742937,1.3429585346089443,0.7272727272727273,0.32,25,11
6980,13,SMAD3,R-6980,-1.0,1.4761626230609266,0.2477374130177477,3.189269311223522e-17,-4.737482646576238,1.8519853237756096,0.7272727272727273,0.32,25,11
6991,13,SMAD3,R-6991,-1.0,1.4761626230609266,0.3119556528705387,7.369496470289969e-27,-10.512730908068216,3.7211425847662127,0.7272727272727273,0.32,25,11
745,13,BACH1,R-745,-1.0,1.323876630909024,0.5360383112252624,7.82466213118052e-85,-4.526665758605755,1.806908216338716,0.8571428571428571,0.48,25,14
759,13,BACH1,R-759,-1.0,1.323876630909024,0.3223156956039021,1.1713168440023099e-28,-7.445405259458592,4.652084265832231,0.8571428571428571,0.48,25,14
758,13,BACH1,R-758,-1.0,1.323876630909024,0.5574337640726426,5.2771155843278964e-93,-3.209795670827453,1.3306192940132655,0.8571428571428571,0.48,25,14
752,13,BACH1,R-752,-1.0,1.323876630909024,0.5634484168588254,2.072984935326172e-95,-10.230271375064984,3.2527977800771004,0.8571428571428571,0.48,25,14
748,13,BACH1,R-748,-1.0,1.323876630909024,0.5132059107849348,9.756071211478151e-77,-3.364091453409394,1.3923248800416554,0.8571428571428571,0.48,25,14
738,13,BACH1,R-738,-1.0,1.323876630909024,0.2789075181064027,1.3908762243115369e-21,-18.774255045998967,5.316892347960542,0.8571428571428571,0.48,25,14
749,13,BACH1,R-749,-1.0,1.323876630909024,0.4741443974810578,3.091803535726326e-64,-5.235651500011075,2.136925297693134,0.8571428571428571,0.48,25,14
737,13,BACH1,R-737,-1.0,1.323876630909024,0.4289884903899707,1.1442622710813694e-51,-4.383504461099363,1.7449875949778344,0.8571428571428571,0.48,25,14
761,13,BACH1,R-761,-1.0,1.323876630909024,0.4023177075719684,4.3194567778525715e-45,-4.108204722308088,1.6084220880100946,0.8571428571428571,0.48,25,14
747,13,BACH1,R-747,-1.0,1.323876630909024,0.3825489895885892,1.3742563736538742e-40,-4.654253920645493,1.8264684182855744,0.8571428571428571,0.48,25,14
742,13,BACH1,R-742,-1.0,1.323876630909024,0.2652876260296272,1.3184753763158868e-19,-4.122726650985683,1.645400136877248,0.8571428571428571,0.48,25,14
743,13,BACH1,R-743,-1.0,1.323876630909024,0.4242818096604855,1.8309733098199652e-50,-3.4174395269177342,1.412441075866023,0.8571428571428571,0.48,25,14
2647,13,HBP1,R-2647,-1.0,1.5373627008717037,0.2747361717801568,5.7635126556885905e-21,-4.335614870174079,1.712389896492872,0.75,0.24,25,8
2658,13,HBP1,R-2658,-1.0,1.5373627008717037,0.5461260592304537,1.3013852586383366e-88,-3.465123418888885,1.4172282474011602,0.75,0.24,25,8
2656,13,HBP1,R-2656,-1.0,1.5373627008717037,0.5247178052362517,9.652837599126188e-81,-8.296408685521476,2.711456656508181,0.75,0.24,25,8
2666,13,HBP1,R-2666,-1.0,1.5373627008717037,0.3797162307664498,5.733335139985209e-40,-3.3544349977531276,1.371808846202541,0.75,0.24,25,8
2653,13,HBP1,R-2653,-1.0,1.5373627008717037,0.5020882698594085,5.1730401698230563e-73,-5.353782813376509,2.0313158559388618,0.75,0.24,25,8
2643,13,HBP1,R-2643,-1.0,1.5373627008717037,0.600570745041206,2.0491169961697096e-111,-3.5871108817642465,1.4810324726398876,0.75,0.24,25,8
1223,13,AHR,R-1223,-1.0,1.5780727459984425,0.4363895987538373,1.336898659371538e-53,-3.8121503743202383,1.548865467422776,0.75,0.3333333333333333,9,4
1225,13,AHR,R-1225,-1.0,1.5780727459984425,0.3312257213350875,2.9134341539131253e-30,-4.604475698295416,1.8241583750172023,0.75,0.3333333333333333,9,4
1229,13,AHR,R-1229,-1.0,1.5780727459984425,0.5159189491239293,1.1462808933230035e-77,-3.4819874317518336,1.42835249246145,0.75,0.3333333333333333,9,4
6890,13,FOSL1,R-6890,-1.0,1.486378315139256,0.4307892688749064,3.91517456961708e-52,-6.309236360842573,2.2338652845770555,0.7,0.28,25,10
6902,13,FOSL1,R-6902,-1.0,1.486378315139256,0.2427750362966374,1.3961318889153854e-16,-3.1166902722865397,1.309679125416226,0.7,0.28,25,10
6906,13,FOSL1,R-6906,-1.0,1.486378315139256,-0.2078997662658973,1.8049895741404769e-12,6.260340387245753,2.1344421453557207,0.7,0.28,25,10
6901,13,FOSL1,R-6901,-1.0,1.486378315139256,0.2848323113688246,1.7700319351808611e-22,-4.204612148522288,1.659772434625804,0.7,0.28,25,10
6895,13,FOSL1,R-6895,-1.0,1.486378315139256,0.2510511914885367,1.1681860269267908e-17,-3.7458952291266345,1.536928998722359,0.7,0.28,25,10
6893,13,FOSL1,R-6893,-1.0,1.486378315139256,0.4047016801505204,1.1789308403735145e-45,-6.525429924668652,2.446964425258486,0.7,0.28,25,10
6904,13,FOSL1,R-6904,-1.0,1.486378315139256,0.5151780167339156,2.0611274982538827e-77,-3.28254015665293,1.375589479235078,0.7,0.28,25,10
9276,13,TFCP2L1,R-9276,-1.0,3.3198488967660658,0.2772096601712583,2.4881249558991516e-21,-3.9283326563908063,1.5935450837760614,1.0,0.25,8,2
9271,13,TFCP2L1,R-9271,-1.0,3.3198488967660658,0.2791636332580417,1.2736020314791117e-21,-4.074353282158963,1.7013790987540078,1.0,0.25,8,2
3204,13,SMAD4,R-3204,-1.0,3.579272332331881,0.3670286427755937,2.901128697323235e-37,-6.225773830090571,2.1294176970609704,0.8333333333333334,0.2083333333333333,24,6
3202,13,SMAD4,R-3202,-1.0,3.579272332331881,-0.1885149569391678,1.78417094217554e-10,3.19386361956186,1.3200242187167543,0.8333333333333334,0.2083333333333333,24,6
3196,13,SMAD4,R-3196,-1.0,3.579272332331881,0.5141312568146249,4.710051115210359e-77,-3.265318992506115,1.3531915568649986,0.8333333333333334,0.2083333333333333,24,6
3189,13,SMAD4,R-3189,-1.0,3.579272332331881,0.2882973814549987,5.179484933616222e-23,-3.8971342560513778,1.5806804579375575,0.8333333333333334,0.2083333333333333,24,6
3182,13,SMAD4,R-3182,-1.0,3.579272332331881,0.5813871241379057,6.912173287576919e-103,-5.245176608630216,2.143786047092904,0.8333333333333334,0.2083333333333333,24,6
2193,13,RELA,R-2193,-1.0,1.9237084439780072,0.1716820608421239,6.622463372224419e-09,-9.908142419647104,2.9353528780156264,1.0,0.2727272727272727,11,3
2202,13,RELA,R-2202,-1.0,1.9237084439780072,0.1427772305993097,1.4904997750334028e-06,-8.023026557786768,2.505919495818321,1.0,0.2727272727272727,11,3
2201,13,RELA,R-2201,-1.0,1.9237084439780072,0.2474643302687497,3.462186199289201e-17,-3.6567501861270006,1.469837787770061,1.0,0.2727272727272727,11,3
