,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
694,8,HNF1A,694,-1.0,6.335589945859938,0.3781561004286435,1.251550936546138e-39,-2.3179927300635303,1.6415474418363138,0.631578947368421,0.48,25,19
696,8,HNF1A,696,-1.0,6.335589945859938,0.29038192288608433,2.4525241463100944e-23,-6.637393335662818,8.64144249898959,0.631578947368421,0.48,25,19
701,8,HNF1A,701,-1.0,6.335589945859938,0.23228275696211684,2.8447896405393934e-15,-7.346070746128722,10.004129773950833,0.631578947368421,0.48,25,19
704,8,HNF1A,704,-1.0,6.335589945859938,-0.3611420769064314,4.7496675876378886e-36,2.421084575180522,1.757804105199842,0.631578947368421,0.48,25,19
692,8,HNF1A,692,-1.0,6.335589945859938,0.327035781070629,1.680652726333065e-29,-4.823674637030008,5.262526101199112,0.631578947368421,0.48,25,19
690,8,HNF1A,690,-1.0,6.335589945859938,-0.35693518581101435,3.3796281159586037e-35,3.22458552232317,2.7471760624301447,0.631578947368421,0.48,25,19
695,8,HNF1A,695,-1.0,6.335589945859938,0.3344113877392552,7.546843803873126e-31,-4.952830850100038,5.441593549777156,0.631578947368421,0.48,25,19
688,8,HNF1A,688,-1.0,6.335589945859938,0.2886852134493778,4.509064438978286e-23,-8.796825682123405,13.157939904116425,0.631578947368421,0.48,25,19
697,8,HNF1A,697,-1.0,6.335589945859938,0.25795323117355895,1.3751537373608105e-18,-6.227787087846575,7.86825550217484,0.631578947368421,0.48,25,19
681,8,HNF1A,681,-1.0,6.335589945859938,-0.23508504285125212,1.2899444204887757e-15,7.456075896045781,10.529180544135087,0.631578947368421,0.48,25,19
698,8,HNF1A,698,-1.0,6.335589945859938,-0.3016444338955841,3.872989883556241e-25,6.290181238065715,7.867270749855706,0.631578947368421,0.48,25,19
689,8,HNF1A,689,-1.0,6.335589945859938,0.28943379970124367,3.448445220913966e-23,-6.531607203434555,8.481802734124257,0.631578947368421,0.48,25,19
1171,8,TEAD3,1171,1.0,5.616821900452751,0.2895997200011107,3.24909502946649e-23,18.69864481320571,34.41625938743948,0.7,0.56,25,20
1166,8,TEAD3,1166,1.0,5.616821900452751,-0.252814203656228,6.805139782529525e-18,-11.263073683759417,17.87580651017545,0.7,0.56,25,20
1186,8,TEAD3,1186,1.0,5.616821900452751,-0.29847462012313875,1.2683376550684227e-24,-11.632622555991457,18.600419182406053,0.7,0.56,25,20
1189,8,TEAD3,1189,1.0,5.616821900452751,0.25996040404929527,7.292302535650193e-19,9.824198439124789,15.297586211915359,0.7,0.56,25,20
1181,8,TEAD3,1181,1.0,5.616821900452751,0.28846165026441134,4.884272454415185e-23,2.9997247015075574,2.4633887080395587,0.7,0.56,25,20
1176,8,TEAD3,1176,1.0,5.616821900452751,0.15304129407271064,2.437252319499888e-07,4.873688869578801,5.445371707942218,0.7,0.56,25,20
1187,8,TEAD3,1187,1.0,5.616821900452751,0.28597845412739004,1.181075784761752e-22,3.2178193381692077,2.7357949017044993,0.7,0.56,25,20
1175,8,TEAD3,1175,1.0,5.616821900452751,0.3542868322453511,1.1450139346875076e-34,12.51249304316746,21.38193487449638,0.7,0.56,25,20
1173,8,TEAD3,1173,1.0,5.616821900452751,0.14470167805472028,1.0713546709664325e-06,5.79259336902224,7.084895527251006,0.7,0.56,25,20
1170,8,TEAD3,1170,1.0,5.616821900452751,-0.25624665471012725,2.3480342493493496e-18,-11.98167404950735,19.786126049400472,0.7,0.56,25,20
1178,8,TEAD3,1178,1.0,5.616821900452751,0.45307402837398925,3.892964976859795e-58,3.2783685740207567,2.821029103406706,0.7,0.56,25,20
1167,8,TEAD3,1167,1.0,5.616821900452751,0.3182843738718701,5.984760057685988e-28,6.271702666606453,7.899361200074632,0.7,0.56,25,20
1184,8,TEAD3,1184,1.0,5.616821900452751,-0.2874945307477448,6.896176592701164e-23,-7.398952886029479,10.052271641407431,0.7,0.56,25,20
1174,8,TEAD3,1174,1.0,5.616821900452751,0.20626172246472377,2.7097924169896355e-12,4.653011483178219,4.943936892083861,0.7,0.56,25,20
5884,8,DDIT3,5884,1.0,7.910244445889615,-0.36998278195453266,6.97707356009883e-38,-12.239013250716393,19.79497191499562,0.3333333333333333,0.3333333333333333,3,3
3070,8,ZEB1,3070,1.0,9.41192267896988,0.8931935770015285,0.0,7.981232746173401,11.667075561195997,0.5,0.4,25,20
3080,8,ZEB1,3080,1.0,9.41192267896988,0.5191901493205154,8.447774870396512e-79,15.307383851410167,26.45943051882279,0.5,0.4,25,20
3082,8,ZEB1,3082,1.0,9.41192267896988,0.39528454625142573,1.8732351292805932e-43,4.045030741147984,3.9519760089774434,0.5,0.4,25,20
3071,8,ZEB1,3071,1.0,9.41192267896988,-0.03847328509849474,0.19683397999679325,-4.10002825391501,4.108029045243929,0.5,0.4,25,20
3068,8,ZEB1,3068,1.0,9.41192267896988,0.28442913811794013,2.0398279069910217e-22,5.544444700127913,6.523513652920434,0.5,0.4,25,20
3081,8,ZEB1,3081,1.0,9.41192267896988,0.4953341768928611,8.131176091765207e-71,13.468310611588084,23.864779170403228,0.5,0.4,25,20
3073,8,ZEB1,3073,1.0,9.41192267896988,0.6953688875336048,1.3115299464480931e-163,8.939290497307965,13.583265572119956,0.5,0.4,25,20
3088,8,ZEB1,3088,1.0,9.41192267896988,-0.24022782604230683,2.941341230423559e-16,-3.689159552224647,3.397482231641979,0.5,0.4,25,20
3072,8,ZEB1,3072,1.0,9.41192267896988,-0.28885743791585256,4.239583992231411e-23,-6.898311699244498,9.173630329973749,0.5,0.4,25,20
3091,8,ZEB1,3091,1.0,9.41192267896988,-0.2567462431473887,2.0084583722315426e-18,-3.601178863564238,3.257457536869467,0.5,0.4,25,20
7056,8,TRAF4,7056,-1.0,4.240778659400529,-0.233348680877239,2.108266095451745e-15,3.8658284648674797,3.689683216409913,0.4117647058823529,0.28,25,17
7042,8,TRAF4,7042,-1.0,4.240778659400529,0.18241263264449625,6.882209376714073e-10,-7.095005810771908,9.556389219073743,0.4117647058823529,0.28,25,17
7051,8,TRAF4,7051,-1.0,4.240778659400529,-0.27153262400979994,1.6890399524318455e-20,3.01818581969693,2.497793543235716,0.4117647058823529,0.28,25,17
7044,8,TRAF4,7044,-1.0,4.240778659400529,-0.280957420153947,6.854467792223077e-22,2.122993105333184,1.4378660277266262,0.4117647058823529,0.28,25,17
7041,8,TRAF4,7041,-1.0,4.240778659400529,-0.3394980454044606,8.445556741745185e-32,7.436422171222288,10.48684848481658,0.4117647058823529,0.28,25,17
7057,8,TRAF4,7057,-1.0,4.240778659400529,0.22492284364440773,2.1625706065420025e-14,-5.579293043156875,6.686880423628395,0.4117647058823529,0.28,25,17
7064,8,TRAF4,7064,-1.0,4.240778659400529,0.1629547218113581,3.7707978901324254e-08,-2.900100023297201,2.32761638641543,0.4117647058823529,0.28,25,17
8226,8,DMRTA1,8226,-1.0,7.3908997490344275,0.1618091685872449,4.7061327315407206e-08,-5.895106300860818,7.212441483236524,0.5,0.42105263157894735,19,16
8221,8,DMRTA1,8221,-1.0,7.3908997490344275,0.28607228888929365,1.1425014731068027e-22,-7.611130759713449,10.520483826457657,0.5,0.42105263157894735,19,16
8211,8,DMRTA1,8211,-1.0,7.3908997490344275,0.48843311106583254,1.2708667776245716e-68,-2.0726983205877465,1.3905111934110705,0.5,0.42105263157894735,19,16
8210,8,DMRTA1,8210,-1.0,7.3908997490344275,0.1108002217181304,0.00019376664849477473,-8.359107915712535,12.13312042155219,0.5,0.42105263157894735,19,16
8209,8,DMRTA1,8209,-1.0,7.3908997490344275,0.4043070254921056,1.462727079774999e-45,-4.512398529154354,4.783907647941122,0.5,0.42105263157894735,19,16
8214,8,DMRTA1,8214,-1.0,7.3908997490344275,0.3712861726245205,3.7030079458368733e-38,-5.9890084772847265,7.443509721620633,0.5,0.42105263157894735,19,16
8223,8,DMRTA1,8223,-1.0,7.3908997490344275,0.3444772799011875,9.510960694720781e-33,-2.717698860641801,2.1033535105226027,0.5,0.42105263157894735,19,16
8224,8,DMRTA1,8224,-1.0,7.3908997490344275,0.167103854292166,1.6680916984290502e-08,-9.82957690872459,14.932000890274821,0.5,0.42105263157894735,19,16
9645,8,HOXC12,9645,1.0,3.182735915930687,-0.17610292925579407,2.6499388447555207e-09,-8.049562845774137,11.492203678984716,1.0,0.5,2,1
