,state
0b1cf6de-f98f-4020-baa7-c4fc518e5f00,1.0
20c90e97-e900-488e-af6a-6648d9a8bb01,2.0
0a2fa7c7-0810-4d65-b16c-4a1792714802,9.0
cb2498a3-ade5-44a1-9df8-c611cde2ae03,12.0
30f32969-5278-4066-bb82-7400cdce8807,7.0
f9e194a1-e5c1-4a1a-840b-4e0246640d09,4.0
2a9ed6f1-3f93-43cf-9e47-6690781e1009,5.0
8f349f98-4d93-4f97-ac6b-50d2bf072b0c,1.0
46c0f948-2eac-41f7-b490-fbca1724d710,1.0
6203b63e-6d3f-4399-b524-9573a9bd1e11,11.0
3c032234-c350-4170-b8f7-f8de8269e713,11.0
db138158-49e4-46b2-8ba6-4a72ff418216,1.0
27cf9f15-9e74-462c-b999-980740829e18,9.0
e01ca3e0-beb0-46b7-bb7c-f5b16f966918,8.0
3420e4dd-879a-44f0-b7bb-5cdd8bd5401a,7.0
0ac5f4b6-c269-4dac-9f84-8ddcb5227823,4.0
41c86eb6-00e3-4ef9-b4ab-165e97513825,5.0
6cf498ba-46d9-451f-b65a-e649964e5d25,5.0
8df83379-a2c6-44f1-86fe-bc691eb09027,7.0
052f5358-94f2-44f2-b52b-a79068eb032f,1.0
21499138-ef9c-4909-92e0-ecb1dff67431,1.0
3d4d1fa7-da4f-44cd-aa52-b8963cd61f31,5.0
208eb3f1-6bc7-401c-a8d8-3ab793b39d34,9.0
64ba791a-c418-4507-bf64-b4b473c78834,2.0
6a6420f7-3618-4d8e-b4c2-d6e6eddcda39,11.0
d512d7d6-0f5f-484c-a4eb-20fcce53643a,1.0
3738df37-7bd7-4b3b-a4bb-4aca77a4573a,7.0
e0435ff5-5847-48f4-9f7b-40da5ab52e3e,11.0
826a2901-1c17-44a4-84a5-bc6f54d10a3f,7.0
421e2607-50fa-4260-bd10-c37fcb7d063f,5.0
3508f4b0-1ada-4937-b924-424ac2596341,3.0
a86d241d-fe25-40b7-a61c-b919d30fa545,7.0
2b231d54-66bc-4f57-bd7d-944f5460cb48,5.0
d5bf82b7-7508-4773-a104-cff25a557149,1.0
b79c0636-2e0f-4639-9084-b6ecbc64414a,1.0
1a258ee7-6bbc-4fa0-bc26-9c5243d7b04b,2.0
a48d1663-22e8-4f98-af8a-53ececfa5f4c,5.0
c90142d8-f939-4fea-bc48-073d2814f54e,5.0
3ddaa477-d3c0-4df0-8c22-99c41e0b3d53,2.0
74707daa-fe40-4d28-ad49-0d1c5465c253,7.0
2a131c31-6c59-457a-8926-f88ac5c57f54,7.0
2356b998-0930-403f-9b04-57a18a150955,1.0
842b272a-9f51-4919-b7c1-a16a2f410b57,11.0
dbfa1780-4558-436a-a434-05dafd0f675a,11.0
a907f2d1-92ad-4a1b-b439-20e5a7347d5b,4.0
f69372c0-9da5-469c-ba81-e5b3da5e605c,5.0
1302a36d-ea6d-4909-bac2-a90e0c03d062,11.0
c771527f-a09e-4173-8eb9-8dce3882476a,7.0
67d1ea12-766f-4eb9-af7e-4545975b076c,11.0
52bc932e-fe9b-49ff-8584-2f92e61d5871,5.0
