,Coefficient
CTCF,0.08163551117671285
FOXK1,0.23092877696993672
IRF2,0.0
REL,0.12753815709988658
FOS,-0.0005231738671777875
KLF7,0.0
HOXD11,0.0
NFIL3,0.0
GABPA,5.9896004185753276e-05
HNF4A,0.0006643130596472384
PRDM1,-0.005193859557626409
SOX7,0.0
DLX1,0.0
TGIF2,-0.0017528762396524082
ELF4,-0.0001508477082618422
NFATC1,-0.03437681276698343
TCF21,-0.005482103427320465
E2F2,0.0
MAFB,-0.0006128909252159406
ELK4,0.016903377913592053
KLF4,0.00044548962120929443
ZEB1,-0.007504339966663013
ARID5B,0.0008378371076059654
SP1,0.03167860984166733
RUNX1,0.0008588840700881008
SMAD1,7.319007751217079e-05
