,Coefficient
NFYA,0.002242336509740073
POU2F1,0.0
FOXO3,-0.00010905794757600606
HOXC5,0.0
IRX5,-0.004935522577444633
PROX1,0.00031790173348121467
KLF7,-0.017174031380269707
PAX9,-0.0004633980911042281
PAX8,0.33414872059303485
BPTF,0.0003201733902142339
ELF1,0.0
CUX1,0.004187523521086846
DLX1,0.0
DR1,-0.0038833187420386243
ETV2,-0.0006483306362143634
ZNF524,-0.003421162860568416
FOXJ3,0.0
HOXD8,0.0
HOXB5,0.009266759422098958
RUNX2,0.0
ETS1,0.007930278825150308
ELK4,0.0
ELK3,-0.00646421377106716
NFE2L2,0.0
HOXA1,-0.13712295856050324
HLTF,0.0
EGR1,0.0
SP1,-0.00282442792538533
HOXD9,0.00015959234226520358
TEAD1,0.0
CTCF,0.0
IRF2,0.0
MEF2D,0.0
RORA,-0.02068583890490004
PRDM1,-0.01653617695579876
SHOX2,-0.0016801602584806475
NR6A1,-0.01247739706322468
ZBTB4,0.0006383762396532324
ATF4,0.00032801272677038495
FOXD3,-0.04313594571740161
FOXF2,-0.012198836340196435
ETV3,0.0
PRRX1,0.0002352991013739916
ZEB1,0.13941818014684948
ARID5B,0.0002128460509541379
BARX2,-0.0018607628736856277
HOXD11,-0.017127342221679012
NFIL3,-0.00026888143383742063
SOX21,0.0
NFATC1,0.0
NKX2-3,0.0
TCF21,0.0
RARB,0.0
SMAD1,0.0
GATA3,-0.004144988046031665
REL,-3.5017696703799856e-05
ZNF219,0.0
HBP1,0.0015029188482380501
SREBF1,0.0
FOS,0.0
IRF9,-0.00013125289811832051
PLAG1,0.0
ELF2,0.0
RFX7,-0.0208305829066644
TFEC,0.0
FOSL1,-0.0014312564765439368
ZSCAN26,0.0
DLX5,0.010602560787850183
ZNF143,0.0
SP3,0.0
EHF,0.0
SNAI2,-0.004223291461097893
HES1,-0.01678007716990857
GFI1,0.0
RUNX1,0.0002722209731217698
SMAD3,-0.04674877645413542
IKZF2,0.0
