,Coefficient
POU2F1,0.0011325622150486607
SPDEF,0.0
PPARA,0.0033366618261508863
ZNF219,0.0
SP1,0.0009756912799077669
PROX1,-0.16993141244790433
SREBF1,0.0
RFX7,-0.00013957215429064856
PAX9,0.10306923947715309
DLX1,-0.005333221335733609
DR1,0.02256082906005007
ETV2,0.010864580694482474
HNF1A,-0.15819843959008398
ZNF628,0.0005237969650571842
ELF4,0.008893932784559619
FOXA3,-0.016981654410930434
DLX5,0.004140075522348734
HOXB5,-0.005064396490403598
TCF21,0.0
ZNF143,0.0
NF1,0.0
EHF,0.007779606401509141
SOX17,-0.0024040979622747165
HES1,0.10898413742968865
ELK4,0.010807635631652355
GFI1,0.0
HOXA1,0.0020334299732170063
ARID5B,0.022442080934580545
ZBTB7B,0.18808989407983695
RUNX1,0.042702952982789165
SMAD3,0.05694405378283736
