,Alt_ID,in_degree,out_degree,out/in
PRRX1,PRRX1,2.0,11.0,5.5
SNAI2,SNAI2,4.0,21.0,5.25
FOXO3,FOXO3,5.0,10.0,2.0
NFE2L2,NFE2L2,3.0,6.0,2.0
REL,REL,5.0,9.0,1.8
SOX21,SOX21,4.0,7.0,1.75
FOXF2,FOXF2,2.0,3.0,1.5
GFI1,GFI1,2.0,3.0,1.5
RORA,RORA,5.0,6.0,1.2
ZEB1,ZEB1,8.0,9.0,1.125
DLX1,DLX1,9.0,10.0,1.1111111111111112
HOXD10,HOXD10,3.0,3.0,1.0
SOX7,SOX7,4.0,4.0,1.0
NFATC1,NFATC1,4.0,4.0,1.0
TFE3,TFE3,2.0,2.0,1.0
ETS1,ETS1,5.0,4.0,0.8
EOMES,EOMES,2.0,1.0,0.5
MEF2D,MEF2D,8.0,4.0,0.5
GRHL1,GRHL1,4.0,2.0,0.5
KLF11,KLF11,14.0,5.0,0.35714285714285715
ALX3,ALX3,2.0,0.0,0.0
