,Source,Edge,Target
4,HOXC5,0.0041909769687071,HNF1A
9,PAX8,0.0602552566717646,HNF1A
19,HOXB5,0.0277363130000508,HNF1A
20,TFAP2C,-0.002498842461751,HNF1A
25,ELK3,-0.0143851735300638,HNF1A
27,HOXA1,-0.0015762524314448,HNF1A
33,RREB1,-0.0131961996838884,HNF1A
41,PRDM1,-0.0247828875377141,HNF1A
43,SOX7,-0.0554041812762149,HNF1A
45,POU5F1,0.0198075239194074,HNF1A
47,ZBTB4,-6.348158341841831e-05,HNF1A
50,ETV3,-0.0003213748600553,HNF1A
68,HOXB8,0.0590636668082545,HNF1A
76,SREBF1,-4.54909787722554e-05,HNF1A
80,HNF4A,0.6101295415242483,HNF1A
83,TGIF2,1.105062635736506e-05,HNF1A
87,GRHL1,-0.0005265924995452,HNF1A
88,TEAD3,-0.0017174702317032,HNF1A
93,SNAI2,-0.0775734098710081,HNF1A
99,IKZF1,0.4563879194997958,NFATC2
100,TEAD1,0.0694251540854615,NFATC2
101,SREBF1,-0.0825630897681649,NFATC2
102,PRRX1,0.0764985336119272,NFATC2
103,SNAI2,-0.3318813036157587,NFATC2
104,GABPA,0.3501883177605272,ELF2
105,DR1,0.1512203141564926,ELF2
106,ELK4,0.2085101505824192,ELF2
107,HOXA1,-0.0741337840116697,ELF2
108,KLF7,0.1575957678944753,RUNX2
109,ZEB1,0.1908406845601852,RUNX2
110,GTF2I,0.3086587801913764,CUX1
111,HLTF,-0.0589084149938676,CUX1
112,TEAD1,0.0747385713008137,CUX1
113,E2F2,-0.0551516507218428,CUX1
114,HES1,-0.080105963652983,CUX1
115,FOXJ3,-0.1597263177851966,FOXP3
116,HLF,0.1665888795439588,FOXP3
117,MSC,0.226476438744943,FOXP3
118,GFI1,0.2960448880343023,FOXP3
119,PROX1,0.1685105567978883,RORA
120,SREBF2,0.082324414376745,RORA
121,NFE2L2,0.1335688929737793,RORA
122,SMAD1,0.1705918556491653,RORA
123,MAFB,0.1864065758873389,RORA
124,POU2F1,0.1310364620449661,ZSCAN26
125,PLAG1,0.0502391743800366,ZSCAN26
126,SOX12,0.0892113847732332,ZSCAN26
127,SOX7,-0.0955809572395323,ZSCAN26
128,TEAD3,0.1925823038223163,ZSCAN26
129,SP3,0.1659475032102251,ZSCAN26
130,ARID5B,0.0792613779711125,ZSCAN26
131,IRF2,0.049331003365084,HLTF
132,SOX12,0.0534937071644452,HLTF
133,SP3,0.3661572003755676,HLTF
134,ETS1,-0.0734463638484433,HLTF
135,RARB,0.1588314715851412,HLTF
136,TP73,0.1857276295429714,HLTF
137,EOMES,0.0605177919044774,ZNF350
138,PRRX1,0.128302217341115,ZNF350
139,DR1,0.0767746395993425,ELF4
140,RXRA,0.0902594660470358,ELF4
141,SP1,0.1478231263781688,ELF4
142,KLF11,0.0844326761152255,ELF4
143,NFKB1,0.2243474828890757,ELF4
144,DLX5,-0.1254885946266598,ELF4
145,SNAI2,0.1426851415729211,ELF4
146,TFE3,0.0637820563350265,SNAI2
147,SP1,-0.0048891446299174,SNAI2
148,DLX1,0.0245856910925903,SNAI2
149,ZNF524,-0.0996642099073647,SNAI2
150,GTF2I,0.4476131195107108,SMAD1
151,ETV3,0.1122437207613538,SMAD1
152,NFKB1,0.2362944092488083,SMAD1
153,ZNF143,0.1269328873474656,SMAD1
154,BPTF,0.2295176411425726,SP4
155,FOXJ3,0.1035300623825968,SP4
156,HLTF,0.2223396668448109,SP4
157,ZEB1,0.1096251544544728,SP4
158,GABPA,0.1158066672589333,SP4
159,NFYA,0.1849248652489948,SP3
160,CTCF,0.3419024502538164,SP3
161,FOXJ3,0.2440687785735469,SP3
162,HBP1,-0.2102914897340504,FOSL1
163,HOXD11,0.1646172772134753,FOSL1
164,ELK3,0.309971064954364,FOSL1
165,KLF4,0.17197142742049,FOSL1
166,RARB,-0.1160447028877386,FOSL1
167,HOXB8,0.0900928613050447,SPDEF
168,FOXA3,0.2527442051872035,SPDEF
169,SNAI2,-0.3183871672804333,SPDEF
170,IKZF2,0.056593328789786,SPDEF
171,KLF7,0.0393972983267756,DLX1
172,TFAP2C,-0.0463341654255503,DLX1
173,SP1,-0.0579290965163298,DLX1
174,SMAD1,0.0790683427591051,DLX1
175,TGIF2,0.0375688184544328,DLX1
176,EHF,-0.0371130044261661,DLX1
177,SNAI2,0.0261729671244193,DLX1
178,HES1,-0.0531764649008275,DLX1
179,IKZF2,-0.114275751069893,DLX1
180,PPARA,0.1954530815663293,ZBTB7B
181,HNF1A,-0.1999453369299441,ZBTB7B
182,SOX12,-0.0750449429671098,ZBTB7B
183,KLF4,0.167116935299122,ZBTB7B
184,RARB,0.2603855547973016,IKZF2
185,RREB1,0.281340926999902,IKZF2
186,SOX12,-0.1835975951632295,IKZF2
187,SOX21,-0.0884867286494689,TRIM28
188,TGIF2,0.2698068310417325,TRIM28
189,HLTF,0.1358427431294593,HOXD13
190,HOXD11,0.6462338694999714,HOXD13
191,POU2F1,0.0968907175499642,PLAG1
192,TBX1,0.1493072056332016,PLAG1
193,FOXJ2,0.1423841782146624,NFKB1
194,ELK3,0.1299242327412495,NFKB1
195,IRF2,0.3782269526097948,NFKB1
196,ELF4,0.1667228602079401,NFKB1
197,SMAD3,0.0875413589076935,NFKB1
198,ELK4,0.1114056956533264,E2F2
199,TP73,0.2791692392828404,E2F2
200,ELK3,0.1745017157240469,SOX7
201,NFKB1,0.1335086789213284,SOX7
202,TGIF2,-0.1026672630143716,SOX7
203,SNAI2,0.4131563359464554,SOX7
204,HOXD10,0.0353215024573899,HES1
205,EGR1,0.2853394141741693,HES1
206,DLX1,-0.1361855044401173,HES1
207,ZNF524,0.4426627348732895,IRF3
208,NFATC2,0.1613844365226483,IRF3
209,ZBTB7B,-0.1442768065748181,IRF3
210,TEAD1,-0.1075742892421456,ATF4
211,REL,-0.0957481450264965,ATF4
212,ELK3,-0.0866974842574713,ATF4
213,MEF2D,0.0199469880774243,FOXA3
214,BHLHE22,-0.0236303366996612,FOXA3
215,HNF1A,0.5682495642712524,FOXA3
216,RXRA,-0.0432050008111602,FOXA3
217,FOXJ1,0.1365825721359488,FOXA3
218,FOXO3,0.4100785838560871,NF1
219,RFX7,0.2080252753187085,NF1
220,TGIF2,0.1635533896090537,NF1
221,FOXJ3,-0.2445523316180902,SIRT6
222,PAX8,0.0385785012517998,HOXC5
223,DLX1,0.1025099421365129,HOXC5
224,HOXB5,0.0595894862453362,HOXC5
225,ELK3,-0.1409646520539027,HOXC5
226,FOXJ1,0.0935655685946107,HOXC5
227,PRDM1,-0.0261715153590533,HOXC5
228,SNAI2,-0.1303774187151514,HOXC5
229,RUNX1,0.0523230922115804,HOXC5
230,FOXJ3,0.4029274521808744,MTF1
231,GRHL1,0.2583600428325764,MTF1
232,EHF,0.174671869208849,MTF1
233,RREB1,0.0395583201756947,SREBF2
234,CTCF,0.0776827331356001,SREBF2
235,RXRA,0.1028312475941026,SREBF2
236,RFX7,0.1582910724924177,SREBF2
237,BPTF,0.0753600692374946,SREBF2
238,KLF11,0.1143282485371002,SREBF2
239,FOXO3,0.1857363273207494,TEAD3
240,RREB1,0.3395970233588542,TEAD3
241,TBX21,0.1786650944760405,PRDM1
242,EHF,0.1846157443948536,PRDM1
243,SNAI2,0.3054806496406876,PRDM1
244,KLF4,0.1771710660027018,PRDM1
245,CUX1,0.1998803560170498,GTF2I
246,ZNF524,-0.1300268605730511,GTF2I
247,SP4,0.1831695082636028,GTF2I
248,IRF2,0.1324813906466277,GTF2I
249,SP3,0.2698044813386778,GTF2I
250,ZBTB7B,0.1250235681444324,GTF2I
251,SP1,0.1550401331957911,IRF2
252,RARB,0.1474316116263728,IRF2
253,SMAD1,0.3824181273993213,IRF2
254,IRF9,0.2163259086548047,IRF2
255,HOXA1,0.2791231425363066,NKX2-8
256,NFYA,0.1394785410903349,POU2F1
257,ELK4,0.1659405119237986,POU2F1
258,NF1,0.2873006115594356,POU2F1
259,GMEB1,0.1868632147938287,KLF4
260,EHF,0.1835323220064748,KLF4
261,PAX8,0.2115037163172127,HOXB8
262,HOXA1,-0.1551367718128769,HOXB8
263,FOXJ1,0.2616822850412444,HOXB8
264,POU2F1,0.1365417340454821,ZEB1
265,ZNF524,-0.125389785713565,ZEB1
266,TCF21,0.2399883086892665,ZEB1
267,MSC,0.2369450626278314,ZEB1
268,IKZF1,0.1118833678998491,ZEB1
269,SREBF1,-0.0769691407758979,ZEB1
270,SOX17,0.0905900803229482,ZEB1
271,ARID5B,0.1124332209772002,ZEB1
272,POU2F1,0.0824641988965321,FOXJ1
273,HNF1A,0.1778572740897095,FOXJ1
274,SOX17,0.0674321361905491,FOXJ1
275,PRDM4,-0.0880470555712112,FOXJ1
276,SNAI2,-0.368238770214468,FOXJ1
277,SNAI2,0.2024984129721694,NFIL3
278,KLF4,0.1447636326810175,NFIL3
279,TCF21,0.255956844135347,PRRX1
280,TCF4,0.407676434617033,PRRX1
281,NFYA,0.119997853235287,KLF13
282,ZNF219,0.0899766884690696,KLF13
283,CUX1,0.1552527698995755,KLF13
284,ELF4,0.0871334796490151,KLF13
285,ELK4,0.1671974157194299,KLF13
286,KLF11,0.0691995644206989,KLF13
287,PRDM4,0.3085838425813321,RFX7
288,HOXD10,0.1595318320604442,RFX7
289,HLTF,0.1909491658314957,RFX7
290,BPTF,0.1324097804541698,FOXO3
291,TEAD1,0.1303344368983487,FOXO3
292,ZNF143,0.1506649934525585,FOXO3
293,SP3,0.2040616999333452,FOXO3
294,EHF,0.082200261009537,FOXO3
295,KLF7,0.159719169712611,FOXF2
296,DLX1,0.108290114399128,FOXF2
297,FOXK1,0.1152084757168096,HOXA1
298,GMEB1,-0.1626556472534326,HOXA1
299,SNAI2,0.2893003229608698,HOXA1
300,TGIF2,0.0637245897727385,GLI2
301,NFATC1,0.1217421886603362,GLI2
302,SOX21,0.0755840483652353,GLI2
303,TEAD3,0.1864246595970188,GRHL1
304,IRF3,-0.1109038333310735,GRHL1
305,NFE2L2,0.1407337441656989,GRHL1
306,IKZF2,0.1959495146321727,GRHL1
307,NFYA,0.00224233650974,SOX17
309,FOXO3,-0.000109057947576,SOX17
311,IRX5,-0.0049355225774446,SOX17
312,PROX1,0.0003179017334812,SOX17
313,KLF7,-0.0171740313802697,SOX17
314,PAX9,-0.0004633980911042,SOX17
315,PAX8,0.3341487205930348,SOX17
316,BPTF,0.0003201733902142,SOX17
318,CUX1,0.0041875235210868,SOX17
320,DR1,-0.0038833187420386,SOX17
321,ETV2,-0.0006483306362143,SOX17
322,ZNF524,-0.0034211628605684,SOX17
325,HOXB5,0.0092667594220989,SOX17
327,ETS1,0.0079302788251503,SOX17
329,ELK3,-0.0064642137710671,SOX17
331,HOXA1,-0.1371229585605032,SOX17
334,SP1,-0.0028244279253853,SOX17
335,HOXD9,0.0001595923422652,SOX17
340,RORA,-0.0206858389049,SOX17
341,PRDM1,-0.0165361769557987,SOX17
342,SHOX2,-0.0016801602584806,SOX17
343,NR6A1,-0.0124773970632246,SOX17
344,ZBTB4,0.0006383762396532,SOX17
345,ATF4,0.0003280127267703,SOX17
346,FOXD3,-0.0431359457174016,SOX17
347,FOXF2,-0.0121988363401964,SOX17
349,PRRX1,0.0002352991013739,SOX17
350,ZEB1,0.1394181801468494,SOX17
351,ARID5B,0.0002128460509541,SOX17
352,BARX2,-0.0018607628736856,SOX17
353,HOXD11,-0.017127342221679,SOX17
354,NFIL3,-0.0002688814338374,SOX17
361,GATA3,-0.0041449880460316,SOX17
362,REL,-3.5017696703799856e-05,SOX17
364,HBP1,0.001502918848238,SOX17
367,IRF9,-0.0001312528981183,SOX17
370,RFX7,-0.0208305829066644,SOX17
372,FOSL1,-0.0014312564765439,SOX17
374,DLX5,0.0106025607878501,SOX17
378,SNAI2,-0.0042232914610978,SOX17
379,HES1,-0.0167800771699085,SOX17
381,RUNX1,0.0002722209731217,SOX17
382,SMAD3,-0.0467487764541354,SOX17
384,PAX9,0.3288674251363884,SOX21
385,NFE2L2,0.2114109663870252,SOX21
386,RARB,0.1253022184429081,SOX21
387,DLX5,0.0764431106494874,SOX21
388,PROX1,0.1853387380696519,TCF4
389,SHOX2,0.1505498781134059,TCF4
390,PRRX1,0.4197287985892996,TCF4
391,FOXJ2,0.1383744392084909,PPARA
392,GTF2I,0.2981117261124767,PPARA
393,HNF1A,0.1398813935182231,PPARA
394,RXRA,0.1584704057240726,PPARA
395,EHF,0.1075955097429726,PPARA
396,ZBTB7B,0.2592980222185918,RREB1
397,SP1,0.1492888731485205,RREB1
398,MEF2D,0.1134443506031285,RREB1
399,PRDM1,0.1301782801180528,RREB1
400,NR6A1,0.0838996287093699,RREB1
401,FOXD3,-0.0884924382641929,RREB1
402,SP3,0.1223113498073554,RREB1
403,FOXO3,0.1187642766806952,GABPA
404,ELK4,0.083329895109582,GABPA
405,SMAD1,0.2039693501326442,GABPA
406,ZNF143,0.2031919228876081,GABPA
407,PAX8,0.1073974269762694,POU5F1
408,DLX1,-0.0729750852679384,POU5F1
409,HNF4A,0.2656439272290524,POU5F1
410,HBP1,-0.052425191017692,GBX2
411,PAX8,-0.0556925120207036,GBX2
412,FOXJ1,-0.1175501851582378,GBX2
413,GTF2I,0.4476043439340292,HBP1
414,RARB,0.1526813500463924,HBP1
415,ARID5B,0.0914904766505834,HBP1
416,FOSL1,-0.0493897248363681,ZNF524
417,NKX3-2,-0.0066510601040482,ZNF524
