,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
8972,3,TNFRSF25,R-8972,1.0,2.3621399744756477,0.4793155588207656,7.215055035617697e-19,7.260378027461879,5.6774062179663,0.8333333333333334,0.5555555555555556,9,6
8973,3,TNFRSF25,R-8973,1.0,2.3621399744756477,0.4320594742821995,2.9503090686350716e-15,2.2862865551095797,1.5344066492121202,0.8333333333333334,0.5555555555555556,9,6
8974,3,TNFRSF25,R-8974,1.0,2.3621399744756477,-0.2393703175321846,2.4664489570020357e-05,-2.947890121072086,1.8872446457619425,0.8333333333333334,0.5555555555555556,9,6
8968,3,TNFRSF25,R-8968,1.0,2.3621399744756477,-0.3462292519157006,5.476587519803378e-10,-3.0812234092552178,2.0077037396799615,0.8333333333333334,0.5555555555555556,9,6
8970,3,TNFRSF25,R-8970,1.0,2.3621399744756477,-0.3275314157817853,4.9361701429977275e-09,-3.403687549892474,2.2070657273712473,0.8333333333333334,0.5555555555555556,9,6
7829,3,CPEB1,R-7829,1.0,1.443879054627057,0.3045988199304005,6.017607585927623e-08,4.684763876120117,3.214168591049505,1.0,0.5454545454545454,11,6
7827,3,CPEB1,R-7827,1.0,1.443879054627057,-0.1728957247372771,0.0024868757264326,-3.115992801375603,2.286157148843619,1.0,0.5454545454545454,11,6
7836,3,CPEB1,R-7836,1.0,1.443879054627057,0.2526297467577952,8.22878515650441e-06,4.381466687194261,3.2081657873413016,1.0,0.5454545454545454,11,6
7830,3,CPEB1,R-7830,1.0,1.443879054627057,0.4285906039581718,5.170485274653098e-15,4.777401510021619,3.1650610273144273,1.0,0.5454545454545454,11,6
7834,3,CPEB1,R-7834,1.0,1.443879054627057,0.2835969389273156,4.95842926549978e-07,2.6758778641423895,1.648583930830266,1.0,0.5454545454545454,11,6
7833,3,CPEB1,R-7833,1.0,1.443879054627057,0.2889816368643367,2.9342243609583917e-07,2.8059472953425093,1.7597116080131912,1.0,0.5454545454545454,11,6
8872,3,SHOX2,R-8872,1.0,2.678463937052833,0.3902220247909173,1.6954515996440497e-12,2.5390630675475463,1.543794062512089,1.0,1.0,2,2
8871,3,SHOX2,R-8871,1.0,2.678463937052833,0.2072241348379877,0.0002750235023804,4.838619343176589,3.338320371688063,1.0,1.0,2,2
499,3,NF1,R-499,1.0,2.8568303236701613,0.1971125671669841,0.0005470569792159,4.310513799411333,2.917426387006166,0.7142857142857143,0.4,25,14
