,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
9675,6,TFAP4,9675,1.0,2.989122641678226,0.19148805303308586,0.000790605639815941,2.937009404922118,2.0433537577643794,1.0,0.875,8,7
9677,6,TFAP4,9677,1.0,2.989122641678226,0.28876592145840985,2.997179981826785e-07,2.9228781928290544,2.048335214154519,1.0,0.875,8,7
9680,6,TFAP4,9680,1.0,2.989122641678226,0.27698810001793966,9.301035212367281e-07,4.1420572738994315,3.117607623781093,1.0,0.875,8,7
9676,6,TFAP4,9676,1.0,2.989122641678226,0.021080395356187904,0.7143085406639982,2.2833675084490426,1.4373722550963604,1.0,0.875,8,7
9674,6,TFAP4,9674,1.0,2.989122641678226,0.09357717048667766,0.10343432251463161,2.521447514254242,1.663635064245143,1.0,0.875,8,7
9673,6,TFAP4,9673,1.0,2.989122641678226,0.27459742523001224,1.1630969104997962e-06,4.756893059745156,3.81163959547304,1.0,0.875,8,7
9678,6,TFAP4,9678,1.0,2.989122641678226,0.35414534550952936,2.0642243672482327e-10,3.5740145250002606,2.5749197025051735,1.0,0.875,8,7
4776,6,EWSR1,4776,1.0,2.1341802479047893,0.317437360647195,1.5231180135051863e-08,3.644236066675404,2.671807686757335,1.0,0.52,25,13
4767,6,EWSR1,4767,1.0,2.1341802479047893,0.23294108099334523,4.1084795889455e-05,3.4273807253365915,2.634443426785708,1.0,0.52,25,13
4765,6,EWSR1,4765,1.0,2.1341802479047893,0.2694504480646512,1.8686492631691748e-06,4.1141956856267585,3.441592475429829,1.0,0.52,25,13
4770,6,EWSR1,4770,1.0,2.1341802479047893,0.464269727231567,1.173306849084387e-17,6.318892623414463,5.562362761594606,1.0,0.52,25,13
4787,6,EWSR1,4787,1.0,2.1341802479047893,0.3147036964265883,2.0519844148825175e-08,3.875962115605405,2.8543142646625403,1.0,0.52,25,13
4769,6,EWSR1,4769,1.0,2.1341802479047893,0.3736987331174877,1.6464603970625727e-11,2.266425977888721,1.4202731727613798,1.0,0.52,25,13
4764,6,EWSR1,4764,1.0,2.1341802479047893,0.24645905056424539,1.382061167908652e-05,3.8185196639162253,2.9215036813790447,1.0,0.52,25,13
4763,6,EWSR1,4763,1.0,2.1341802479047893,0.2839939688533133,4.772063281279291e-07,2.244929000360761,1.4416888418967961,1.0,0.52,25,13
4784,6,EWSR1,4784,1.0,2.1341802479047893,0.21736731050154195,0.00013340324576292288,3.1473502041170933,2.253341089014483,1.0,0.52,25,13
4772,6,EWSR1,4772,1.0,2.1341802479047893,0.17484174646972894,0.0022169796888098477,2.2962944982209814,1.4472488909415269,1.0,0.52,25,13
4779,6,EWSR1,4779,1.0,2.1341802479047893,0.19126209859985135,0.0008022188664068322,5.83115627466588,4.994523615209319,1.0,0.52,25,13
4778,6,EWSR1,4778,1.0,2.1341802479047893,0.16180387667757284,0.004681286358179931,3.1247806818478017,2.177698274498414,1.0,0.52,25,13
4785,6,EWSR1,4785,1.0,2.1341802479047893,0.1814397013471839,0.0014886570828747075,6.400651654705009,6.017247349225255,1.0,0.52,25,13
8349,6,MYC,8349,1.0,3.4145817725266605,0.46452088263183516,1.1211912964183423e-17,3.6083442899655247,2.65551411284669,1.0,0.25,8,2
8351,6,MYC,8351,1.0,3.4145817725266605,0.43604720696400956,1.5356375048264481e-15,3.8860945212065277,2.875019616557614,1.0,0.25,8,2
9716,6,LHX9,9716,1.0,2.293214280272845,0.09855862891653283,0.08624843109892978,4.81047556374005,3.9153641496667344,1.0,0.6,5,3
9718,6,LHX9,9718,1.0,2.293214280272845,0.19160283680979937,0.0007847658292361566,3.5771088047768895,2.598736253716774,1.0,0.6,5,3
9714,6,LHX9,9714,1.0,2.293214280272845,0.07043345754658918,0.2207593492024236,3.0892172221635876,2.1503512545886925,1.0,0.6,5,3
7831,6,CPEB1,7831,1.0,2.2348999834533183,0.22350992051677326,8.465813996151773e-05,2.7270339142310602,1.8498838525703358,1.0,0.45454545454545453,11,5
7836,6,CPEB1,7836,1.0,2.2348999834533183,0.2526297467577952,8.22878515650441e-06,3.988125005824907,2.9882025198164563,1.0,0.45454545454545453,11,5
7835,6,CPEB1,7835,1.0,2.2348999834533183,0.11684835101315662,0.041759723585466375,3.21906575496558,2.268499737656025,1.0,0.45454545454545453,11,5
7830,6,CPEB1,7830,1.0,2.2348999834533183,0.42859060395817183,5.170485274653098e-15,4.742922960159234,3.648729138864291,1.0,0.45454545454545453,11,5
7833,6,CPEB1,7833,1.0,2.2348999834533183,0.28898163686433676,2.9342243609583917e-07,2.1247603549992866,1.3045364474524639,1.0,0.45454545454545453,11,5
5614,6,SIX4,5614,1.0,1.7193160370826812,0.4164839952502585,3.4861728930853395e-14,3.2251179386191877,2.3384257924042764,1.0,0.4,5,2
5613,6,SIX4,5613,1.0,1.7193160370826812,0.5724626043277321,7.2722068517247375e-28,2.7688564786845293,1.910710840646353,1.0,0.4,5,2
462,6,ELF5,462,1.0,1.6872836142052832,0.25718671539574484,5.562584356182798e-06,2.3659816849666475,1.5202404675545569,1.0,0.36,25,9
475,6,ELF5,475,1.0,1.6872836142052832,0.27102530668917296,1.617975691292977e-06,2.7359822538732606,1.8383028465831093,1.0,0.36,25,9
464,6,ELF5,464,1.0,1.6872836142052832,0.20219662493955312,0.0003887478121008149,3.2473832525576567,2.333748892498001,1.0,0.36,25,9
470,6,ELF5,470,1.0,1.6872836142052832,0.20583060728881297,0.00030296206729036294,2.223460243899432,1.4479263489316443,1.0,0.36,25,9
457,6,ELF5,457,1.0,1.6872836142052832,0.29414926908326,1.7552179674057748e-07,4.808414567421561,3.882890450279335,1.0,0.36,25,9
454,6,ELF5,454,1.0,1.6872836142052832,0.29665109245130444,1.363624406036278e-07,2.2199815420466993,1.4267379746333877,1.0,0.36,25,9
465,6,ELF5,465,1.0,1.6872836142052832,0.1708655788128681,0.0028000201487280206,4.318314329873024,3.307622890784356,1.0,0.36,25,9
455,6,ELF5,455,1.0,1.6872836142052832,0.2625368934212125,3.4793712225033613e-06,3.4604958819115463,2.559583903461685,1.0,0.36,25,9
472,6,ELF5,472,1.0,1.6872836142052832,0.2459726550336575,1.4388992195884433e-05,3.669713588298097,2.716353630530886,1.0,0.36,25,9
5491,6,POU6F1,5491,1.0,2.0567334154835213,0.46899298644273396,4.961353396993156e-18,3.0905616790487476,2.2717890322951657,1.0,0.36,25,9
5509,6,POU6F1,5509,1.0,2.0567334154835213,0.21681032641659334,0.0001389324969623251,3.535293207293365,2.548285908588986,1.0,0.36,25,9
5495,6,POU6F1,5495,1.0,2.0567334154835213,0.3575333806029438,1.3482436416674564e-10,4.09163295337623,3.159876574216745,1.0,0.36,25,9
5505,6,POU6F1,5505,1.0,2.0567334154835213,0.21277432747588823,0.00018589635340762422,3.043750873492381,2.1526705073164334,1.0,0.36,25,9
5498,6,POU6F1,5498,1.0,2.0567334154835213,0.4067265225228303,1.5363793954966958e-13,2.67469644846491,1.8525596983348418,1.0,0.36,25,9
5501,6,POU6F1,5501,1.0,2.0567334154835213,0.3919489317352788,1.3269969922591483e-12,3.007327829900491,2.1005217272512793,1.0,0.36,25,9
5500,6,POU6F1,5500,1.0,2.0567334154835213,0.29791600816682184,1.199124379350165e-07,5.610713576126319,4.637780652429491,1.0,0.36,25,9
5506,6,POU6F1,5506,1.0,2.0567334154835213,0.29032026584884546,2.5710449037405597e-07,3.0699245365223815,2.154988090846408,1.0,0.36,25,9
5504,6,POU6F1,5504,1.0,2.0567334154835213,0.26584585550876055,2.5895675455745645e-06,3.3702749078206686,2.4316729472334413,1.0,0.36,25,9
8789,6,NR6A1,8789,1.0,2.098998446567569,0.2131480706310493,0.00018099150551572732,5.051652875001638,4.138223120423224,0.8888888888888888,0.5,16,9
8786,6,NR6A1,8786,1.0,2.098998446567569,0.16302121152581175,0.004375357538136667,3.158284992757214,2.2388055212230147,0.8888888888888888,0.5,16,9
8776,6,NR6A1,8776,1.0,2.098998446567569,0.2165177389179815,0.00014192239972907008,2.3724581334178625,1.528838359078911,0.8888888888888888,0.5,16,9
8784,6,NR6A1,8784,1.0,2.098998446567569,-0.0715938116676206,0.21322875470236943,-2.464661726553316,1.5786734964875146,0.8888888888888888,0.5,16,9
8777,6,NR6A1,8777,1.0,2.098998446567569,0.2657800767134522,2.604917533341011e-06,6.0308514665833135,5.143237181518477,0.8888888888888888,0.5,16,9
8778,6,NR6A1,8778,1.0,2.098998446567569,0.3789208860489155,8.137941820564703e-12,3.5515469150967585,2.7026706410750383,0.8888888888888888,0.5,16,9
8775,6,NR6A1,8775,1.0,2.098998446567569,0.2967042260740311,1.3562975090063684e-07,3.1984823086771295,2.2883039321866545,0.8888888888888888,0.5,16,9
8785,6,NR6A1,8785,1.0,2.098998446567569,0.3091368455223434,3.730421206339673e-08,3.2524683780065,2.308695599428622,0.8888888888888888,0.5,16,9
499,6,NF1,499,1.0,2.810044670164902,0.19711256716698417,0.0005470569792159131,2.835163908989465,1.9346516637155027,1.0,0.4,25,10
495,6,NF1,495,1.0,2.810044670164902,0.5296183975602047,2.2185565009631836e-23,2.4343849432523763,1.5759182937038672,1.0,0.4,25,10
487,6,NF1,487,1.0,2.810044670164902,0.6760526742924509,6.011557280140438e-42,5.284925035762322,4.327774278972683,1.0,0.4,25,10
493,6,NF1,493,1.0,2.810044670164902,0.27537481099274724,1.0818006966644668e-06,3.184183892056343,2.2348999834533183,1.0,0.4,25,10
489,6,NF1,489,1.0,2.810044670164902,0.4250271230746889,9.140051553862097e-15,4.327975368228429,3.4252269833741122,1.0,0.4,25,10
490,6,NF1,490,1.0,2.810044670164902,0.3512271589540317,2.9671724509796265e-10,2.5080992411839227,1.6416284738720799,1.0,0.4,25,10
486,6,NF1,486,1.0,2.810044670164902,0.3728273776471694,1.8496308113097367e-11,4.951939108390033,3.8536770350018084,1.0,0.4,25,10
488,6,NF1,488,1.0,2.810044670164902,0.5443707873807225,7.484924211923847e-25,3.258935611683412,2.4645476472666212,1.0,0.4,25,10
481,6,NF1,481,1.0,2.810044670164902,0.7509858276595563,2.240571755767503e-56,3.6960248775166753,2.8085588415721214,1.0,0.4,25,10
479,6,NF1,479,1.0,2.810044670164902,0.6415585303137734,1.1835583672877046e-36,2.1258362572662315,1.3500261907573767,1.0,0.4,25,10
6554,6,NFKB1,6554,1.0,2.0611489384371335,0.24961045284856354,1.0623047341144278e-05,3.41243703452421,2.4908897223823288,0.7272727272727273,0.32,25,11
6543,6,NFKB1,6543,1.0,2.0611489384371335,0.3587490069110449,1.1557385432867799e-10,3.817635458933806,2.9354652863834887,0.7272727272727273,0.32,25,11
6550,6,NFKB1,6550,1.0,2.0611489384371335,0.4495365584876003,1.5810596127496496e-16,2.359460176693735,1.5040559137138942,0.7272727272727273,0.32,25,11
6567,6,NFKB1,6567,1.0,2.0611489384371335,0.05676325613579477,0.32392729233038586,2.3647979240720995,1.517469905587404,0.7272727272727273,0.32,25,11
6565,6,NFKB1,6565,1.0,2.0611489384371335,0.37391699912010185,1.5990770931717252e-11,3.095792199755335,2.1891667835917774,0.7272727272727273,0.32,25,11
6564,6,NFKB1,6564,1.0,2.0611489384371335,0.23131326937698082,4.6645837026197876e-05,4.177761840573758,3.123767780160665,0.7272727272727273,0.32,25,11
6547,6,NFKB1,6547,1.0,2.0611489384371335,0.6879876814256058,5.958185901707774e-44,2.725617032070369,1.8489500040859124,0.7272727272727273,0.32,25,11
6556,6,NFKB1,6556,1.0,2.0611489384371335,0.2106224211722294,0.00021664252613336495,2.9201918860715503,2.0606951617987384,0.7272727272727273,0.32,25,11
8521,6,HLX,8521,-1.0,3.5805233579801063,-0.257049863743924,5.628990448256427e-06,2.2227428265929703,1.3887553539656743,1.0,0.125,16,2
8525,6,HLX,8525,-1.0,3.5805233579801063,0.3079840080643094,4.215482117988957e-08,-3.6109873357671374,2.6012008366445865,1.0,0.125,16,2
123,6,KLF15,123,1.0,1.8554943489373137,0.35555676577298156,1.7296514776010924e-10,4.113951466665085,3.0746300153448565,0.8888888888888888,0.3333333333333333,24,9
127,6,KLF15,127,1.0,1.8554943489373137,0.23345624157088113,3.945948187912645e-05,3.332105911129628,2.3621069521955955,0.8888888888888888,0.3333333333333333,24,9
131,6,KLF15,131,1.0,1.8554943489373137,0.24999151068226722,1.0287932479291035e-05,2.6298249434517316,1.7453133475959888,0.8888888888888888,0.3333333333333333,24,9
124,6,KLF15,124,1.0,1.8554943489373137,0.46557576262398787,9.260323441602824e-18,2.170107463146459,1.3394299372370784,0.8888888888888888,0.3333333333333333,24,9
129,6,KLF15,129,1.0,1.8554943489373137,0.35708420228730053,1.4269861952284744e-10,2.76846293227387,1.8545305424729006,0.8888888888888888,0.3333333333333333,24,9
113,6,KLF15,113,1.0,1.8554943489373137,0.5579762747594939,2.823747842184449e-26,2.328136257421671,1.5236823674517666,0.8888888888888888,0.3333333333333333,24,9
117,6,KLF15,117,1.0,1.8554943489373137,0.5599961984944531,1.713540239323637e-26,3.5320262428406513,2.6460175984525423,0.8888888888888888,0.3333333333333333,24,9
114,6,KLF15,114,1.0,1.8554943489373137,0.2451277188510171,1.5429440807860243e-05,4.190653134931627,3.319159371020644,0.8888888888888888,0.3333333333333333,24,9
