,Coefficient
TBX20,0.013453372295553078
SIX4,0.20177291733979646
GLI3,-0.01796579177148967
MEF2A,-0.09539346260410632
ZBTB4,-0.0005414764903930171
RUNX1,0.005045570286353147
REST,0.18391453504704047
EP300,0.012405404521532309
NR4A2,-0.004022865868174208
SMAD1,-0.0018635653772467958
LHX4,-0.023914436434047073
FOXL1,0.023417500442955996
IKZF2,-0.062315777332642125
ETV5,0.009749504252886638
FOS,0.0010610342539092675
RUNX3,-0.006391386857187312
AHR,0.04028889004790404
ELF1,0.0028436345838110787
FOXC2,0.0488207341796209
ATF1,0.004079046510253385
MIXL1,-0.011093015625575993
TCF21,-0.016940030448552492
FOXO3,0.2380113907655468
LEF1,-0.021775310535088202
GZF1,0.11389182473297182
BHLHE40,-0.018164626049924016
PGR,-0.033166295592098625
HOXB2,-0.00133193609644073
MNT,-0.001148325203485107
