,Coefficient
DLX2,-0.016060005790856334
TNFRSF10A,0.04068149897768234
PARP1,0.03948018166099192
ZBTB4,0.018103504929706766
REST,0.0
EP300,-0.05162896546092242
IKZF2,-0.0006317690938469067
NFATC2,0.006858325879632246
SREBF1,-0.006439088161693567
CREB3L1,0.009691643384510317
AHR,-0.0021379485531101998
FOXC2,0.26838561911243053
PLAG1,0.08320553669279145
TCF21,0.0
EMX2,0.003258188229310513
GMEB1,-0.002652582108327331
ZNF143,0.06372051808909218
ERG,-0.013662230948524869
ZNF217,0.006243141073459813
ATF3,-0.1665939642344498
HOXB2,0.006149258919919599
POU2F3,0.008245948252056073
ETV5,0.0009393269442068046
SIX4,0.09472501692558284
GLI3,0.003734441720323617
MAX,-0.01071346816457976
NR4A2,0.030328514713942854
FOXL1,0.0
FOS,0.0
ETV2,0.007136052620213189
IRF2,0.015585936122119986
FOXO3,-0.008946124239762005
PAX3,0.003042592906738911
ZEB1,-0.04005431524023978
BHLHE40,0.025019238476945215
HIF1A,0.0019362550898801214
RUNX1,0.09222207233498456
GLI1,0.038799777281863235
