,Coefficient
EGR2,0.0
CREB3,-0.00019536040383352445
SREBF2,-0.13614367116889922
HOXB9,0.02320485523126508
SP100,0.0014269803852216855
MEF2A,0.0018384688822155135
ZBTB4,0.005530625863325675
EHF,0.002383539210221579
REST,0.0038049652840321233
IKZF2,0.014551614334248543
SREBF1,-0.00021055357101684084
CREB3L1,0.014751711857189688
AHR,0.004722851629497592
NFATC4,0.0010871110521238317
RBPJ,-0.0033219754588684337
FOXC2,0.06893407347291511
FOXF2,0.03486881568798484
TCF21,0.001097576684372362
FOXJ2,0.0
MSC,-0.002323507312185418
EMX2,0.287595487970348
THRB,0.0017654176898819374
PAX6,0.007121064866098317
FOXA2,0.01889712989332168
ERG,-0.002770458711852701
ATF3,0.012773006470029009
HOXB2,0.013936787141246102
MNT,-0.0032929072529111142
NR1H2,-0.013868755662563117
TBX20,-0.011095762537115209
GLI3,0.0052203999143220665
FOXQ1,0.05545450243024485
SMAD1,0.010907458977092466
FOS,0.22188643660185053
IRF2,0.007645500415703031
ELF1,0.0014109417479426579
RUNX2,0.004499804524352443
FOXJ1,0.001025557772169619
MIXL1,-0.0009196716157666532
FOXO3,0.03878024417262673
PAX3,0.039457023912092
MEF2D,-0.002778728426605094
ZEB1,0.002135331355594931
GZF1,0.0212048350743918
BHLHE40,0.045059985783514174
HSF2,-0.0005406560109322332
RUNX1,0.003835108897078302
MLXIPL,-0.010907125466084593
HOXD12,0.012276668449311173
