,Coefficient
NFE2L2,0.07296394839151174
OSR2,-0.02983969697194701
SIX4,0.019449849615376765
GLI3,0.005356604821377782
SREBF2,-0.15337944049263597
REST,-0.1274345194663252
NR4A2,-0.06651201591272969
FOXL1,0.0022558067048851003
FOS,-0.006202794364775932
RUNX3,-0.012186761714532052
AHR,-0.043094612206433194
NFATC4,-0.002131437498524549
FOXC2,0.09000173045301767
FOXJ1,0.06935959567701205
PAX3,0.07146529745719747
TCF21,-0.0034556973061323215
BACH1,-0.024541688647483052
LEF1,-0.0625665743195757
GMEB1,0.07711051063326355
MGA,-0.02650924524833851
MNT,-0.012580344227876284
NR1H2,0.16600247462802384
