,out_degree_aligned
FOS,17
FOXC2,12
RUNX1,12
TCF21,11
BACH1,10
HOXB2,10
ZBTB4,9
AHR,9
FOXL1,9
BHLHE40,9
GLI3,9
MEF2D,8
PAX6,8
FOXO3,8
GZF1,8
ATF1,8
NFATC4,8
ZEB1,7
ELF1,7
MSC,7
CREB3L1,7
RUNX2,7
HIVEP2,7
ZNF143,7
CREB1,6
GLI1,6
TBX20,6
IKZF2,6
REST,6
NFATC2,6
OSR2,6
NR4A2,5
SREBF2,5
MEF2A,5
HOXD12,5
MGA,5
EHF,5
SP100,5
ZNF217,5
NFE2L2,5
ETV5,5
EP300,4
RBPJ,4
PARP1,4
STAT5A,4
NF1,4
ERG,4
RUNX3,4
THRB,4
HIF1A,4
YY1,4
FOXF2,4
MAX,4
MNT,4
IRF2,4
PGR,4
TNFRSF10A,3
DLX2,3
GMEB1,3
PAX3,3
MECOM,3
EGR2,3
NEUROD1,3
EMX2,3
LEF1,3
NR2C2,3
SMAD1,3
NR3C2,2
ZNF384,2
ZNF740,2
CREB3,2
MEIS3,2
ELK1,2
SP4,2
STAT3,2
SIX4,2
PLAGL1,2
EPAS1,2
VAX1,1
LHX4,1
FOXJ2,1
ATF3,1
FOXQ1,1
MIXL1,1
BARX2,1
POU2F3,1
PLAG1,1
HSF2,0
MAFB,0
SOX10,0
ZBTB33,0
