,Alt_ID,in_degree,out_degree,out/in
RBPJ,RBPJ,1.0,6.0,6.0
AHR,AHR,2.0,11.0,5.5
PAX6,PAX6,2.0,10.0,5.0
NR4A2,NR4A2,3.0,9.0,3.0
TCF21,TCF21,7.0,12.0,1.7142857142857142
THRB,THRB,3.0,5.0,1.6666666666666667
YY1,YY1,3.0,4.0,1.3333333333333333
BACH1,BACH1,10.0,11.0,1.1
STAT5A,STAT5A,4.0,4.0,1.0
ZNF740,ZNF740,4.0,4.0,1.0
SP4,SP4,3.0,2.0,0.6666666666666666
GLI3,GLI3,18.0,11.0,0.6111111111111112
SOX10,SOX10,2.0,1.0,0.5
PGR,PGR,14.0,5.0,0.35714285714285715
FOXQ1,FOXQ1,29.0,2.0,0.06896551724137931
ZBTB33,ZBTB33,2.0,0.0,0.0
