,Alt_ID,in_degree,out_degree,out/in
SREBF2,SREBF2,1.0,9.0,9.0
MNT,MNT,1.0,8.0,8.0
GZF1,GZF1,1.0,8.0,8.0
NR1H2,NR1H2,1.0,8.0,8.0
TBX20,TBX20,1.0,7.0,7.0
ERG,ERG,1.0,6.0,6.0
BHLHE40,BHLHE40,2.0,12.0,6.0
RBPJ,RBPJ,1.0,6.0,6.0
FOXL1,FOXL1,2.0,11.0,5.5
AHR,AHR,2.0,11.0,5.5
SIX4,SIX4,1.0,5.0,5.0
DLX2,DLX2,1.0,5.0,5.0
ZBTB4,ZBTB4,2.0,10.0,5.0
FOXJ1,FOXJ1,1.0,5.0,5.0
PAX6,PAX6,2.0,10.0,5.0
ETV2,ETV2,1.0,5.0,5.0
ETV5,ETV5,1.0,5.0,5.0
FOXC2,FOXC2,3.0,14.0,4.666666666666667
SREBF1,SREBF1,2.0,9.0,4.5
PAX3,PAX3,1.0,4.0,4.0
GLI1,GLI1,2.0,8.0,4.0
EMX2,EMX2,1.0,4.0,4.0
PARP1,PARP1,2.0,7.0,3.5
RUNX3,RUNX3,2.0,7.0,3.5
FOXO3,FOXO3,3.0,10.0,3.3333333333333335
NFATC2,NFATC2,2.0,6.0,3.0
NEUROD1,NEUROD1,1.0,3.0,3.0
NR4A2,NR4A2,3.0,9.0,3.0
CREB3,CREB3,2.0,6.0,3.0
MIXL1,MIXL1,1.0,3.0,3.0
MAX,MAX,2.0,6.0,3.0
CREB1,CREB1,2.0,6.0,3.0
IKZF2,IKZF2,3.0,9.0,3.0
ATF3,ATF3,1.0,3.0,3.0
ZNF143,ZNF143,3.0,8.0,2.6666666666666665
NFE2L2,NFE2L2,3.0,8.0,2.6666666666666665
RUNX2,RUNX2,3.0,8.0,2.6666666666666665
FOXF2,FOXF2,2.0,5.0,2.5
HIVEP2,HIVEP2,3.0,7.0,2.3333333333333335
REST,REST,3.0,7.0,2.3333333333333335
ELF1,ELF1,3.0,7.0,2.3333333333333335
ZEB1,ZEB1,4.0,9.0,2.25
MEF2A,MEF2A,3.0,6.0,2.0
MECOM,MECOM,2.0,4.0,2.0
NF1,NF1,2.0,4.0,2.0
LEF1,LEF1,3.0,6.0,2.0
EPAS1,EPAS1,1.0,2.0,2.0
TCF21,TCF21,7.0,12.0,1.7142857142857142
HOXD12,HOXD12,3.0,5.0,1.6666666666666667
THRB,THRB,3.0,5.0,1.6666666666666667
PEBP1,PEBP1,2.0,3.0,1.5
NR2C2,NR2C2,2.0,3.0,1.5
EGR2,EGR2,2.0,3.0,1.5
EHF,EHF,4.0,6.0,1.5
FOS,FOS,13.0,18.0,1.3846153846153846
YY1,YY1,3.0,4.0,1.3333333333333333
IRF2,IRF2,3.0,4.0,1.3333333333333333
GMEB1,GMEB1,4.0,5.0,1.25
HIF1A,HIF1A,4.0,5.0,1.25
MSC,MSC,8.0,10.0,1.25
CREB3L1,CREB3L1,6.0,7.0,1.1666666666666667
BACH1,BACH1,10.0,11.0,1.1
ZNF740,ZNF740,4.0,4.0,1.0
VAX1,VAX1,1.0,1.0,1.0
HOXB9,HOXB9,2.0,2.0,1.0
LHX4,LHX4,2.0,2.0,1.0
STAT5A,STAT5A,4.0,4.0,1.0
STAT3,STAT3,2.0,2.0,1.0
ZNF384,ZNF384,2.0,2.0,1.0
MGA,MGA,5.0,5.0,1.0
RUNX1,RUNX1,16.0,13.0,0.8125
EP300,EP300,7.0,5.0,0.7142857142857143
HOXB2,HOXB2,17.0,12.0,0.7058823529411765
MEF2D,MEF2D,13.0,9.0,0.6923076923076923
SP4,SP4,3.0,2.0,0.6666666666666666
ELK1,ELK1,3.0,2.0,0.6666666666666666
GLI3,GLI3,18.0,11.0,0.6111111111111112
NR3C2,NR3C2,5.0,3.0,0.6
TNFRSF10A,TNFRSF10A,5.0,3.0,0.6
HSF2,HSF2,2.0,1.0,0.5
ZNF217,ZNF217,10.0,5.0,0.5
PLAGL1,PLAGL1,4.0,2.0,0.5
SP100,SP100,10.0,5.0,0.5
SOX10,SOX10,2.0,1.0,0.5
OSR2,OSR2,13.0,6.0,0.46153846153846156
PGR,PGR,14.0,5.0,0.35714285714285715
ATF1,ATF1,23.0,8.0,0.34782608695652173
FOXJ2,FOXJ2,3.0,1.0,0.3333333333333333
PLAG1,PLAG1,3.0,1.0,0.3333333333333333
FOXA2,FOXA2,3.0,1.0,0.3333333333333333
NFATC4,NFATC4,34.0,10.0,0.29411764705882354
MEIS3,MEIS3,12.0,2.0,0.16666666666666666
SMAD1,SMAD1,39.0,5.0,0.1282051282051282
FOXQ1,FOXQ1,29.0,2.0,0.06896551724137931
BARX2,BARX2,21.0,1.0,0.047619047619047616
POU2F3,POU2F3,47.0,1.0,0.02127659574468085
MAFB,MAFB,2.0,0.0,0.0
ZBTB33,ZBTB33,2.0,0.0,0.0
VAX2,VAX2,22.0,0.0,0.0
