,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
7727,2,TNFRSF10A,R-7727,-1.0,1.3818541741886832,-0.2092664092664092,0.2206114507883994,5.0541023491567465,3.881495813338694,1.0,1.0,4,4
7725,2,TNFRSF10A,R-7725,-1.0,1.3818541741886832,0.3608751608751609,0.0305957668135265,-2.8407917259414313,2.105989792831342,1.0,1.0,4,4
7728,2,TNFRSF10A,R-7728,-1.0,1.3818541741886832,-0.3508365508365508,0.0359110855519678,3.1862794931835023,2.1424680897692774,1.0,1.0,4,4
7726,2,TNFRSF10A,R-7726,-1.0,1.3818541741886832,0.5034749034749035,0.0017469132980229,-4.394391627279956,3.788160632599547,1.0,1.0,4,4
198,2,EHF,R-198,-1.0,2.041217512106164,0.3927927927927928,0.017801983522913,-2.593366914154882,1.808555305309548,1.0,0.6,25,15
197,2,EHF,R-197,-1.0,2.041217512106164,0.1117117117117117,0.5165643451595487,-2.3019230491295497,1.4769478451850104,1.0,0.6,25,15
210,2,EHF,R-210,-1.0,2.041217512106164,-0.4818532818532819,0.0029233504585441,3.3904264307027496,2.3319530111777285,1.0,0.6,25,15
189,2,EHF,R-189,-1.0,2.041217512106164,0.4841698841698842,0.002770812908323,-5.184273777547768,4.447781071147482,1.0,0.6,25,15
192,2,EHF,R-192,-1.0,2.041217512106164,-0.6077220077220078,8.458632370435133e-05,4.822569456131436,3.4438785942784067,1.0,0.6,25,15
203,2,EHF,R-203,-1.0,2.041217512106164,0.5588159588159589,0.0003965233898412,-4.312841124345189,3.389851285141819,1.0,0.6,25,15
206,2,EHF,R-206,-1.0,2.041217512106164,0.5173745173745173,0.0012321205417583,-5.2199031351579706,4.068987840271951,1.0,0.6,25,15
196,2,EHF,R-196,-1.0,2.041217512106164,0.3029601029601029,0.0724809547279221,-3.8578690718122552,3.2101460138173583,1.0,0.6,25,15
187,2,EHF,R-187,-1.0,2.041217512106164,0.2352638352638353,0.1672043990964071,-5.088267942115105,4.81186211610365,1.0,0.6,25,15
207,2,EHF,R-207,-1.0,2.041217512106164,0.6383526383526384,2.8028690042589858e-05,-4.561260026283028,3.907904585269813,1.0,0.6,25,15
209,2,EHF,R-209,-1.0,2.041217512106164,0.2380952380952381,0.1620054278667748,-3.477060772312699,2.632964763999408,1.0,0.6,25,15
194,2,EHF,R-194,-1.0,2.041217512106164,0.3593307593307593,0.0313687366795073,-2.5333828995658023,1.7930905680214044,1.0,0.6,25,15
200,2,EHF,R-200,-1.0,2.041217512106164,-0.6429858429858429,2.3467961779606017e-05,2.9039210245002076,1.9909813405605417,1.0,0.6,25,15
186,2,EHF,R-186,-1.0,2.041217512106164,0.6308880308880309,3.7088351288824365e-05,-5.561263848668409,4.419627585290672,1.0,0.6,25,15
190,2,EHF,R-190,-1.0,2.041217512106164,0.5302445302445302,0.0008799010114017,-6.895683666389919,5.913806741448761,1.0,0.6,25,15
1789,2,REST,R-1789,-1.0,4.660589670481931,0.3552123552123553,0.0335084817586053,-2.3076010208213567,1.523602225329585,1.0,0.76,25,19
1797,2,REST,R-1797,-1.0,4.660589670481931,-0.5886743886743887,0.0001590130306726,3.4541239950698244,2.390915496088637,1.0,0.76,25,19
1785,2,REST,R-1785,-1.0,4.660589670481931,0.3330759330759331,0.0471428764208461,-4.031929653952105,3.5291128497894033,1.0,0.76,25,19
1777,2,REST,R-1777,-1.0,4.660589670481931,0.621106821106821,5.295401301024153e-05,-4.937151247770723,4.308091575504048,1.0,0.76,25,19
1787,2,REST,R-1787,-1.0,4.660589670481931,0.4687258687258687,0.0039335703745292,-2.143151313368712,1.3899262867255335,1.0,0.76,25,19
1780,2,REST,R-1780,-1.0,4.660589670481931,0.7683397683397685,4.4722364144116904e-08,-7.546572419290582,7.258178686006817,1.0,0.76,25,19
1793,2,REST,R-1793,-1.0,4.660589670481931,-0.2285714285714286,0.179966429091138,3.5968349741563506,2.762441368864852,1.0,0.76,25,19
1794,2,REST,R-1794,-1.0,4.660589670481931,0.1081081081081081,0.530265776817579,-2.1078007283819553,1.3188791957918338,1.0,0.76,25,19
