,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
7727,1,TNFRSF10A,7727,1.0,1.8623950033855794,-0.20926640926640927,0.22061145078839944,-5.309925229866449,4.4277358040765575,1.0,0.75,4,3
7728,1,TNFRSF10A,7728,1.0,1.8623950033855794,-0.35083655083655085,0.03591108555196788,-3.3911200468710687,2.4125017271059455,1.0,0.75,4,3
7726,1,TNFRSF10A,7726,1.0,1.8623950033855794,0.5034749034749035,0.0017469132980229116,4.410474812871173,3.9518124738551608,1.0,0.75,4,3
208,1,EHF,208,1.0,2.827420380644805,-0.37271557271557276,0.025173782701796234,-2.4638832534024053,1.6618853158827895,1.0,0.72,25,18
198,1,EHF,198,1.0,2.827420380644805,0.39279279279279283,0.017801983522913033,2.8042855982466377,2.0729436123870775,1.0,0.72,25,18
197,1,EHF,197,1.0,2.827420380644805,0.11171171171171172,0.5165643451595487,2.7710861972835636,1.9695908840875869,1.0,0.72,25,18
210,1,EHF,210,1.0,2.827420380644805,-0.4818532818532819,0.0029233504585441973,-3.220419502487013,2.281758035101481,1.0,0.72,25,18
189,1,EHF,189,1.0,2.827420380644805,0.4841698841698842,0.00277081290832301,5.18760817901988,4.741708782942558,1.0,0.72,25,18
192,1,EHF,192,1.0,2.827420380644805,-0.6077220077220078,8.458632370435133e-05,-5.055040028258187,3.8632667158280776,1.0,0.72,25,18
203,1,EHF,203,1.0,2.827420380644805,0.5588159588159589,0.0003965233898412667,4.802239023876182,4.135036661169026,1.0,0.72,25,18
206,1,EHF,206,1.0,2.827420380644805,0.5173745173745173,0.0012321205417583166,6.059702219670607,4.9155722511254885,1.0,0.72,25,18
196,1,EHF,196,1.0,2.827420380644805,0.30296010296010295,0.07248095472792211,3.6277401565174485,3.0212149781457436,1.0,0.72,25,18
204,1,EHF,204,1.0,2.827420380644805,0.4586872586872587,0.0048982886784272334,2.54216007422681,1.7570476142679887,1.0,0.72,25,18
188,1,EHF,188,1.0,2.827420380644805,-0.5060489060489061,0.0016393528534819522,-2.6796471949186356,1.7836397970136963,1.0,0.72,25,18
207,1,EHF,207,1.0,2.827420380644805,0.6383526383526384,2.8028690042589858e-05,5.364597748979676,4.914111903863125,1.0,0.72,25,18
191,1,EHF,191,1.0,2.827420380644805,0.3395109395109395,0.04278616125628833,2.1866005214993094,1.446593350182189,1.0,0.72,25,18
209,1,EHF,209,1.0,2.827420380644805,0.2380952380952381,0.16200542786677485,3.050327537821743,2.2888121731744206,1.0,0.72,25,18
194,1,EHF,194,1.0,2.827420380644805,0.35933075933075936,0.03136873667950738,3.129368371405084,2.441938821278979,1.0,0.72,25,18
200,1,EHF,200,1.0,2.827420380644805,-0.6429858429858429,2.3467961779606014e-05,-2.871015321000465,2.051786577146983,1.0,0.72,25,18
186,1,EHF,186,1.0,2.827420380644805,0.6308880308880309,3.7088351288824365e-05,6.549058092184051,5.550411897192134,1.0,0.72,25,18
190,1,EHF,190,1.0,2.827420380644805,0.5302445302445302,0.000879901011401737,7.640681742066272,7.049981054938702,1.0,0.72,25,18
1789,1,REST,1789,1.0,5.8098175066959215,0.3552123552123553,0.03350848175860535,2.4060047344282034,1.6494016971855059,1.0,0.72,25,18
1788,1,REST,1788,1.0,5.8098175066959215,0.6059202059202059,8.994634218854582e-05,2.769493863151114,2.021264132238392,1.0,0.72,25,18
1796,1,REST,1796,1.0,5.8098175066959215,0.5855855855855856,0.00017550281155637038,2.601944846629066,1.8197725410801893,1.0,0.72,25,18
1797,1,REST,1797,1.0,5.8098175066959215,-0.5886743886743887,0.00015901303067264084,-3.8896192298517027,2.926625408912927,1.0,0.72,25,18
1785,1,REST,1785,1.0,5.8098175066959215,0.3330759330759331,0.04714287642084616,3.0282040959789955,2.3296695931369813,1.0,0.72,25,18
1777,1,REST,1777,1.0,5.8098175066959215,0.621106821106821,5.295401301024153e-05,4.891973405379773,4.4632167920096775,1.0,0.72,25,18
1787,1,REST,1787,1.0,5.8098175066959215,0.4687258687258687,0.003933570374529276,2.499087928502455,1.7576341741427501,1.0,0.72,25,18
1780,1,REST,1780,1.0,5.8098175066959215,0.7683397683397685,4.4722364144116904e-08,7.617067384073995,7.724355104422211,1.0,0.72,25,18
1790,1,REST,1790,1.0,5.8098175066959215,0.6517374517374518,1.66438758334979e-05,3.1096782061078505,2.3845859801694513,1.0,0.72,25,18
1779,1,REST,1779,1.0,5.8098175066959215,-0.41827541827541836,0.011127377842475509,-2.2569531080935845,1.4290621378614914,1.0,0.72,25,18
1781,1,REST,1781,1.0,5.8098175066959215,-0.6205920205920207,5.393802493546444e-05,-4.6521205693491146,3.515931020788109,1.0,0.72,25,18
1786,1,REST,1786,1.0,5.8098175066959215,0.5464607464607465,0.0005646169902486913,3.6251694581702965,3.0221963304566906,1.0,0.72,25,18
1798,1,REST,1798,1.0,5.8098175066959215,0.49549549549549554,0.0021207170307770747,2.2539071967586946,1.50367166240367,1.0,0.72,25,18
1778,1,REST,1778,1.0,5.8098175066959215,-0.4468468468468469,0.006292832869049459,-2.932056364834135,2.037725343351071,1.0,0.72,25,18
1792,1,REST,1792,1.0,5.8098175066959215,0.312998712998713,0.0630660229542555,3.313719078319823,2.646289327705361,1.0,0.72,25,18
1776,1,REST,1776,1.0,5.8098175066959215,0.7230373230373232,6.332807370763805e-07,6.469418444847399,5.737387604548254,1.0,0.72,25,18
1791,1,REST,1791,1.0,5.8098175066959215,0.543886743886744,0.0006067211455116759,3.052275804237731,2.295950731517991,1.0,0.72,25,18
1784,1,REST,1784,1.0,5.8098175066959215,0.5104247104247105,0.0014698040909710893,4.271593301291478,3.754893248853019,1.0,0.72,25,18
9003,1,IRX5,9003,1.0,2.595544336604184,0.1103031085365361,0.5218991202899159,3.195406112847123,2.4090337612558788,0.6153846153846154,0.42105263157894735,19,13
8990,1,IRX5,8990,1.0,2.595544336604184,0.11609498704778946,0.5001381779448695,2.278046397439856,1.5062403660285042,0.6153846153846154,0.42105263157894735,19,13
8991,1,IRX5,8991,1.0,2.595544336604184,0.15419267681070042,0.3692430858541449,3.8594648951593964,3.3139424908851938,0.6153846153846154,0.42105263157894735,19,13
9006,1,IRX5,9006,1.0,2.595544336604184,0.3092863125009291,0.0664282694932524,2.546945412373598,1.8044012421958893,0.6153846153846154,0.42105263157894735,19,13
8998,1,IRX5,8998,1.0,2.595544336604184,0.19203294975088897,0.26185544962335405,3.6729530770950136,3.0792877705606396,0.6153846153846154,0.42105263157894735,19,13
9005,1,IRX5,9005,1.0,2.595544336604184,0.20734925070287005,0.2249654516077754,4.839216109748963,4.556915321764503,0.6153846153846154,0.42105263157894735,19,13
8992,1,IRX5,8992,1.0,2.595544336604184,0.05856232716933947,0.7344103045643456,3.585102652760325,2.9578518968526692,0.6153846153846154,0.42105263157894735,19,13
8995,1,IRX5,8995,1.0,2.595544336604184,0.13115387117704816,0.4457892300538121,2.6035873964609806,1.866585551018141,0.6153846153846154,0.42105263157894735,19,13
4712,1,ZNF691,4712,-1.0,1.9179383975393196,-0.13384813384813385,0.43641693797075787,6.839350772425745,6.096320672974156,0.6666666666666666,0.2,10,3
4715,1,ZNF691,4715,-1.0,1.9179383975393196,0.4725868725868726,0.003609041887791463,-4.991032252989474,3.9505420295171323,0.6666666666666666,0.2,10,3
1321,1,SP1,1321,1.0,2.291192801186479,0.40592020592020595,0.014035423160414716,3.0066949980482116,2.291574686177061,1.0,0.52,25,13
1305,1,SP1,1305,1.0,2.291192801186479,-0.08828828828828829,0.6086255147035171,-2.723430267476874,1.8435090838610622,1.0,0.52,25,13
1315,1,SP1,1315,1.0,2.291192801186479,0.7992277992277993,5.08364799923466e-09,2.5269918278354635,1.7751682844552774,1.0,0.52,25,13
1322,1,SP1,1322,1.0,2.291192801186479,0.5462033462033462,0.0005687072416324248,2.911794326295224,2.158378666695061,1.0,0.52,25,13
1314,1,SP1,1314,1.0,2.291192801186479,0.5351351351351352,0.0007715053820003809,2.870569281548801,2.1452269269113664,1.0,0.52,25,13
1313,1,SP1,1313,1.0,2.291192801186479,-0.38841698841698846,0.01923168573385845,-4.024300555407406,3.0039871667090896,1.0,0.52,25,13
1300,1,SP1,1300,1.0,2.291192801186479,0.6054054054054054,9.153299904173868e-05,6.685332890621482,5.7977998350583215,1.0,0.52,25,13
1308,1,SP1,1308,1.0,2.291192801186479,-0.28725868725868725,0.08936852737807932,-4.879824877137743,3.7351011238590273,1.0,0.52,25,13
1320,1,SP1,1320,1.0,2.291192801186479,0.35135135135135137,0.0356213484387896,2.122983452375597,1.3568716508805105,1.0,0.52,25,13
1304,1,SP1,1304,1.0,2.291192801186479,-0.4193050193050194,0.010910019048793644,-2.524478182677016,1.7129621995286783,1.0,0.52,25,13
1303,1,SP1,1303,1.0,2.291192801186479,0.36293436293436293,0.029589503999162905,7.12553131315576,6.790888069717746,1.0,0.52,25,13
1317,1,SP1,1317,1.0,2.291192801186479,0.3987129987129987,0.01601012678701906,4.080830238247525,3.501219676635103,1.0,0.52,25,13
1302,1,SP1,1302,1.0,2.291192801186479,0.6301158301158301,3.816274510075083e-05,2.182629086140095,1.4428291869961956,1.0,0.52,25,13
