,Regulon_ID,Regulator,Gene
0,0,ETS1,HELQ
1,0,ETS1,SERBP1
2,0,ETS1,POC1B
3,0,ETS1,MAN1A2
4,0,ETS1,MALT1
5,0,ETS1,MACF1
6,0,ETS1,LIN7C
7,0,ETS1,BLOC1S6
8,0,ETS1,PPWD1
9,0,ETS1,ZNF680
10,0,ETS1,KLHL28
11,0,ETS1,MED17
12,0,ETS1,DOCK7
13,0,ETS1,BAZ2B
14,0,ETS1,AZI2
15,0,ETS1,GLS
16,0,ETS1,CMTR2
17,0,ETS1,IDE
18,0,ETS1,SNTB2
19,0,ETS1,DNAJC25
20,0,ETS1,GNA13
21,0,ETS1,ANKRD28
22,0,ETS1,SLC25A46
23,0,ETS1,USF3
24,0,ETS1,FOXN3
25,0,ETS1,DUSP19
26,0,ETS1,PIGB
27,0,ETS1,BCL10
28,0,ETS1,ZNF397
29,0,ETS1,TWF1
30,0,ETS1,NIN
31,0,ETS1,ANKRD50
32,0,ETS1,ASXL2
33,0,ETS1,EXOC1
34,0,ETS1,STXBP5
35,0,ETS1,CGGBP1
36,0,ETS1,TRIP12
37,0,ETS1,RYK
38,0,ETS1,GEN1
39,0,ETS1,TEX10
40,0,ETS1,NUP54
41,0,ETS1,FANCL
42,0,ETS1,GNG12
43,0,ETS1,GSK3B
44,0,ETS1,ATAD5
45,0,ETS1,YES1
46,0,ETS1,ZBTB44
47,0,ETS1,CPEB2
48,0,ETS1,KTN1
49,0,ETS1,RABL2B
50,0,ETS1,EPS15
51,0,ETS1,MORC3
52,0,ETS1,ANKRD22
53,0,ETS1,THAP6
54,0,ETS1,THOC2
55,0,ETS1,DNAJB4
56,0,ETS1,OXSR1
57,0,ETS1,SEC22B
58,0,ETS1,GGPS1
59,0,ETS1,MKLN1
60,0,ETS1,ERI2
61,0,ETS1,MTRF1L
62,0,ETS1,TMA16
63,0,ETS1,DNAJA2
64,0,ETS1,APPBP2
65,0,ETS1,SPRED1
66,0,ETS1,CSNK1A1
67,0,ETS1,VPS13C
68,0,ETS1,CAB39
69,0,ETS1,STX12
70,0,ETS1,DNAJC13
71,0,ETS1,TAOK1
72,0,ETS1,PMCH
73,0,ETS1,RFESD
74,0,ETS1,ZNF780A
75,0,ETS1,CNOT2
76,0,ETS1,ERCC4
77,0,ETS1,ECHDC1
78,0,ETS1,ZNF564
79,0,ETS1,SMC4
80,0,ETS1,GTF2H1
81,0,ETS1,SETX
82,0,ETS1,SETD7
83,0,ETS1,TFAM
84,0,ETS1,DNAJC25-GNG10
85,0,ETS1,UBE2W
86,0,ETS1,GLIPR1
87,0,ETS1,LCOR
88,0,ETS1,KPNA5
89,0,ETS1,ANKRD13C
90,0,ETS1,ARHGAP12
91,0,ETS1,KPNA4
92,0,ETS1,DLG1
93,0,ETS1,COX11
94,0,ETS1,DMTF1
95,0,ETS1,SENP1
96,0,ETS1,RBAK
97,0,ETS1,PSMD12
98,0,ETS1,ARPP19
99,0,ETS1,NCKAP1
100,0,ETS1,PRKAR1A
101,0,ETS1,IPO11
102,0,ETS1,ZC3H11A
103,0,ETS1,ZKSCAN4
104,0,ETS1,SDE2
105,0,ETS1,PUM2
106,0,ETS1,CAPZA1
107,0,ETS1,SDHD
108,0,ETS1,TNKS
109,0,ETS1,ACAP2
110,0,ETS1,ADAM10
111,0,ETS1,RSF1
112,0,ETS1,SNX16
113,0,ETS1,ITPRIPL1
114,0,ETS1,ZFR
115,0,ETS1,SENP7
116,0,ETS1,SPAG9
117,0,ETS1,GCFC2
118,0,ETS1,TNRC6A
119,0,ETS1,CCDC90B
120,0,ETS1,PRRC2C
121,0,ETS1,RLIM
122,0,ETS1,RAD50
123,0,ETS1,PSIP1
124,0,ETS1,PPTC7
125,0,ETS1,BRAF
126,0,ETS1,ZBED6
127,0,ETS1,ETAA1
128,0,ETS1,ARL5B
129,0,ETS1,PYROXD1
130,0,ETS1,SLC33A1
131,0,ETS1,ZFYVE16
132,0,ETS1,CNOT6L
133,0,ETS1,OTUD4
134,0,ETS1,NOL8
135,0,ETS1,SKA2
136,0,ETS1,ZBTB11
137,0,ETS1,TAF1D
138,0,ETS1,ATM
139,0,ETS1,BIRC6
140,0,ETS1,KDM5A
141,0,ETS1,PSME4
142,0,ETS1,GIN1
143,0,ETS1,PIK3R4
144,0,ETS1,LLPH
145,0,ETS1,CENPQ
146,0,ETS1,GGNBP2
147,0,ETS1,SEC63
148,0,ETS1,ZDHHC21
149,0,ETS1,ASF1A
150,0,ETS1,ARHGAP18
151,0,ETS1,PPP6R3
152,0,ETS1,CRYZL1
153,0,ETS1,SLC38A1
154,0,ETS1,AP3B1
155,0,ETS1,TAF13
156,0,ETS1,TBC1D23
157,0,ETS1,TMEM209
158,0,ETS1,NUP107
159,0,ETS1,YTHDF2
160,0,ETS1,MYNN
161,0,ETS1,ARFIP1
162,0,ETS1,JMY
163,0,ETS1,FAF2
164,0,ETS1,MBNL1
165,0,ETS1,EXTL2
166,0,ETS1,SLC25A16
167,0,ETS1,SLC25A40
168,0,ETS1,FBXO30
169,0,ETS1,SRP72
170,0,ETS1,ODF2L
171,0,ETS1,SMNDC1
172,0,ETS1,SPTLC2
173,0,ETS1,NUDT21
174,0,ETS1,CEP135
175,0,ETS1,MEF2A
176,0,ETS1,DCLRE1C
177,0,ETS1,RBPJ
178,0,ETS1,UEVLD
179,0,ETS1,TC2N
180,0,ETS1,AP4E1
181,0,ETS1,AIDA
182,0,ETS1,C16orf87
183,0,ETS1,DPP8
184,0,ETS1,RNF13
185,0,ETS1,FGFR1OP2
186,0,ETS1,MYO1B
187,0,ETS1,PPP1R2
188,0,ETS1,YIPF4
189,0,ETS1,CHUK
190,0,ETS1,ZCCHC4
191,0,ETS1,CEP97
192,0,ETS1,XPO1
193,0,ETS1,WDR43
194,0,ETS1,EXOC5
195,0,ETS1,GPBP1
196,0,ETS1,SLC30A7
197,0,ETS1,ZNF138
198,0,ETS1,EIF4E
199,0,ETS1,MFN1
200,0,ETS1,SLC30A6
201,0,ETS1,C18orf54
202,0,ETS1,PRMT9
203,0,ETS1,VEZT
