,Coefficient
KLF4,0.0
SP100,0.0
TFAP2A,0.0
RORA,-0.009409665466852679
ETV5,0.0
EBF1,-0.0020809541875062656
ZNF410,0.0521688352594251
ETV6,0.0
FOXD3,-4.81684049312147e-05
TEAD1,0.0
XBP1,0.05674649150277226
ETV1,0.0
SNAI2,-0.00020492647598962418
NFE2L2,0.0414568250503107
ZBTB18,0.0
NFAT5,-0.0007592292310739858
GZF1,0.0
HOXD11,0.0004013137561487498
FOXP3,-0.0005569820842588005
TFEC,-0.06450627847174459
NR2F6,0.0
LMO2,-0.0009541237665963844
ARID5B,-0.002578337571517863
GLI1,0.0
CREM,0.0
TBX2,0.0
TRAF4,0.06195673897637459
RFX7,0.0
SOX5,-0.011094800829413309
MEF2A,0.0
NFIL3,0.1611779233581843
REL,0.0
ZNF217,0.0
ELK3,0.0
BORCS8-MEF2B,0.04265082500891755
TBX20,-0.0011532062859483155
ZNF232,0.09838325496314144
HMBOX1,-0.14627160748060822
GLIS3,-0.08518713981828409
GABPB1,0.0
SREBF2,0.13611524739046454
SP1,0.0
MAF,0.0
FOXD2,0.0
BRCA1,0.0038237917465986713
NR2F2,0.0
NFATC1,-0.0006584971761927026
ZEB1,-0.00016010204194149893
NR1H2,0.03314849299341989
RXRA,0.0
ZNF784,0.057136016380345094
