,Coefficient
ARID5A,-0.006105584492691617
BCL6,0.0
HOXD8,0.0
ETV5,0.0
TCF21,0.0
FOXD3,0.0
NFATC4,0.0
TEAD1,0.0
XBP1,0.0
ZNF589,0.0
HOXC6,0.0
ZNF691,-0.000857044392313287
NR3C2,0.0
E2F7,-0.00015088668099723514
HOXC9,0.0
ARID5B,0.0
PRDM1,0.0
TFAP2C,0.0004327069778641537
GLI3,0.0
ATF4,-0.0028792616153854506
CREB3L2,0.0
GLI2,0.0
BACH2,0.0
TEAD4,-6.355991624531972e-06
GMEB1,0.0
E2F1,-0.0025891218544861487
HOXC5,0.0
MEOX2,0.17423713610628597
RBPJ,0.0
SREBF2,0.0
MYC,0.0
BRCA1,0.0
PBX1,0.0
KLF12,0.0
NFATC1,0.0
MNT,0.0
IKZF3,0.0
GTF2I,0.0
TGIF2,0.0
ZBED6,0.0
NR2F1,0.0
PHOX2B,0.03561946033518312
HIF1A,0.0
CDC5L,0.0
RORA,0.00014738320881689887
STAT1,0.0
EBF1,0.19205649167317013
STAT4,0.0
SOX14,-0.00012696036367927058
CNOT3,-0.0021262737182824835
SOX9,0.0
POU2F1,0.0011373311041521408
RUNX1,0.0018779425142192404
HMGA1,-0.06202769647562013
FOXO4,0.0
RUNX2,0.0
ETV1,-1.5758445046528646e-05
CENPB,-0.004739693146782652
GTF2A1,0.0
PRRX1,0.0
SNAI2,0.0
FOXJ3,0.0
NFE2L2,0.0
ZBTB18,0.0
ZNF281,0.0
NFAT5,0.002197982339517592
GZF1,0.0
HOXD11,0.00017093801826475067
RARB,0.0006768705515790606
LMO2,0.0
ELK4,0.0
HOXB5,0.0
REL,0.001378417476134897
EPAS1,0.0
ELK3,0.0
IKZF1,0.0
HNF1B,0.0
NF1,0.0
FLI1,0.0
HMBOX1,4.266129936456871e-05
GABPB1,0.0
HOXB3,0.0
SP1,0.0
EN1,0.06400974458097834
MAF,0.0
EHF,0.0
NR2F2,0.0
PEG10,-0.00033676364578520495
E2F3,0.0
FOXG1,0.0
TCF7L2,0.0
DEAF1,-0.0004231397375909767
CLOCK,0.0030325281087250217
MGA,0.0
