,Coefficient
HSF2,-0.007398237310169837
TFAP2C,0.005028452131603725
NFATC2,0.0
TBX2,0.0
BCL6,0.02816496797807573
MNT,0.019796187109683994
RFX7,0.11578188270850026
ZNF219,-0.0016797160391079117
MEF2D,0.0
NFE2L1,-0.03464468302157879
FOXO3,0.0
TFAP2A,0.014146238765877988
ATF1,0.0
SOX9,-0.002269958739888108
IRF9,0.03273673580808987
ETV1,0.0
HOXB3,0.0013182752185429193
SREBF2,0.0
KLF13,0.0
NR3C2,0.10428475901827287
FOXJ3,0.07700408001324602
NR2F2,0.0
GZF1,0.0
ESRRA,-0.28220800312035654
RARB,0.0
GABPA,0.0
GTF2I,0.0
NR2F6,-0.021512547436790878
