,Coefficient
CPEB1,0.029361631468510025
FOXP1,0.0
NR2C2,0.09461695300370039
NFATC2,0.00038587463765880415
BCL6,0.0
SOX5,0.020805165963124792
CREB3L2,0.00574088070588662
MEF2D,0.0
ZNF217,0.07741113311025676
BACH2,0.03139104448872278
HBP1,0.0
TEAD4,0.0
PURA,0.08556070801353809
ETV6,-0.005410809441653548
CREB1,0.016685618578239074
NFATC4,0.0
IKZF2,0.13116964548230547
PRRX1,0.0
ZBTB4,-0.05866854550457434
OSR1,-0.0010584107790479198
BHLHE41,-0.0006244334382374107
NFE2L2,0.010625955770023265
MYC,0.04614297252841678
BRF1,0.0
LEF1,-0.0076447020727121815
E2F7,0.10475897972856092
HOXC9,0.0
CEBPZ,0.058694046519023164
RXRG,0.0
ZIC2,0.0
