,Coefficient
ZBED6,0.0
NR2F1,0.06707569180275161
NR2C2,0.0
RREB1,0.0
PEBP1,0.0
DBP,-0.00020412254121876812
SIX1,-0.002138909544981787
NFATC4,0.0
ERF,0.0
OSR1,0.00519539424581057
LEF1,0.0032081067691973634
NFAT5,0.0
ESRRA,0.0
LHX6,0.06005923896462896
NFYC,0.0
RARB,0.012064477278621833
POLR3A,-0.00047870467275529444
NR2F6,0.0
IRF1,-0.012213011861130406
FOXP1,-0.041219523264328845
TRAF4,0.0
ZNF219,0.000319217626079942
TBX1,0.020027902020941225
NFIL3,-0.0020199404435154093
BACH2,0.0003903343630840936
HMBOX1,0.0
MEOX2,0.14283719403042175
GLIS3,0.0
BHLHA15,0.0
ZEB1,0.021162938917817148
SIRT6,0.0
SP1,-0.0023668258824381745
ZBTB7B,0.0008564448967010572
NR2F2,0.0
MNT,0.0
HNF1A,0.002240473734044287
