,Coefficient
RREB1,0.0015564844435728773
ESR1,0.0
TFAP2A,0.10233840199666751
SOX14,-0.07226674257021748
HBP1,-0.0010054252670127885
MECOM,0.0016979922016849194
IRF3,0.0
POU2F1,0.022506059692321414
TCF21,0.0
FOXD3,0.002154533670716818
TEAD1,0.0
ZNF589,0.0
ZNF691,-0.0021235517654726948
IRF2,5.571410417504212e-05
NFE2L2,0.0
EGR3,0.0
HOXC9,0.004752143411933701
NR2F6,0.0
TCF3,-0.0026352758443448816
GLI1,0.0
ZNF524,-0.005238808697603705
FOXP1,0.08234622751017208
DEAF1,0.0
TRAF4,0.0
MEF2A,0.0
TBX1,0.0
GFI1,0.01898026615038666
ZNF263,0.0
HNF1B,-0.0005490906267989456
E2F4,0.0
TBX20,0.0
ETV3,0.0
HMBOX1,0.0
TCF7L1,-0.005583541013815505
ZEB1,0.0
FOXF1,0.0
ZBTB16,0.0
SREBF2,0.0
HOXC8,0.0035389882166307006
HOXB2,0.07116102626270865
FOXD2,0.0
MYC,-0.0007466405502143084
FOXG1,-0.013804552324472691
KLF12,0.0
SREBF1,0.14058457523024828
MNT,0.0
CLOCK,0.0
HNF1A,-0.0009041684258598112
NKX3-2,-0.0027107335380071452
TGIF2,-0.10652602989969692
