,out_degree_aligned
ZBED6,15
CREB1,15
NFAT5,14
ELK4,13
ZEB1,13
MEOX2,13
GLI3,13
GFI1,12
FOXP1,12
MEIS2,12
MEIS1,12
GTF2A1,11
FOXO3,11
GLI1,11
EP300,11
PBX1,10
EBF1,10
BCL6,10
NFATC1,9
HIVEP2,9
BACH1,9
RREB1,9
ELK3,9
SNAI2,9
TCF4,9
GTF2I,8
POU2F1,8
MYB,8
SP3,8
HMBOX1,8
RFX7,8
IKZF1,8
E2F7,8
CLOCK,8
CEBPZ,8
SOX5,8
MEF2D,8
MSC,7
ATF2,7
HBP1,7
NR3C1,7
ZBTB4,7
PRRX1,7
STAT1,7
REST,7
IKZF2,7
CREB3L2,7
TCF7L2,7
KLF7,7
TEAD1,7
ESR1,7
IRF1,7
HLX,7
ZNF410,7
KLF12,7
BACH2,7
RBPJ,7
OSR1,7
NF1,6
NFIL3,6
FOXP3,6
STAT4,6
FOXJ3,6
ETV5,6
NR3C2,6
ETV1,6
SP100,6
RUNX1,6
NFE2L1,6
SP1,6
ZNF217,6
CDC5L,6
E2F3,6
REL,6
MAF,6
NFE2L2,6
RARB,6
ARID5B,6
CPEB1,5
NR2C2,5
TCF21,5
FLI1,5
DR1,5
TGIF2,5
ETV6,5
GMEB1,5
ATF7,5
ATF1,5
STAT3,5
E2F8,5
RFX3,5
NR2F2,5
HOXC6,5
HOXD8,5
ZSCAN26,5
FOXD3,4
GLIS3,4
PRDM1,4
SOX7,4
CTCF,4
HIF1A,4
ETS1,4
BBX,4
GLI2,4
MEF2A,4
ETV3,4
TFAP2A,4
PGR,4
PHOX2B,4
HOXC8,4
HOXC9,4
FOXF1,4
SHOX2,4
GABPB1,4
RUNX2,4
BDP1,4
ERG,4
NFATC2,4
HOXB2,4
BPTF,3
ARNT,3
ZBTB6,3
NFATC4,3
NR2F1,3
ELF2,3
POU2F2,3
FOXD1,3
PURA,3
CREM,3
RFC5,3
ESR2,3
HOXD11,3
IRF9,3
HOXD1,3
NFKB1,3
HOXC5,3
TBP,3
IRF2,3
HOXB3,3
EHF,3
TTF1,3
RORA,3
MECOM,3
NFYA,3
GABPA,3
PPARA,3
LMO2,3
ZNF281,3
XBP1,3
ZNF148,3
SP4,3
LEF1,2
ELF1,2
BRCA1,2
TFAP2C,2
ZBTB16,2
IKZF3,2
ONECUT2,2
SOX9,2
SPI1,2
MEIS3,2
SOX17,2
GATA3,2
MTF1,2
ZBTB18,2
MEOX1,2
TBX15,2
GLIS2,2
SIX1,2
ARID5A,2
HSF2,2
MAFB,2
BHLHE41,2
HOXA4,2
ZNF589,2
CREB3L1,2
EN1,2
FOXG1,1
HOXD10,1
ZNF8,1
HNF1B,1
FOXO4,1
SMAD1,1
ZIC2,1
ZSCAN16,1
TBX1,1
ZNF263,1
PAX5,1
HESX1,1
PITX3,1
ZNF35,1
TCF7L1,1
FOXJ2,1
POLR3A,1
CREB5,1
TBX21,1
MGA,1
SOX14,1
TFEC,1
LHX6,1
VBP1,1
PEG10,1
HDX,1
RXRG,1
SATB1,1
BCL6B,1
ZNF232,1
GRHL1,1
NKX3-2,1
TERF1,1
TAL1,1
SH2D1A,1
ESRRG,1
TBX20,1
TBX2,0
EGR3,0
IRF6,0
GZF1,0
SOX15,0
EPAS1,0
PHOX2A,0
NKX3-1,0
PRDM4,0
YY1,0
SOX10,0
NR2E1,0
AR,0
ID4,0
KLF13,0
DBX2,0
MYBL1,0
SMAD4,0
TGIF1,0
ZNF713,0
ZSCAN4,0
