,Alt_ID,in_degree,out_degree,out/in
CREB1,CREB1,3.0,15.0,5.0
HOXC6,HOXC6,2.0,6.0,3.0
MEIS2,MEIS2,4.0,12.0,3.0
FOXF1,FOXF1,2.0,5.0,2.5
STAT1,STAT1,3.0,7.0,2.3333333333333335
TCF4,TCF4,4.0,9.0,2.25
EP300,EP300,5.0,11.0,2.2
FOXO3,FOXO3,6.0,13.0,2.1666666666666665
MEF2D,MEF2D,6.0,11.0,1.8333333333333333
MYB,MYB,5.0,9.0,1.8
ATF2,ATF2,4.0,7.0,1.75
CREM,CREM,2.0,3.0,1.5
ZNF148,ZNF148,2.0,3.0,1.5
DR1,DR1,4.0,6.0,1.5
ELF2,ELF2,2.0,3.0,1.5
ETV5,ETV5,5.0,6.0,1.2
RFC5,RFC5,6.0,7.0,1.1666666666666667
HOXD1,HOXD1,4.0,3.0,0.75
ONECUT2,ONECUT2,4.0,2.0,0.5
SMAD1,SMAD1,4.0,2.0,0.5
GRHL1,GRHL1,2.0,1.0,0.5
NFATC2,NFATC2,8.0,4.0,0.5
YY1,YY1,2.0,1.0,0.5
PRDM4,PRDM4,5.0,2.0,0.4
ZNF35,ZNF35,3.0,1.0,0.3333333333333333
IRF6,IRF6,6.0,2.0,0.3333333333333333
MEOX1,MEOX1,8.0,2.0,0.25
ZSCAN16,ZSCAN16,7.0,1.0,0.14285714285714285
