,Source,Edge,Target
0,TEAD1,-0.0124756719104741,BORCS8-MEF2B
1,ARID5B,-0.0054489420908546,BORCS8-MEF2B
2,E2F1,0.2096242144071855,BORCS8-MEF2B
3,SPI1,0.052731852220684,BORCS8-MEF2B
4,NR1H2,0.3674789936295087,BORCS8-MEF2B
5,GTF2I,-0.0609641365909648,BORCS8-MEF2B
6,RREB1,-0.0043888593422774,BORCS8-MEF2B
7,ERF,0.1466867552121794,BORCS8-MEF2B
8,GTF2A1,-0.0330288651620192,BORCS8-MEF2B
9,ZNF281,-0.0254657472625846,BORCS8-MEF2B
10,ELK4,-0.0662306000894742,BORCS8-MEF2B
11,POU2F2,0.0085339777809749,BORCS8-MEF2B
12,TEAD4,0.1073642259718393,HNF1A
13,CDX2,0.1127206773880656,HNF1A
14,PRDM4,0.1399635240397866,HNF1A
15,TCF3,0.0620367869767454,HNF1A
16,MAZ,0.1394452369284927,HNF1A
17,FOXP1,-0.0662201992262791,HNF1A
18,MLXIPL,0.1711682347783369,HNF1A
19,CEBPA,0.1318378386188274,HNF1A
20,RFX1,0.1395323754015167,HNF1A
21,CREB3L1,-0.1788172586284507,NFATC2
22,FOXP3,0.1241789856859592,NFATC2
23,ZNF217,0.3023224131881928,NFATC2
24,TCF7L1,0.0989349048034838,NFATC2
25,EP300,0.0661208114226681,NFATC2
26,PBX1,0.0619772169688647,NFATC2
27,ZIC2,-0.0530336079965165,NFATC2
28,SOX7,0.1168923987334505,NFATC2
29,RFX3,0.23177081400198,ELF2
30,REST,0.5115610434857054,ELF2
31,ZEB1,0.2446130867084902,RUNX2
32,RUNX1,0.224780885023125,RUNX2
33,ETV1,0.0993405306332013,RUNX2
34,PRRX1,0.2263588875087833,RUNX2
35,ARID5A,0.1048067975078054,RARG
36,NFATC2,-0.0438752059402208,RARG
37,SREBF2,0.0505870488825725,RARG
38,KLF12,0.072630359285144,RARG
39,NR1H2,0.2143113391116466,RARG
40,THRA,0.0722827582461712,RARG
41,VENTX,0.106821234380924,RARG
42,PRDM1,0.0904006505155445,FOXP3
43,IRF1,0.1888846551938325,FOXP3
44,MSC,0.370514132010855,FOXP3
45,NFATC1,0.1073974159898718,FOXP3
46,GABPA,-0.0507099291281611,FOXP3
47,ZEB1,0.2542494645357159,RORA
48,NR3C1,0.352387938466291,RORA
49,NFAT5,0.2493429271005041,RORA
50,HOXD1,0.0446723653388272,ARID5A
51,MAFK,0.0801486930263176,ARID5A
52,BRCA1,-0.0521893385076185,ARID5A
53,SOX9,0.0438617345759826,ARID5A
