,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
597,13,ETV5,R-597,-1.0,4.0046528354708855,-0.4417884648096999,1.910021150528768e-25,4.191749549566813,2.894193933079543,0.7142857142857143,0.4166666666666667,12,7
601,13,ETV5,R-601,-1.0,4.0046528354708855,-0.3190805838465696,2.285804432730416e-13,2.7388940268961472,1.8074820424378744,0.7142857142857143,0.4166666666666667,12,7
599,13,ETV5,R-599,-1.0,4.0046528354708855,-0.1236425122194173,0.0054901121608874,7.923092310345866,5.872028881541216,0.7142857142857143,0.4166666666666667,12,7
593,13,ETV5,R-593,-1.0,4.0046528354708855,-0.2216268882625326,5.146280744401479e-07,3.2440557886836325,2.258042467475824,0.7142857142857143,0.4166666666666667,12,7
594,13,ETV5,R-594,-1.0,4.0046528354708855,0.5138485158108455,3.0586583610133405e-35,-4.875365784021031,3.6926452729483072,0.7142857142857143,0.4166666666666667,12,7
6470,13,HNF4A,R-6470,1.0,2.30990152143566,0.2013973831079167,5.304678031939163e-06,2.7843955689173447,1.8260801258300672,0.8666666666666667,0.52,25,15
6460,13,HNF4A,R-6460,1.0,2.30990152143566,0.8545797874487093,1.1291277407270881e-144,2.7395277515333025,1.752309203223621,0.8666666666666667,0.52,25,15
6476,13,HNF4A,R-6476,1.0,2.30990152143566,0.1534851788528929,0.0005518504735333,2.356055349963176,1.4377533037379688,0.8666666666666667,0.52,25,15
6458,13,HNF4A,R-6458,1.0,2.30990152143566,-0.4459294319456058,6.01211730598393e-26,-3.1754771699862925,2.1755258143530174,0.8666666666666667,0.52,25,15
6473,13,HNF4A,R-6473,1.0,2.30990152143566,0.5222851847367701,1.508827795812538e-36,5.073820960650338,3.619167164400257,0.8666666666666667,0.52,25,15
6461,13,HNF4A,R-6461,1.0,2.30990152143566,0.4401838824763429,2.9765733049528278e-25,5.656680102993639,4.025395256355896,0.8666666666666667,0.52,25,15
6454,13,HNF4A,R-6454,1.0,2.30990152143566,-0.557762606678276,1.8269474289871465e-42,-6.12209438741393,4.942817528971996,0.8666666666666667,0.52,25,15
6464,13,HNF4A,R-6464,1.0,2.30990152143566,-0.3760962021458802,2.3982986689441306e-18,-3.7795833768673024,2.997190629341575,0.8666666666666667,0.52,25,15
6475,13,HNF4A,R-6475,1.0,2.30990152143566,0.1540555566242084,0.0005258526724038,3.48501180085526,2.39541403096947,0.8666666666666667,0.52,25,15
6472,13,HNF4A,R-6472,1.0,2.30990152143566,-0.208553365822896,2.385248885223555e-06,-2.8179566242191445,2.0124677203690755,0.8666666666666667,0.52,25,15
6468,13,HNF4A,R-6468,1.0,2.30990152143566,0.4356894112464277,1.0185462229354431e-24,5.527271987380953,4.51131715112452,0.8666666666666667,0.52,25,15
6463,13,HNF4A,R-6463,1.0,2.30990152143566,0.8443376923056614,7.243189931558845e-138,4.461012484362356,3.1255287956576394,0.8666666666666667,0.52,25,15
6465,13,HNF4A,R-6465,1.0,2.30990152143566,-0.295219387526105,1.4208985955907672e-11,-4.828716411498596,4.368099318675669,0.8666666666666667,0.52,25,15
189,13,PURA,R-189,1.0,2.589314375687637,0.1893289287232401,1.9168736799825335e-05,2.4548400059371898,1.53241869452012,0.6666666666666666,0.3333333333333333,6,3
188,13,PURA,R-188,1.0,2.589314375687637,0.7674148619947928,8.979447597725668e-99,2.861754038752376,2.0393288480947547,0.6666666666666666,0.3333333333333333,6,3
921,13,MEIS2,R-921,1.0,2.0186177666477896,0.6767732629078499,1.2098762338583239e-68,2.501927728227258,1.664956692247482,0.3846153846153846,0.2083333333333333,24,13
933,13,MEIS2,R-933,1.0,2.0186177666477896,0.6692621731195072,1.2538908797156642e-66,2.9590680298683836,2.133889135275697,0.3846153846153846,0.2083333333333333,24,13
920,13,MEIS2,R-920,1.0,2.0186177666477896,0.3469349903236623,1.1307692796467993e-15,3.231280963505222,2.4591167210627076,0.3846153846153846,0.2083333333333333,24,13
926,13,MEIS2,R-926,1.0,2.0186177666477896,0.5587053471242361,1.2435359192506885e-42,5.179653215061246,4.168754087116866,0.3846153846153846,0.2083333333333333,24,13
938,13,MEIS2,R-938,1.0,2.0186177666477896,0.2356972752745526,8.867523467257896e-08,3.749757463793232,2.5749989500473127,0.3846153846153846,0.2083333333333333,24,13
8208,13,CREB3L1,R-8208,-1.0,4.271156508979572,0.3040317193782854,3.229421025501282e-12,-3.50528645928274,2.485408221618963,1.0,1.0,2,2
8207,13,CREB3L1,R-8207,-1.0,4.271156508979572,0.6441800722887113,2.630812927905204e-60,-2.7781882883829256,1.8194844272061563,1.0,1.0,2,2
8789,13,TP73,R-8789,-1.0,2.677243038997174,0.191850415247087,1.4751991784193124e-05,-5.119430528549295,3.929610850393455,1.0,0.6666666666666666,3,2
8791,13,TP73,R-8791,-1.0,2.677243038997174,-0.2115710216032584,1.6883896344430466e-06,4.500649223144037,3.175830847881184,1.0,0.6666666666666666,3,2
8964,13,SOX8,R-8964,-1.0,1.6371071044033831,0.1702351856003796,0.0001247914901106,-3.852092247778253,2.784886982943296,1.0,0.64,25,16
8957,13,SOX8,R-8957,-1.0,1.6371071044033831,-0.1880611179267857,2.1838523374887452e-05,4.550727911443825,3.178654489088588,1.0,0.64,25,16
8960,13,SOX8,R-8960,-1.0,1.6371071044033831,-0.2867188419171663,5.6580443442119634e-11,6.741321245795741,5.013525789954103,1.0,0.64,25,16
8944,13,SOX8,R-8944,-1.0,1.6371071044033831,0.3376214525034732,7.0875217992841846e-15,-5.132878643593073,3.927842309689405,1.0,0.64,25,16
8954,13,SOX8,R-8954,-1.0,1.6371071044033831,-0.2019834182625604,4.973825345115248e-06,3.5613131289116917,2.4145451049306916,1.0,0.64,25,16
8962,13,SOX8,R-8962,-1.0,1.6371071044033831,-0.3118360203000368,8.334106405300848e-13,4.895512012423435,3.9337473750843848,1.0,0.64,25,16
8959,13,SOX8,R-8959,-1.0,1.6371071044033831,-0.3115681813022497,8.736510487922141e-13,7.628182701883082,5.659868657102099,1.0,0.64,25,16
8945,13,SOX8,R-8945,-1.0,1.6371071044033831,0.3187718763960507,2.4170848509947226e-13,-4.241380141475217,3.2084972244169343,1.0,0.64,25,16
8967,13,SOX8,R-8967,-1.0,1.6371071044033831,-0.3477486048362785,9.604234443724774e-16,2.7671754159499566,1.7800834775655152,1.0,0.64,25,16
8948,13,SOX8,R-8948,-1.0,1.6371071044033831,-0.1943490874698001,1.1341458499563154e-05,6.340610640514086,4.6131868171347765,1.0,0.64,25,16
8949,13,SOX8,R-8949,-1.0,1.6371071044033831,0.2791372208585242,1.8669268873101836e-10,-2.618012376123536,1.6554281940969762,1.0,0.64,25,16
8955,13,SOX8,R-8955,-1.0,1.6371071044033831,-0.3024187521055312,4.251443749681506e-12,5.824029774497196,4.182175611551841,1.0,0.64,25,16
8966,13,SOX8,R-8966,-1.0,1.6371071044033831,0.2545626038533221,7.009139607142457e-09,-3.7088059515984897,2.5323857082333516,1.0,0.64,25,16
8946,13,SOX8,R-8946,-1.0,1.6371071044033831,-0.2329203076202317,1.265976575897161e-07,4.768264956161431,3.363013812167184,1.0,0.64,25,16
8951,13,SOX8,R-8951,-1.0,1.6371071044033831,-0.3077620481758013,1.6987177307830222e-12,5.574889741276517,3.957723441199494,1.0,0.64,25,16
8968,13,SOX8,R-8968,-1.0,1.6371071044033831,-0.2827591999407275,1.0602276588236975e-10,6.560560575299615,4.660080304842042,1.0,0.64,25,16
2532,13,ZSCAN26,R-2532,1.0,6.683326155443594,0.3396326650229527,4.7931509299159406e-15,3.916737954235821,2.700097282590571,0.9,0.375,24,10
2535,13,ZSCAN26,R-2535,1.0,6.683326155443594,0.3219485967895907,1.356382473849716e-13,5.701359717485418,4.0858931655831805,0.9,0.375,24,10
2514,13,ZSCAN26,R-2514,1.0,6.683326155443594,0.2662146076302571,1.3153494018920843e-09,3.1773597233798623,2.2787090327814172,0.9,0.375,24,10
2529,13,ZSCAN26,R-2529,1.0,6.683326155443594,0.3977252025694439,1.6385945678924506e-20,3.3296345230427566,2.3032932410553064,0.9,0.375,24,10
2513,13,ZSCAN26,R-2513,1.0,6.683326155443594,0.3939389653352886,4.029081145604092e-20,3.578430375548827,2.783369245790304,0.9,0.375,24,10
2516,13,ZSCAN26,R-2516,1.0,6.683326155443594,0.2555399909403378,6.110499241071228e-09,4.794636239568701,3.5392505644814483,0.9,0.375,24,10
2523,13,ZSCAN26,R-2523,1.0,6.683326155443594,0.5332159009517171,2.691263197644522e-38,4.5568776231908155,3.245573358976945,0.9,0.375,24,10
2518,13,ZSCAN26,R-2518,1.0,6.683326155443594,0.3427195317942468,2.615048044964804e-15,7.974744097702207,6.1808831026221585,0.9,0.375,24,10
2522,13,ZSCAN26,R-2522,1.0,6.683326155443594,0.1958078883934111,9.712437097066982e-06,2.332642062899691,1.577468535699421,0.9,0.375,24,10
6691,13,SOX17,R-6691,1.0,1.976033602127756,0.7203013186296752,1.2834411144115227e-81,5.17804015898134,4.011462872372258,0.5,0.2,25,10
6708,13,SOX17,R-6708,1.0,1.976033602127756,0.2078259903677914,2.590459654345381e-06,2.6248307226234986,1.6809493198703036,0.5,0.2,25,10
6701,13,SOX17,R-6701,1.0,1.976033602127756,0.5132348575969718,3.7946453356124534e-35,3.6251291994193946,2.7645408408034786,0.5,0.2,25,10
6687,13,SOX17,R-6687,1.0,1.976033602127756,0.6342928956332202,5.6532142958476734e-58,3.045195852250017,2.1618362789442163,0.5,0.2,25,10
6694,13,SOX17,R-6694,1.0,1.976033602127756,0.6278309086856211,1.7030117170602526e-56,2.5493759836376797,1.6261018956464233,0.5,0.2,25,10
