,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
596,2,ETV5,596,-1.0,2.4014765935258255,-0.24795205243590626,1.7466597885089642e-08,7.60573669234373,11.768247312438323,0.9,0.75,12,10
592,2,ETV5,592,-1.0,2.4014765935258255,0.33274569996073644,1.8080088709568643e-14,-10.72830472387973,21.097017724456403,0.9,0.75,12,10
600,2,ETV5,600,-1.0,2.4014765935258255,0.2488723511709104,1.5405532367649918e-08,-7.562413960525798,11.125527684805572,0.9,0.75,12,10
595,2,ETV5,595,-1.0,2.4014765935258255,-0.18771265406988913,2.2631986088150598e-05,7.659487535854247,11.935205793247572,0.9,0.75,12,10
591,2,ETV5,591,-1.0,2.4014765935258255,-0.23127606963040576,1.559801213517036e-07,13.45944311784203,30.688312539054706,0.9,0.75,12,10
590,2,ETV5,590,-1.0,2.4014765935258255,0.17225804723923582,0.00010326264134966207,-12.031671123174911,21.40662616782012,0.9,0.75,12,10
593,2,ETV5,593,-1.0,2.4014765935258255,-0.2216268882625326,5.146280744401479e-07,10.56784841045378,21.017191919571548,0.9,0.75,12,10
598,2,ETV5,598,-1.0,2.4014765935258255,0.1201087913799691,0.007000373983013169,-7.122163524155806,10.574709100617117,0.9,0.75,12,10
594,2,ETV5,594,-1.0,2.4014765935258255,0.5138485158108455,3.0586583610133405e-35,-3.6929992953976085,3.5053050472124467,0.9,0.75,12,10
6460,2,HNF4A,6460,-1.0,5.366835698840434,0.8545797874487093,1.129127740727088e-144,-2.9251280662883135,2.4075210018276714,0.32,0.32,25,25
6476,2,HNF4A,6476,-1.0,5.366835698840434,0.1534851788528929,0.0005518504735333642,-6.709646906900581,9.131232925773782,0.32,0.32,25,25
6473,2,HNF4A,6473,-1.0,5.366835698840434,0.5222851847367701,1.508827795812538e-36,-10.487824977628618,18.124097938046766,0.32,0.32,25,25
