,Regulon_ID,Regulator,Gene
0,0,ETS1,ATN1
1,0,ETS1,TBCK
2,0,ETS1,ARRDC4
3,0,ETS1,PUM2
4,0,ETS1,CHSY1
5,0,ETS1,TNFSF11
6,0,ETS1,PNPLA3
7,0,ETS1,SDC3
8,0,ETS1,SLC30A7
9,0,ETS1,TASP1
10,0,ETS1,ZNF320
11,0,ETS1,ACOX3
12,0,ETS1,MAFG
13,0,ETS1,SAMD9L
14,0,ETS1,THAP6
15,0,ETS1,TMEM144
16,0,ETS1,ZCCHC8
17,0,ETS1,TMEM87B
18,0,ETS1,MAN2A1
19,0,ETS1,MIS12
20,0,ETS1,ACSL4
21,0,ETS1,RAPGEF6
22,0,ETS1,PDE9A
23,0,ETS1,TPP2
24,0,ETS1,TBC1D15
25,0,ETS1,TRIM2
26,0,ETS1,CMTM6
27,0,ETS1,ZNF610
28,0,ETS1,BNC1
29,0,ETS1,LYSMD3
30,0,ETS1,OCLN
31,0,ETS1,CNOT9
32,0,ETS1,AASS
33,0,ETS1,MSMP
34,0,ETS1,ANGPT2
35,0,ETS1,NT5C2
36,0,ETS1,TLK1
37,0,ETS1,SLC7A8
38,0,ETS1,THOC2
39,0,ETS1,VAV2
40,0,ETS1,PPP2R2A
41,0,ETS1,POC1B-GALNT4
42,0,ETS1,ZNF461
43,0,ETS1,KRR1
44,0,ETS1,ZNF792
45,0,ETS1,BLZF1
46,0,ETS1,TRIP12
47,0,ETS1,PTPN11
48,0,ETS1,NPAT
49,0,ETS1,CPPED1
50,0,ETS1,PHACTR4
51,0,ETS1,LSG1
52,0,ETS1,WDR55
53,0,ETS1,ZNF780A
54,0,ETS1,SLF2
55,0,ETS1,TIPARP
56,0,ETS1,ERBIN
57,0,ETS1,TRIO
58,0,ETS1,BAZ2B
59,0,ETS1,RIOK3
60,0,ETS1,TRIM8
61,0,ETS1,SRP72
62,0,ETS1,KIF2A
63,0,ETS1,SOS2
64,0,ETS1,ZMYM3
65,0,ETS1,RARA
66,0,ETS1,GALNT4
67,0,ETS1,PROSER1
68,0,ETS1,CDC42BPB
69,0,ETS1,ANKRD44
70,0,ETS1,FYCO1
71,0,ETS1,PLAGL2
72,0,ETS1,LRIG2
73,0,ETS1,GON4L
74,0,ETS1,ZXDA
75,0,ETS1,ARID4B
76,0,ETS1,TMEM185B
77,0,ETS1,UBR1
78,0,ETS1,DYNC1LI2
79,0,ETS1,SMARCA2
80,0,ETS1,SON
81,0,ETS1,PPTC7
82,0,ETS1,TDRKH
83,0,ETS1,INPP5J
84,0,ETS1,SFXN1
85,0,ETS1,STT3A
86,0,ETS1,TDRD9
87,0,ETS1,WASF2
88,0,ETS1,AGAP2
89,0,ETS1,HNRNPK
90,0,ETS1,SLC26A2
91,0,ETS1,SDE2
92,0,ETS1,PRKACA
93,0,ETS1,IQGAP2
94,0,ETS1,COX18
95,0,ETS1,ARNT
96,0,ETS1,AP2B1
97,0,ETS1,EFR3A
98,0,ETS1,RGS14
99,0,ETS1,PTPN22
100,0,ETS1,PPWD1
101,0,ETS1,SLMAP
102,0,ETS1,DHX8
103,0,ETS1,CDR2
104,0,ETS1,PAPPA2
105,0,ETS1,TSC22D2
106,0,ETS1,TNFRSF13B
107,0,ETS1,C10orf105
108,0,ETS1,REV3L
109,0,ETS1,SOWAHC
110,0,ETS1,FAM120AOS
111,0,ETS1,CHST14
112,0,ETS1,ZHX1
113,0,ETS1,SART3
114,0,ETS1,ZCCHC4
115,0,ETS1,ENTPD5
116,0,ETS1,CBFB
117,0,ETS1,TMEM161B
118,0,ETS1,MORF4L2
119,0,ETS1,HOMER1
120,0,ETS1,USP37
121,0,ETS1,ZNF256
122,0,ETS1,NDST2
123,0,ETS1,POGK
124,0,ETS1,ZCCHC14
125,0,ETS1,SLC20A1
126,0,ETS1,KHDRBS1
127,0,ETS1,KIF14
128,0,ETS1,CEP135
129,0,ETS1,ABCC9
130,0,ETS1,FRRS1
131,0,ETS1,SMG7
132,0,ETS1,SDAD1
133,0,ETS1,ANKAR
134,0,ETS1,DOCK2
135,0,ETS1,ARL5B
136,0,ETS1,SFMBT1
137,0,ETS1,SERINC4
138,0,ETS1,TSPYL4
139,0,ETS1,KDM5A
140,0,ETS1,TRAPPC8
141,0,ETS1,DLG1
142,0,ETS1,ADAMTS6
143,0,ETS1,EPB41
144,0,ETS1,CPSF7
145,0,ETS1,CLDN20
146,0,ETS1,DNAJC14
147,0,ETS1,ARHGEF6
148,0,ETS1,SLC4A1AP
149,0,ETS1,COPS7A
150,0,ETS1,ZNF22
151,0,ETS1,HIBCH
152,0,ETS1,GCSAML
153,0,ETS1,XIAP
154,0,ETS1,OTUD4
155,0,ETS1,TFAM
156,0,ETS1,ZEB1
157,0,ETS1,SNX27
158,0,ETS1,ALOX5
159,0,ETS1,PPME1
160,0,ETS1,USPL1
161,0,ETS1,SUPT7L
162,0,ETS1,LMBR1
163,0,ETS1,ACAP2
164,0,ETS1,ZBED6
165,0,ETS1,KLF6
166,0,ETS1,HELZ
167,0,ETS1,ISOC1
168,0,ETS1,TRAF6
169,0,ETS1,RAPGEF1
170,0,ETS1,ZNF24
171,0,ETS1,ETV3
172,0,ETS1,C3orf38
173,0,ETS1,HOXA6
174,0,ETS1,MLLT10
175,0,ETS1,NRF1
176,0,ETS1,CARD8
177,0,ETS1,GOPC
178,0,ETS1,EFNB2
179,0,ETS1,THAP10
180,0,ETS1,MIS18BP1
181,0,ETS1,GORASP2
182,0,ETS1,ARID2
183,0,ETS1,MFN2
184,0,ETS1,SLC7A1
185,0,ETS1,LTB4R2
186,0,ETS1,SLC36A4
187,0,ETS1,ITPR1
188,0,ETS1,RBAK
189,0,ETS1,ASXL2
190,0,ETS1,SOCS7
191,0,ETS1,SGK3
192,0,ETS1,KLHL7
193,0,ETS1,ZNF484
194,0,ETS1,AKNA
195,0,ETS1,ADNP
196,0,ETS1,SENP7
197,0,ETS1,PEAR1
198,0,ETS1,HEYL
199,0,ETS1,BIRC6
200,0,ETS1,TIAM2
201,0,ETS1,ERCC4
202,0,ETS1,AFF4
203,0,ETS1,XPO4
204,0,ETS1,KCNE4
205,0,ETS1,MASTL
206,0,ETS1,ITGA4
