,Coefficient
SOX2,0.009479250086205208
GTF2I,0.0
PRDM4,0.0
RFX7,0.011811799401357698
RARB,0.005344007790585181
ELF1,0.032429099359174686
SHOX2,0.09856522198233897
ARID5B,0.0012176146912187733
JUN,0.0010854910376494006
HIF1A,-0.06516814657731375
NFIA,0.11529671613002865
FOXO4,0.05409269948568757
PRRX1,0.10539455635576622
ZNF143,0.0006961457290824429
NR1H4,0.0
TBP,0.03659592618662535
BACH1,-0.06612772364972304
SP3,0.0
HOXB3,0.001280685630479355
ZEB1,0.0
IRX5,0.0002928774196241162
NKX2-3,-0.035208803634261134
ARNT,0.0004456205934443687
ZNF148,0.004553243914529581
HOXA5,0.0009153219097001769
ZSCAN26,0.05572646215687838
ZBTB14,0.04987439127316353
RFX3,0.009913063034512191
E2F8,-2.6837547860956045e-05
EOMES,0.12743719627558017
FOXO3,0.02489218953474876
ETV1,-0.0015932665647507302
KLF4,-0.01350515979392718
MNT,-0.0017319102949063076
ARID5A,-0.00018735078805508706
TBX19,0.0016645513571325065
FOXC1,-0.0020683026877832255
PBX1,0.08935154177246923
ETS2,-0.004672346862101806
ZNF8,0.0026695344370991324
ATF4,-0.021007082269713637
TCF7L2,0.05049011501773958
KLF12,0.02674812753779267
IKZF1,0.023767262416758604
HOXB7,0.0
ATF1,0.0
DR1,0.0
SNAI2,-0.1981179707738175
MEF2D,0.019490849705942403
