,Coefficient
NR2F2,0.0014073301130041855
USF1,-0.02595793247514477
ZNF281,0.07169211582407817
E2F8,0.006358298942911637
TFAP4,-0.0011933168013346668
CLOCK,0.1372937299917826
NFE2L2,0.005226701442388237
ELF1,-0.035947935585669465
MEIS2,0.012300194999794976
FOXF2,0.10241848036932405
RARA,-0.014657949736532165
CDC5L,0.0012010636249231573
RFX1,-0.026754955825183935
MYBL2,0.0020460719049464433
REL,0.0450323712436652
BACH1,-0.013514246024827656
ZNF423,0.1924655240758724
KLF12,0.15339961170824215
CREB1,0.0
ATF1,0.0
HOXB3,0.003000577067365389
FLI1,0.0610561583954026
ARID3A,-0.037573934775958405
STAT1,-0.07547691748383709
