,Coefficient
NR2F2,0.003919561929143424
ZBTB7B,-0.023943577338225056
GTF2I,-0.006775173508157844
PRDM4,-0.007737499166493767
CLOCK,-0.019214728695612148
FOXD2,-0.01190737697180065
NFE2L2,-0.01181535740308365
HOXB9,-0.02074773853196191
ZBTB7A,0.03614858064636181
EP300,0.0
PKNOX2,0.014418806666119506
MEIS2,0.021514918930406076
IRF2,-0.021859065421671785
IRF9,-0.05316180266583057
GLIS3,0.1380564054020549
KLF16,-0.02744998146735945
VDR,0.0037351171657318437
MAFB,0.013521682872439546
HOXC8,-0.022625511431000573
BACH1,-0.007147808707412753
PATZ1,0.04489548210542549
IKZF1,-0.05831665953985157
ERF,-0.0720523920788429
HOXB7,0.05669049027822573
HOXB3,0.003693055573347287
ZFX,-0.019312522054733335
ELK3,0.0023552663748238815
SP4,-0.19528843406730784
