,Coefficient
NR2F2,0.09364372637550761
ZSCAN26,-0.015964713313607333
ZBTB14,-0.04832298599967965
ESR1,-0.0024825841826280485
SMAD3,-0.00499800371571112
TFAP4,-0.019531604707990213
RFX7,-0.03761935221925811
TERF1,0.0
NFE2L2,0.3200432113131756
SP1,0.0
CEBPG,-0.0067394099533520215
TBX15,0.0
NFE2L1,0.04303091410596025
ZBTB18,-0.12707807620049802
SP100,-0.0024194929720326775
NFIA,0.0051846379907424175
ATF4,0.00029546433414618175
PRRX1,0.3142409434102536
ZBED6,-0.008591077435018144
MGA,-0.006271731741878901
BACH1,-0.0019503710630972943
KLF12,-0.011519403750053267
FOXO1,-0.005597283432613135
ZNF524,0.04447795841146937
SOX15,-0.06259672608097622
MYCN,-0.03278752629246331
ZEB1,-0.003431199931714577
IRF4,-0.011103472756016248
