,Coefficient
NR2F2,0.00915706181227848
SOX2,0.0004276124637827014
GTF2I,0.057107720947393005
SMAD3,0.08505754833815166
SIX1,-0.0021652415794286128
PRDM4,0.005218987345968149
RFX7,0.0
HIVEP2,0.30050195351031295
SIRT6,0.0
ETV2,0.0
POU2F1,0.019217755606622953
HIF1A,0.0002193813077609577
ZNF217,0.014600809157366784
NFIA,0.020900034921783717
MECOM,-0.014813599480092938
BHLHE22,-0.0012050849491364538
MGA,0.007456779890150489
HOXB3,0.004116397501825682
IRX2,-0.027342158763087904
ZBTB14,0.17949665396919826
HMBOX1,0.00828673979595666
USF1,-0.0029899569684870776
ETV1,1.5030448068936189e-05
MZF1,0.010829721770054129
NF1,0.03538979986983482
KLF4,-3.341164432508184e-05
GATA3,0.007049391311237433
NFE2L1,0.012172117792976458
NR4A2,0.007658164469420799
GLIS3,0.014945602618717737
RARA,0.003643350502396675
CDC5L,0.0008757575723623634
KLF16,0.00032465855671215215
SF1,0.021623847871013093
ETS2,0.008303684311745246
ZNF8,0.014853625338313888
ZBED6,0.060453575352692274
KLF12,0.013296139237524823
PATZ1,0.0
ERF,0.016917475497580683
HOXB7,-0.01760571896842483
TBX5,0.0017765442239483032
BDP1,0.0
PKNOX2,0.011816110706784691
IRF4,0.005953059459853566
E2F3,0.0001547524186467958
