,Coefficient
GFI1,0.04669626699081281
SOX5,0.06386163502740484
ARID5B,0.0008475583380361002
MEIS2,0.004338357512293188
HIVEP2,0.1440052256462336
TBX2,-0.0001903878385111593
MAF,0.0
POU2F1,-0.09848695019785192
NFIA,-0.10047412642919698
MAFF,0.01565798649894274
STAT1,0.0672892416704459
CREB3L2,0.223190569864705
NFIB,-0.012109361322682165
ZNF423,0.00019111634240764192
REL,-0.017620742502632947
EGR2,0.0053462539753990415
ZEB1,0.015438883526427133
ELK3,0.10880303130758938
ARNT,0.06785006284335296
RUNX2,0.009100644212266102
HMBOX1,0.0015122574541919635
FOXF2,-0.0012700155724679138
GMEB1,0.002663712130475625
NFE2L1,0.025331991736696775
ZBTB18,0.057090036728466166
ARID5A,0.0014829097424738224
FOXC1,0.06392587054116299
CDC5L,0.0031797332503888977
VDR,-0.01248160501963943
GLI3,-0.005557546693705553
MYBL2,0.007569496900620782
DDIT3,-0.010956038768317944
PKNOX2,0.00022993329418648795
SP4,0.009911787033620832
