,Coefficient
GTF2I,0.02641648283008002
YY1,0.011204898813169845
NFE2L2,-0.0009005469712997454
SOX5,0.0023009912776684287
ZBTB4,0.012244569277543726
CREB5,0.0020204420183268803
GABPA,0.09302015513497153
TBX2,-0.06480697059922942
ZBTB16,0.015870140400273056
ZKSCAN3,0.017981765905050143
NFIA,-0.15819820484817157
MAFF,-0.0014694671949377063
HBP1,0.0012332819006028414
MECOM,0.12182009935918266
PRRX1,-6.868997913580033e-05
ZNF143,0.0
LMO2,0.007241445319066731
BACH1,0.0002170502992434966
CREB1,0.32349966816938447
ELF2,0.0058468522995899245
IRX5,0.014299121402959643
ZSCAN26,0.0012634365353870836
RFX3,0.0001013054879570037
EP300,0.013482173983601613
FOXO3,0.0006730168611340493
ETV1,-0.0024114356029241147
HOXA4,0.012295317797466045
MNT,0.1193426152675312
GLIS3,0.0054550953024251544
PBX1,-0.005324167386895186
ETS2,0.0
E2F6,0.018273880833183397
TCF7L2,-0.047665222978744363
ZBED6,0.0020886270977260564
TCF7,0.03640932164752473
DR1,0.0
