,Coefficient
GFI1,0.1279634851673234
MEIS2,-0.05738681578122831
TBX2,0.058680767506198314
HBP1,0.014814637415963467
PRRX1,0.15627260874718885
TBP,-0.012791211446308721
NR3C1,0.007622604902196279
MEF2D,0.042235479451069056
EGR2,0.12311169802176974
ZEB1,0.029044551510691696
EGR3,0.034317668154017066
HMBOX1,-0.06971221329208425
E2F8,0.026923519299118837
FOXD2,-0.0335276108347955
FOXO3,0.04423168469384406
DLX5,-0.012934611092342545
NF1,0.00689667253636826
EPAS1,0.0007168612438649804
RARA,0.04159458609874736
SP100,0.03334122201784423
GLI3,0.17343624745927955
PROX1,0.01875496386896148
TBX5,0.011181099343555595
TCF7,-0.013812632524702747
PKNOX2,-0.05451195855071804
