,Coefficient
SOX2,-0.017252213136660064
ZBTB7B,0.1722269226270707
ZBTB14,0.01713528770049767
HMBOX1,-0.013467457813467688
SIX1,-0.055928001806103654
E2F8,0.05816338999122183
E2F3,0.005873797194991156
CUX1,-0.02244510493227554
RARB,-0.003483705825996463
MSX2,-0.00013900342336484753
FOXO3,-0.07993597271758313
DLX5,-0.05858382297620202
RFX2,-0.036529684696290296
TBX2,-0.0006937717346435001
GMEB1,0.0045113559607585455
NFE2L1,0.007124421993170169
NR4A2,0.08274374585311609
HIF1A,0.02048435001043679
RARA,0.020541873740919772
CREB3,0.001927502480489129
LHX2,-0.031645755979126
HOXA5,-0.0018181534862710736
RFX1,0.05708217459072723
ALX3,0.14513627330136772
TBP,0.03567121784376212
KLF12,0.003696882759174264
SIX4,-0.001591554598421795
TBX5,-0.03158563052256383
ELF2,0.08257272754321958
TTF1,0.046746325168100775
MEF2D,0.06571453912543491
