,Alt_ID,in_degree,out_degree,out/in
ZBTB18,ZBTB18,1.0,11.0,11.0
TBX2,TBX2,1.0,7.0,7.0
ZEB1,ZEB1,2.0,11.0,5.5
GMEB2,GMEB2,1.0,5.0,5.0
ETV3,ETV3,2.0,9.0,4.5
FOXJ3,FOXJ3,2.0,9.0,4.5
FOXF2,FOXF2,1.0,4.0,4.0
ZNF423,ZNF423,1.0,4.0,4.0
PBX1,PBX1,3.0,11.0,3.6666666666666665
CREB1,CREB1,2.0,7.0,3.5
HBP1,HBP1,4.0,12.0,3.0
GATA3,GATA3,2.0,6.0,3.0
GTF2A1,GTF2A1,2.0,5.0,2.5
NFAT5,NFAT5,3.0,7.0,2.3333333333333335
ATF3,ATF3,2.0,4.0,2.0
ATF7,ATF7,3.0,5.0,1.6666666666666667
STAT5B,STAT5B,2.0,3.0,1.5
GATA6,GATA6,2.0,3.0,1.5
STAT3,STAT3,4.0,5.0,1.25
KLF11,KLF11,3.0,3.0,1.0
HOXC10,HOXC10,3.0,3.0,1.0
IRF9,IRF9,4.0,3.0,0.75
ZKSCAN3,ZKSCAN3,8.0,5.0,0.625
MAFB,MAFB,4.0,2.0,0.5
ZNF75A,ZNF75A,2.0,1.0,0.5
PLAG1,PLAG1,2.0,0.0,0.0
BHLHA15,BHLHA15,5.0,0.0,0.0
