,Alt_ID,in_degree,out_degree,out/in
ZBTB18,ZBTB18,1.0,11.0,11.0
SNAI2,SNAI2,1.0,10.0,10.0
HOXA5,HOXA5,1.0,9.0,9.0
MEF2D,MEF2D,1.0,9.0,9.0
TCF7,TCF7,1.0,7.0,7.0
SOX2,SOX2,1.0,7.0,7.0
TBX2,TBX2,1.0,7.0,7.0
NFIA,NFIA,2.0,13.0,6.5
ZBTB4,ZBTB4,2.0,12.0,6.0
KLF12,KLF12,2.0,12.0,6.0
STAT1,STAT1,2.0,12.0,6.0
BACH1,BACH1,2.0,12.0,6.0
ZEB1,ZEB1,2.0,11.0,5.5
SP100,SP100,1.0,5.0,5.0
SHOX2,SHOX2,2.0,10.0,5.0
NFE2L2,NFE2L2,2.0,10.0,5.0
RARA,RARA,2.0,10.0,5.0
GMEB2,GMEB2,1.0,5.0,5.0
GTF2I,GTF2I,2.0,10.0,5.0
NR2F2,NR2F2,3.0,14.0,4.666666666666667
ETV3,ETV3,2.0,9.0,4.5
HIF1A,HIF1A,2.0,9.0,4.5
FOXJ3,FOXJ3,2.0,9.0,4.5
MEIS2,MEIS2,2.0,9.0,4.5
MZF1,MZF1,2.0,8.0,4.0
PROX1,PROX1,1.0,4.0,4.0
PRRX1,PRRX1,3.0,12.0,4.0
PKNOX2,PKNOX2,1.0,4.0,4.0
ZNF423,ZNF423,1.0,4.0,4.0
FOXF2,FOXF2,1.0,4.0,4.0
PBX1,PBX1,3.0,11.0,3.6666666666666665
ARID5B,ARID5B,3.0,11.0,3.6666666666666665
GFI1,GFI1,2.0,7.0,3.5
IRX5,IRX5,2.0,7.0,3.5
ARID5A,ARID5A,2.0,7.0,3.5
CREB1,CREB1,2.0,7.0,3.5
ZSCAN26,ZSCAN26,2.0,7.0,3.5
BRCA1,BRCA1,2.0,7.0,3.5
ZFX,ZFX,2.0,7.0,3.5
NF1,NF1,2.0,7.0,3.5
ELF1,ELF1,2.0,7.0,3.5
RFX7,RFX7,2.0,7.0,3.5
IKZF1,IKZF1,2.0,7.0,3.5
E2F8,E2F8,4.0,14.0,3.5
DLX5,DLX5,2.0,7.0,3.5
ARNT,ARNT,2.0,7.0,3.5
FOXO3,FOXO3,3.0,10.0,3.3333333333333335
ZBED6,ZBED6,3.0,10.0,3.3333333333333335
ARID3A,ARID3A,2.0,6.0,3.0
JUN,JUN,3.0,9.0,3.0
MYBL2,MYBL2,1.0,3.0,3.0
SF1,SF1,2.0,6.0,3.0
FOXC1,FOXC1,3.0,9.0,3.0
HBP1,HBP1,4.0,12.0,3.0
CEBPG,CEBPG,1.0,3.0,3.0
NFIB,NFIB,2.0,6.0,3.0
HMBOX1,HMBOX1,2.0,6.0,3.0
BDP1,BDP1,2.0,6.0,3.0
GATA3,GATA3,2.0,6.0,3.0
TCF4,TCF4,1.0,3.0,3.0
ZNF143,ZNF143,2.0,6.0,3.0
EP300,EP300,2.0,6.0,3.0
NFE2L1,NFE2L1,3.0,9.0,3.0
SMAD3,SMAD3,3.0,9.0,3.0
IRF2,IRF2,3.0,8.0,2.6666666666666665
IRF4,IRF4,3.0,8.0,2.6666666666666665
POU2F1,POU2F1,4.0,10.0,2.5
REL,REL,2.0,5.0,2.5
EOMES,EOMES,2.0,5.0,2.5
KLF13,KLF13,2.0,5.0,2.5
RUNX3,RUNX3,2.0,5.0,2.5
GTF2A1,GTF2A1,2.0,5.0,2.5
MSX1,MSX1,2.0,5.0,2.5
BPTF,BPTF,2.0,5.0,2.5
GLI3,GLI3,3.0,7.0,2.3333333333333335
NFAT5,NFAT5,3.0,7.0,2.3333333333333335
KLF4,KLF4,3.0,7.0,2.3333333333333335
TBP,TBP,3.0,7.0,2.3333333333333335
PATZ1,PATZ1,3.0,7.0,2.3333333333333335
RORA,RORA,3.0,7.0,2.3333333333333335
CREB3L2,CREB3L2,3.0,7.0,2.3333333333333335
RFX3,RFX3,3.0,7.0,2.3333333333333335
ERF,ERF,3.0,7.0,2.3333333333333335
FOXO1,FOXO1,3.0,7.0,2.3333333333333335
ATF1,ATF1,3.0,7.0,2.3333333333333335
CUX1,CUX1,3.0,6.0,2.0
TERF1,TERF1,1.0,2.0,2.0
SOX30,SOX30,1.0,2.0,2.0
MNT,MNT,5.0,10.0,2.0
CDC5L,CDC5L,3.0,6.0,2.0
ELF2,ELF2,2.0,4.0,2.0
MAFK,MAFK,2.0,4.0,2.0
HOXA6,HOXA6,2.0,4.0,2.0
CLOCK,CLOCK,4.0,8.0,2.0
ATF3,ATF3,2.0,4.0,2.0
ZNF384,ZNF384,3.0,6.0,2.0
E2F3,E2F3,3.0,6.0,2.0
SOX13,SOX13,3.0,6.0,2.0
SP3,SP3,3.0,6.0,2.0
ERG,ERG,2.0,4.0,2.0
BBX,BBX,2.0,4.0,2.0
NR4A2,NR4A2,3.0,6.0,2.0
ZNF281,ZNF281,3.0,6.0,2.0
ZNF8,ZNF8,2.0,4.0,2.0
ZBTB14,ZBTB14,4.0,7.0,1.75
FOXO4,FOXO4,3.0,5.0,1.6666666666666667
NR3C1,NR3C1,3.0,5.0,1.6666666666666667
ATF7,ATF7,3.0,5.0,1.6666666666666667
IKZF3,IKZF3,3.0,5.0,1.6666666666666667
SP1,SP1,3.0,5.0,1.6666666666666667
ATF2,ATF2,3.0,5.0,1.6666666666666667
NR2C2,NR2C2,3.0,5.0,1.6666666666666667
SP4,SP4,3.0,5.0,1.6666666666666667
MAF,MAF,5.0,8.0,1.6
USF1,USF1,2.0,3.0,1.5
GLIS2,GLIS2,2.0,3.0,1.5
CNOT3,CNOT3,2.0,3.0,1.5
ZNF784,ZNF784,2.0,3.0,1.5
MECP2,MECP2,2.0,3.0,1.5
ZBTB6,ZBTB6,2.0,3.0,1.5
ZNF148,ZNF148,2.0,3.0,1.5
EGR3,EGR3,2.0,3.0,1.5
ESR1,ESR1,2.0,3.0,1.5
GATA6,GATA6,2.0,3.0,1.5
ZNF217,ZNF217,2.0,3.0,1.5
STAT5B,STAT5B,2.0,3.0,1.5
TCF7L1,TCF7L1,2.0,3.0,1.5
ZNF691,ZNF691,2.0,3.0,1.5
PURA,PURA,2.0,3.0,1.5
MGA,MGA,3.0,4.0,1.3333333333333333
PRDM4,PRDM4,3.0,4.0,1.3333333333333333
FOXD2,FOXD2,3.0,4.0,1.3333333333333333
MTF1,MTF1,3.0,4.0,1.3333333333333333
HOXB7,HOXB7,3.0,4.0,1.3333333333333333
HOXC8,HOXC8,3.0,4.0,1.3333333333333333
GABPA,GABPA,3.0,4.0,1.3333333333333333
FLI1,FLI1,3.0,4.0,1.3333333333333333
MECOM,MECOM,3.0,4.0,1.3333333333333333
KLF16,KLF16,3.0,4.0,1.3333333333333333
GLIS3,GLIS3,7.0,9.0,1.2857142857142858
ATF4,ATF4,4.0,5.0,1.25
LHX2,LHX2,4.0,5.0,1.25
SOX5,SOX5,4.0,5.0,1.25
STAT3,STAT3,4.0,5.0,1.25
CREB3L1,CREB3L1,7.0,8.0,1.1428571428571428
SIX1,SIX1,8.0,9.0,1.125
REST,REST,3.0,3.0,1.0
SOX15,SOX15,2.0,2.0,1.0
TBX21,TBX21,2.0,2.0,1.0
E2F6,E2F6,1.0,1.0,1.0
HOXA4,HOXA4,3.0,3.0,1.0
KLF11,KLF11,3.0,3.0,1.0
ETV2,ETV2,2.0,2.0,1.0
MYCN,MYCN,2.0,2.0,1.0
NKX2-3,NKX2-3,2.0,2.0,1.0
CREB3,CREB3,2.0,2.0,1.0
CTCF,CTCF,3.0,3.0,1.0
POLR3A,POLR3A,2.0,2.0,1.0
HOXC10,HOXC10,3.0,3.0,1.0
ALX3,ALX3,2.0,2.0,1.0
EPAS1,EPAS1,4.0,4.0,1.0
NFATC2,NFATC2,3.0,3.0,1.0
RUNX2,RUNX2,3.0,3.0,1.0
HLTF,HLTF,2.0,2.0,1.0
TNFRSF10A,TNFRSF10A,3.0,3.0,1.0
TEAD3,TEAD3,2.0,2.0,1.0
MAFF,MAFF,3.0,3.0,1.0
PLAGL1,PLAGL1,2.0,2.0,1.0
TBX15,TBX15,2.0,2.0,1.0
TAL1,TAL1,1.0,1.0,1.0
AHR,AHR,3.0,3.0,1.0
HOXB9,HOXB9,1.0,1.0,1.0
DR1,DR1,1.0,1.0,1.0
ETV1,ETV1,12.0,9.0,0.75
IRF9,IRF9,4.0,3.0,0.75
HIVEP2,HIVEP2,12.0,9.0,0.75
TFAP4,TFAP4,4.0,3.0,0.75
TBX5,TBX5,15.0,11.0,0.7333333333333333
RARB,RARB,14.0,10.0,0.7142857142857143
ETS2,ETS2,10.0,7.0,0.7
FOXP3,FOXP3,3.0,2.0,0.6666666666666666
LEF1,LEF1,3.0,2.0,0.6666666666666666
RREB1,RREB1,3.0,2.0,0.6666666666666666
ELK3,ELK3,12.0,8.0,0.6666666666666666
SMAD4,SMAD4,3.0,2.0,0.6666666666666666
ZKSCAN3,ZKSCAN3,8.0,5.0,0.625
ZBTB7B,ZBTB7B,13.0,8.0,0.6153846153846154
NR1H4,NR1H4,2.0,1.0,0.5
ZNF524,ZNF524,16.0,8.0,0.5
FOXB1,FOXB1,2.0,1.0,0.5
ZNF75A,ZNF75A,2.0,1.0,0.5
INSM1,INSM1,2.0,1.0,0.5
MAFB,MAFB,4.0,2.0,0.5
SH2D1A,SH2D1A,2.0,1.0,0.5
THRA,THRA,2.0,1.0,0.5
ZBTB16,ZBTB16,2.0,1.0,0.5
ZBTB3,ZBTB3,4.0,2.0,0.5
BHLHE22,BHLHE22,8.0,3.0,0.375
GMEB1,GMEB1,14.0,5.0,0.35714285714285715
EGR2,EGR2,14.0,5.0,0.35714285714285715
LHX4,LHX4,3.0,1.0,0.3333333333333333
TLX2,TLX2,3.0,1.0,0.3333333333333333
HOXD10,HOXD10,3.0,1.0,0.3333333333333333
MEOX1,MEOX1,3.0,1.0,0.3333333333333333
CREB5,CREB5,3.0,1.0,0.3333333333333333
POU4F1,POU4F1,3.0,1.0,0.3333333333333333
TFAP2E,TFAP2E,3.0,1.0,0.3333333333333333
MSX2,MSX2,3.0,1.0,0.3333333333333333
YY1,YY1,3.0,1.0,0.3333333333333333
SIX4,SIX4,11.0,3.0,0.2727272727272727
BCL6B,BCL6B,4.0,1.0,0.25
ZBTB7A,ZBTB7A,4.0,1.0,0.25
BORCS8-MEF2B,BORCS8-MEF2B,4.0,1.0,0.25
TRIM28,TRIM28,4.0,1.0,0.25
TBX19,TBX19,16.0,4.0,0.25
LMO2,LMO2,27.0,6.0,0.2222222222222222
VDR,VDR,25.0,5.0,0.2
TCF7L2,TCF7L2,37.0,7.0,0.1891891891891892
TTF1,TTF1,33.0,6.0,0.18181818181818182
HOXB3,HOXB3,43.0,7.0,0.16279069767441862
RFX1,RFX1,41.0,6.0,0.14634146341463414
GLI2,GLI2,22.0,3.0,0.13636363636363635
IRX2,IRX2,48.0,6.0,0.125
DDIT3,DDIT3,9.0,1.0,0.1111111111111111
RFX2,RFX2,34.0,3.0,0.08823529411764706
SIX2,SIX2,12.0,1.0,0.08333333333333333
MSC,MSC,25.0,2.0,0.08
SATB1,SATB1,3.0,0.0,0.0
TGIF1,TGIF1,33.0,0.0,0.0
ZNF628,ZNF628,1.0,0.0,0.0
GSX2,GSX2,3.0,0.0,0.0
GRHL1,GRHL1,2.0,0.0,0.0
BHLHA15,BHLHA15,5.0,0.0,0.0
DMRT3,DMRT3,41.0,0.0,0.0
MAFG,MAFG,2.0,0.0,0.0
TP63,TP63,2.0,0.0,0.0
ZNF713,ZNF713,3.0,0.0,0.0
ZNF282,ZNF282,31.0,0.0,0.0
ZBTB33,ZBTB33,3.0,0.0,0.0
PLAG1,PLAG1,2.0,0.0,0.0
HIC2,HIC2,5.0,0.0,0.0
GSC2,GSC2,1.0,0.0,0.0
IRF3,IRF3,3.0,0.0,0.0
HDX,HDX,3.0,0.0,0.0
SIRT6,SIRT6,2.0,0.0,0.0
TNFRSF25,TNFRSF25,1.0,0.0,0.0
ELK1,ELK1,3.0,0.0,0.0
