,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
8777,3,CREM,R-8777,-1.0,4.715372820311282,0.2857142857142857,0.0490039976791063,-3.75355392114449,2.661422503602683,1.0,1.0,1,1
2764,3,NFIL3,R-2764,-1.0,1.6778487599311482,0.3914459400781589,0.0059366051990279,-4.019017420447585,3.0963283287746224,0.6,0.25,12,5
2770,3,NFIL3,R-2770,-1.0,1.6778487599311482,-0.380373425966131,0.0076553474425363,2.205310917891126,1.459344443988742,0.6,0.25,12,5
2773,3,NFIL3,R-2773,-1.0,1.6778487599311482,0.2934216239687364,0.0429606284054215,-3.286892595265048,2.199958745311078,0.6,0.25,12,5
37,3,ZKSCAN3,R-37,1.0,2.443367977027333,0.714394268345636,1.183443951033354e-08,3.9336292955833296,2.908391551369816,1.0,0.5,2,1
3867,3,MAFF,R-3867,-1.0,2.1204631551718363,0.483608336951802,0.0004973811504774,-2.7100712212642315,1.878418956530466,0.4,0.2857142857142857,7,5
3865,3,MAFF,R-3865,-1.0,2.1204631551718363,0.6505644811115935,5.575865427598105e-07,-3.8052449758418017,2.622280720506424,0.4,0.2857142857142857,7,5
5792,3,PRRX1,R-5792,-1.0,1.5201115028292482,-0.3917716022579244,0.0058916138425905,2.1617833545051677,1.4027969036625625,0.5,0.2,25,10
5800,3,PRRX1,R-5800,-1.0,1.5201115028292482,0.5196482848458532,0.0001536889123902,-2.9001017292417157,1.915136019654574,0.5,0.2,25,10
5784,3,PRRX1,R-5784,-1.0,1.5201115028292482,0.3479157620495006,0.015387507242755,-4.823796249316531,3.805358389594855,0.5,0.2,25,10
5782,3,PRRX1,R-5782,-1.0,1.5201115028292482,0.5051020408163265,0.0002508040176175,-3.016023105407041,1.962057903638095,0.5,0.2,25,10
5794,3,PRRX1,R-5794,-1.0,1.5201115028292482,0.6275510204081634,1.8088044555613587e-06,-3.1645534934009296,2.446247577399141,0.5,0.2,25,10
7533,3,TFAP2C,R-7533,-1.0,2.3772761368483795,0.6165454384396797,3.0723092829917674e-06,-3.7873854050717415,2.5534813097517652,1.0,0.4285714285714285,21,9
7541,3,TFAP2C,R-7541,-1.0,2.3772761368483795,-0.3254804057830884,0.0239824507103663,3.2608762311430044,2.6704373164360127,1.0,0.4285714285714285,21,9
7543,3,TFAP2C,R-7543,-1.0,2.3772761368483795,0.4611877130642293,0.0009700715205453,-2.67159568936212,1.945183781148203,1.0,0.4285714285714285,21,9
7532,3,TFAP2C,R-7532,-1.0,2.3772761368483795,0.6004776932575925,6.42780482760891e-06,-3.336566600157064,2.2291109245179817,1.0,0.4285714285714285,21,9
7548,3,TFAP2C,R-7548,-1.0,2.3772761368483795,0.353381828160091,0.0137459644574776,-3.180222396868591,1.9641872177483335,1.0,0.4285714285714285,21,9
7545,3,TFAP2C,R-7545,-1.0,2.3772761368483795,0.6853761846926743,7.687965292321172e-08,-4.282550714484739,2.844708711044899,1.0,0.4285714285714285,21,9
7542,3,TFAP2C,R-7542,-1.0,2.3772761368483795,0.5957007960412963,7.944199716796615e-06,-3.269778123804433,2.267459971823565,1.0,0.4285714285714285,21,9
7536,3,TFAP2C,R-7536,-1.0,2.3772761368483795,0.7549668918664434,5.675978794045081e-10,-4.524862146777981,4.0822139385725205,1.0,0.4285714285714285,21,9
