,Regulon_ID,Regulator,Gene
0,0,ETS1,RARRES1
1,0,ETS1,SLC41A2
2,0,ETS1,RAB20
3,0,ETS1,C2CD4A
4,0,ETS1,ASS1
5,0,ETS1,SLC45A4
6,0,ETS1,SERPINB6
7,0,ETS1,SRMS
8,0,ETS1,SAMD13
9,0,ETS1,SLC7A7
10,0,ETS1,SPTAN1
11,0,ETS1,CREB3L1
12,0,ETS1,OCLN
13,0,ETS1,PROM1
14,0,ETS1,TM9SF3
15,0,ETS1,ARHGAP18
16,0,ETS1,ANXA11
17,0,ETS1,SLC6A20
18,0,ETS1,IFT20
19,0,ETS1,TRIM15
20,0,ETS1,SMIM24
21,0,ETS1,HNMT
22,0,ETS1,LPCAT4
23,0,ETS1,SLC25A20
24,0,ETS1,TNFRSF11B
25,0,ETS1,SIGIRR
26,0,ETS1,TP53I11
27,0,ETS1,TMEM164
28,0,ETS1,PLAC8
29,0,ETS1,HOXB5
30,0,ETS1,AP2B1
31,0,ETS1,RORC
32,0,ETS1,PKP2
33,0,ETS1,KIF13B
34,0,ETS1,HGD
35,0,ETS1,RPS27L
36,0,ETS1,CDX1
37,0,ETS1,HSD17B2
38,0,ETS1,ANKRD22
39,0,ETS1,ZFYVE27
40,0,ETS1,POC1B-GALNT4
41,0,ETS1,MYO1A
42,0,ETS1,TMEM38A
43,0,ETS1,CA13
44,0,ETS1,MUC1
45,0,ETS1,TM6SF2
46,0,ETS1,NOL4L
47,0,ETS1,MLEC
48,0,ETS1,GCNT3
49,0,ETS1,CMPK1
50,0,ETS1,GPT
51,0,ETS1,DDAH1
52,0,ETS1,CLDN7
53,0,ETS1,VNN1
54,0,ETS1,SMAD6
55,0,ETS1,CCDC174
56,0,ETS1,CTSS
57,0,ETS1,DTX4
58,0,ETS1,HOXA10
59,0,ETS1,TCTA
60,0,ETS1,PAPSS2
61,0,ETS1,HNF4A
62,0,ETS1,NEK6
63,0,ETS1,HEPACAM2
64,0,ETS1,CNPPD1
65,0,ETS1,SLC45A3
66,0,ETS1,TMEM144
67,0,ETS1,MVP
68,0,ETS1,TPRN
69,0,ETS1,ADGRE5
70,0,ETS1,CD63
71,0,ETS1,TRAK1
72,0,ETS1,VASP
73,0,ETS1,HOXA11
74,0,ETS1,ARRB1
75,0,ETS1,FBP1
76,0,ETS1,YPEL2
77,0,ETS1,GAL3ST1
78,0,ETS1,SYNJ2
79,0,ETS1,RND1
80,0,ETS1,DEGS2
81,0,ETS1,SAA2
82,0,ETS1,SH3BGRL2
83,0,ETS1,HNF1A
84,0,ETS1,SPTBN1
85,0,ETS1,NCMAP
86,0,ETS1,AMPD2
87,0,ETS1,GAK
88,0,ETS1,NHLRC3
89,0,ETS1,ASL
90,0,ETS1,SULT1B1
91,0,ETS1,BCL2L1
92,0,ETS1,INSC
93,0,ETS1,TLX1
94,0,ETS1,TMEM238
95,0,ETS1,TOX3
96,0,ETS1,TMEM248
97,0,ETS1,GPA33
98,0,ETS1,TNFRSF10D
99,0,ETS1,FGFR4
100,0,ETS1,ZNF823
101,0,ETS1,AAMP
102,0,ETS1,GALNT4
103,0,ETS1,ERBB3
104,0,ETS1,TMC4
105,0,ETS1,DNMBP
106,0,ETS1,ETHE1
107,0,ETS1,CYP4F12
108,0,ETS1,GPD1
109,0,ETS1,DACH1
110,0,ETS1,ASPHD2
111,0,ETS1,TNFSF15
112,0,ETS1,ACSS2
113,0,ETS1,C2CD2L
114,0,ETS1,FCGRT
115,0,ETS1,GHDC
116,0,ETS1,MAGIX
117,0,ETS1,BTNL9
118,0,ETS1,LGALS3
119,0,ETS1,FOXJ1
120,0,ETS1,SLC35C1
121,0,ETS1,MIA
122,0,ETS1,SLC17A9
123,0,ETS1,MAP2K3
124,0,ETS1,ASRGL1
125,0,ETS1,ABHD17C
126,0,ETS1,PIGT
127,0,ETS1,RAB19
128,0,ETS1,ARHGAP12
129,0,ETS1,TNFSF13
130,0,ETS1,SFMBT1
131,0,ETS1,PLEKHA6
132,0,ETS1,AGR3
133,0,ETS1,PNKD
134,0,ETS1,ABCC3
135,0,ETS1,FMO5
136,0,ETS1,MUC17
137,0,ETS1,CYB561
138,0,ETS1,SLC18A2
139,0,ETS1,PRKCA
140,0,ETS1,UNC13B
141,0,ETS1,SGK2
142,0,ETS1,CDR2L
143,0,ETS1,CTBP2
144,0,ETS1,MMP15
145,0,ETS1,C1GALT1C1
146,0,ETS1,SLC40A1
147,0,ETS1,EXOC6
148,0,ETS1,ACY3
149,0,ETS1,FOXD2
150,0,ETS1,ACAA2
151,0,ETS1,RALGAPA2
152,0,ETS1,CTSE
153,0,ETS1,LIPH
154,0,ETS1,TFPI
155,0,ETS1,POC1B
156,0,ETS1,TOR4A
157,0,ETS1,ACAT1
158,0,ETS1,SLC12A2
159,0,ETS1,SPRY2
160,0,ETS1,NFRKB
161,0,ETS1,CDH17
162,0,ETS1,CHKA
163,0,ETS1,NADK
164,0,ETS1,ACSL5
165,0,ETS1,NR1I2
166,0,ETS1,ALDH18A1
167,0,ETS1,AKAP4
168,0,ETS1,CRYL1
169,0,ETS1,UBE4A
170,0,ETS1,MTMR11
171,0,ETS1,C1orf115
172,0,ETS1,MICU1
173,0,ETS1,GCNT1
174,0,ETS1,JAK2
175,0,ETS1,ANG
176,0,ETS1,ZNF438
177,0,ETS1,KRT7
178,0,ETS1,LONRF3
179,0,ETS1,LGR4
180,0,ETS1,VILL
181,0,ETS1,LEPROTL1
182,0,ETS1,RELL1
183,0,ETS1,HKDC1
184,0,ETS1,S100P
185,0,ETS1,TMEM125
186,0,ETS1,GPR160
187,0,ETS1,IQGAP2
188,0,ETS1,TC2N
189,0,ETS1,GPR35
190,0,ETS1,MTRF1L
191,0,ETS1,EPS8L3
192,0,ETS1,BAIAP2L1
193,0,ETS1,ENC1
194,0,ETS1,PAFAH2
195,0,ETS1,BFAR
196,0,ETS1,EFCC1
197,0,ETS1,MLPH
198,0,ETS1,PACSIN2
199,0,ETS1,ALAS1
200,0,ETS1,DEPTOR
201,0,ETS1,C12orf43
202,0,ETS1,CAPN8
203,0,ETS1,AOC1
204,0,ETS1,CLDN23
205,0,ETS1,B3GALT5
206,0,ETS1,APAF1
207,0,ETS1,TMEM59
208,0,ETS1,FZD5
209,1,ETS1,DOK2
210,1,ETS1,GIMAP5
211,1,ETS1,LILRA5
212,1,ETS1,RHOH
213,1,ETS1,TNFRSF13B
214,1,ETS1,AMPD1
215,1,ETS1,GIMAP4
216,1,ETS1,BICC1
217,1,ETS1,RASSF2
218,1,ETS1,PIK3R5
219,1,ETS1,CD79A
220,1,ETS1,ABCA6
221,1,ETS1,LPXN
222,1,ETS1,FAM78A
223,1,ETS1,TLR9
224,1,ETS1,ARHGAP25
225,1,ETS1,PLEKHO2
226,1,ETS1,RGS18
227,1,ETS1,CD19
228,1,ETS1,SELPLG
229,1,ETS1,HAVCR2
230,1,ETS1,ITGAX
231,1,ETS1,FCRL3
232,1,ETS1,ARHGAP30
233,1,ETS1,SIGLEC7
234,1,ETS1,ITPR1
235,1,ETS1,SIT1
236,1,ETS1,TSPAN32
237,1,ETS1,CD300C
238,1,ETS1,RASAL3
239,1,ETS1,S1PR1
240,1,ETS1,MZB1
241,1,ETS1,GNGT2
242,1,ETS1,GPR65
243,1,ETS1,C1orf162
244,1,ETS1,LAMA2
245,1,ETS1,SUSD3
246,1,ETS1,MS4A6A
247,1,ETS1,ACAP1
248,1,ETS1,TRAT1
249,1,ETS1,CD28
250,1,ETS1,SRGN
251,1,ETS1,SIGLEC5
252,1,ETS1,DOK3
253,1,ETS1,CD27
254,1,ETS1,TNFSF13B
255,1,ETS1,FAT4
256,1,ETS1,HLA-DRB1
257,1,ETS1,SPI1
258,1,ETS1,POU2F2
259,1,ETS1,CD37
260,1,ETS1,DOCK2
261,1,ETS1,RASGRP2
262,1,ETS1,ARHGEF17
263,1,ETS1,BIN2
264,1,ETS1,ABCD2
265,1,ETS1,MYO1G
266,1,ETS1,IL21R
267,1,ETS1,PSTPIP1
268,1,ETS1,CD33
269,1,ETS1,LRRC25
270,1,ETS1,MS4A7
271,1,ETS1,DAB2
272,1,ETS1,MYO1F
273,1,ETS1,ITGB2
274,1,ETS1,RCSD1
275,1,ETS1,ICOS
276,1,ETS1,SYT11
277,1,ETS1,MEI1
278,1,ETS1,C11orf21
279,1,ETS1,CYTH4
280,1,ETS1,SNX20
281,1,ETS1,A2M
282,1,ETS1,FPR3
283,1,ETS1,LAX1
284,1,ETS1,LGMN
285,1,ETS1,STAT4
286,1,ETS1,KLHL6
287,1,ETS1,CD48
288,1,ETS1,CD163
289,1,ETS1,CCR7
290,1,ETS1,RNASE6
291,1,ETS1,ZEB2
292,1,ETS1,FCRL2
293,1,ETS1,PPP1R16B
294,1,ETS1,NCKAP1L
295,1,ETS1,ARHGAP9
296,1,ETS1,JAML
297,1,ETS1,SIGLEC9
298,1,ETS1,CD79B
299,1,ETS1,LCP1
300,1,ETS1,IFFO1
301,1,ETS1,LILRA2
302,1,ETS1,ANKRD44
303,1,ETS1,NTNG2
304,1,ETS1,TMEM47
305,1,ETS1,RHOJ
306,1,ETS1,EMILIN1
307,1,ETS1,SLAMF1
308,1,ETS1,TSPAN4
309,1,ETS1,FSTL1
310,1,ETS1,DERL3
311,1,ETS1,TYROBP
312,1,ETS1,FGR
313,1,ETS1,CYBB
314,1,ETS1,LAMA4
315,1,ETS1,GIMAP6
316,1,ETS1,FMNL1
317,1,ETS1,CORO1A
318,1,ETS1,HCST
319,1,ETS1,ARHGEF6
320,1,ETS1,GAPT
321,1,ETS1,WIPF1
322,1,ETS1,ABI3
323,1,ETS1,CMKLR1
324,1,ETS1,NCF4
325,1,ETS1,TNFAIP8L2
326,1,ETS1,SLC8A1
327,1,ETS1,TBC1D10C
328,1,ETS1,SMAP2
329,1,ETS1,CSF1
330,1,ETS1,PIK3CG
331,1,ETS1,CASS4
332,1,ETS1,IGSF6
333,1,ETS1,CXCR3
