,Coefficient
HOXD8,0.0
FOXF2,-0.00899669597741567
FOXD3,-0.014995919347713786
EPAS1,0.0016048197613355198
SOX15,-0.0012460994217981733
EBF1,-0.002144900539330795
GLI2,-0.04102826611363433
EOMES,-0.00018933209192323694
HOXC5,-0.045391368575567685
PPARG,0.03255108864082246
HOXA13,0.02149111893702046
FOXA1,0.0
CEBPD,0.0
FOXC2,0.0
HES7,0.0
GLIS1,0.0
PRRX1,0.0
TBX20,0.0
HOXA6,0.0
DLX5,-0.0011710616065894889
TFAP2C,-0.07654207001182438
BACH1,-0.001230572428314176
MYB,0.15528489470769688
ELF3,0.0027449682566841617
ZNF410,0.0018399038466052463
DLX2,-0.00019144171700063414
KLF11,0.01834909197534914
FOXG1,0.0
BHLHE22,0.0
GSC,-0.000512663678638972
BCL6,-0.07160260222933731
TEAD1,-0.0005302977889673285
HMGA2,-0.008542270063509695
HOXB8,0.136836684194743
NFE2L2,-0.0003936190269556052
