,Coefficient
ESRRA,-0.010941456564216427
HOXD8,0.0
ONECUT2,0.07881876127512709
MECOM,0.015435782805310985
THRA,0.0
EBF1,0.00016611634758646146
REL,-0.0032790137343977183
ZBTB7B,-0.000406311268514126
GLI2,-0.0003895090280465389
POU5F1,0.0
SOX2,0.0
CEBPD,0.0
SPDEF,0.00031169795334229036
ZEB1,0.0019030822367680526
TBX20,0.0
OSR1,-0.000655971251912235
FOXQ1,-0.00023927738550547857
FOXJ2,-0.032026750395067215
IRF8,0.0
BACH1,-0.0023280413332671
MNT,-0.0010517551996938365
KLF16,-0.06409073139707956
ZNF784,0.015075650474748195
RUNX3,0.0
DLX2,-0.010095681866655255
NFATC4,0.0
SHOX2,0.0
ZNF524,0.0
IRX4,-0.0020360812839962635
HES5,0.0
BCL6,-0.000394570272978517
GATA6,0.14449587117182192
TEAD1,0.00029185089935184985
HOXB8,-0.01068577297001311
TEAD3,-0.004400201258155244
KLF12,6.298349590825394e-05
PAX9,-0.03525003686220368
TFEB,0.0
ZBTB3,0.0
NR6A1,0.0004040209793325323
NR2C2,0.0025485491454927023
HOXB6,0.0
HIC1,0.0
IRF3,0.0026926505511552816
RARB,0.0002660920448117025
ZBTB18,-0.0019033189963157742
CREM,0.002359112584739364
GATA3,0.0
STAT6,0.0
GTF2A1,0.0
PKNOX2,0.003313213372127757
ARID3A,0.2524847366388326
RBPJ,0.0
RXRA,-0.010309043049123983
HOXA10,0.0
NFE2,0.0
KLF11,0.0
KLF7,-0.00029700717999381685
MZF1,0.026418446885324978
HOXA4,0.012518865976928285
ARID5A,0.0
TBX2,0.005795219266436435
BHLHE22,0.0
NFIL3,-0.0009594024073639894
GSC,0.0
EMX1,0.0033197939642269306
HMGA2,0.0031867855963254783
MLXIPL,0.00398323568203047
IRF9,0.0
