,Coefficient
ESRRA,-0.005192853554632104
ARID5B,0.009496645753752848
MSC,0.05684599697833798
TFEB,0.006098695059597854
FOXF2,0.01153682201115313
ONECUT2,-0.04258667560802161
RBPJ,0.0
RUNX3,0.0030074360559462342
MAF,0.006225805735384019
NR6A1,-0.001000583622397004
NFATC4,0.16550617281380522
HOXB6,0.0
HNF1B,0.0
PAX3,0.00029546694663683715
TCF7L2,-0.0019102608814985872
IRX4,0.001295528769324379
PGR,0.004231846592840286
MEIS1,0.0
MEF2A,0.003344712384143161
GLI3,0.12832431774806133
ARID5A,0.002317245877140391
TBX2,0.05183233356739083
HOXA13,-0.034164326706270065
ARX,-0.0021352538906434784
TEAD1,0.0
PROX1,0.0
NFE2L1,0.019143731311236263
DRGX,0.04455298835810331
ZEB1,0.31270448354268626
POU2AF1,-0.017200480697925367
