,Coefficient
ARID5B,0.04723878550511149
TFEB,0.0007727332720907347
FOXF2,0.15828382790134124
BACH2,0.016648540683272192
HOXA10,0.0
ZBTB3,0.011197004321148125
DLX2,-0.025262220123187816
KLF7,0.0
NFATC4,0.019894155271751514
HNF1B,0.0
ZNF524,0.0
TCF7L2,-0.0015381087457939458
GLI2,0.006417836190205816
GLI3,0.0
NFIL3,0.0003270881095226947
RARB,0.00242539984884323
ZBTB18,0.03205834928242077
IRF6,-0.00017920964047741698
BCL6,0.0025738322894266006
FOXA1,0.001426994129001376
SOX2,0.0033733697946443197
MEOX2,0.3100416090538412
EVX1,0.013322882862239429
HMGA2,-0.014711813467508003
NFE2L2,0.0027274850682870683
FOXJ1,0.0
TFAP2C,0.0
